,0
406,ZNF791
407,ZNF793
408,ZNF8
409,ZNF800
410,ZNF805
411,ZNF808
412,ZNF81
413,ZNF813
414,ZNF814
415,ZNF827
416,ZNF83
417,ZNF836
418,ZNF841
419,ZNF845
420,ZNF891
421,ZNF90
422,ZNF91
423,ZNF92
424,ZNF93
425,ZNFX1
426,ZSCAN12
427,ZSCAN2
428,ZSCAN25
429,ZSCAN26
430,ZSCAN29
431,ZSCAN30
432,ZSCAN5A
433,ZXDC
