,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
FRAT1,353.0,157.0,0.692156862745098,False
EMG1-1,39.0,27.0,0.5909090909090909,True
AHSP,2.0,0.0,1.0,False
CASP8,1175.0,586.0,0.6672345258375922,False
RFFL,832.0,406.0,0.6720516962843296,False
TNFSF10,13151.0,10750.0,0.5502280239320531,True
PLCL2,3339.0,2004.0,0.6249298147108366,True
HIF1A-AS2,195.0,184.0,0.5145118733509235,True
SHC1,6073.0,3088.0,0.6629188953171051,False
EFCAB6,4.0,3.0,0.5714285714285714,True
RTL8B,2016.0,1189.0,0.6290171606864274,True
PLEKHA5,4554.0,2919.0,0.6093938177438779,True
AC099677.4,1.0,0.0,1.0,False
AC097381.1,8.0,6.0,0.5714285714285714,True
ZBED9,425.0,215.0,0.6640625,False
SEC14L3,2.0,0.0,1.0,False
