,Empty_droplet_sum,Cell_sum,Soup_probability,Selected
CAMK2D,391.0,376.0,0.5097783572359843,False
ARSJ,2.0,0.0,1.0,False
UGT8,1.0,4.0,0.2,True
NDST4,1.0,0.0,1.0,False
TRAM1L1,24.0,39.0,0.3809523809523809,True
LINC01378,1.0,0.0,1.0,False
NDST3,4.0,12.0,0.25,True
SNHG8,2657.0,3153.0,0.457314974182444,False
PRSS12,34.0,72.0,0.320754716981132,True
AC110079.2,1.0,5.0,0.1666666666666666,True
METTL14,936.0,1468.0,0.389351081530782,True
SEC24D,4199.0,4981.0,0.4574074074074074,False
SYNPO2,10.0,19.0,0.3448275862068966,True
USP53,938.0,2098.0,0.3089591567852437,True
C4orf3,5839.0,11103.0,0.3446464407980167,True
FABP2,1.0,0.0,1.0,False
AC093752.3,2.0,25.0,0.074074074074074,True
AC093752.2,1.0,3.0,0.25,True
PDE5A,103.0,78.0,0.569060773480663,False
AC097173.2,1.0,0.0,1.0,False
MAD2L1,138.0,234.0,0.3709677419354839,True
AC108866.1,1.0,3.0,0.25,True
PRDM5,96.0,104.0,0.48,False
TNIP3,14.0,9.0,0.6086956521739131,False
QRFPR,1.0,0.0,1.0,False
ANXA5,39950.0,39435.0,0.5032436858348555,False
AC079341.3,1.0,0.0,1.0,False
TMEM155,13.0,19.0,0.40625,True
AC079341.1,245.0,312.0,0.4398563734290844,False
EXOSC9,524.0,474.0,0.5250501002004008,False
CCNA2,112.0,136.0,0.4516129032258064,False
BBS7,468.0,516.0,0.4756097560975609,False
TRPC3,2.0,0.0,1.0,False
KIAA1109,883.0,1917.0,0.3153571428571428,True
ADAD1,1.0,3.0,0.25,True
IL2,1.0,0.0,1.0,False
BBS12,53.0,84.0,0.3868613138686131,True
FGF2,20.0,60.0,0.25,True
AC021205.3,0.0,5.0,0.0,True
NUDT6,114.0,213.0,0.3486238532110092,True
SPATA5,214.0,335.0,0.389799635701275,True
SPRY1,150.0,668.0,0.1833740831295843,True
AC093821.1,9.0,27.0,0.25,True
LINC02435,5.0,37.0,0.119047619047619,True
LINC01091,114.0,175.0,0.3944636678200692,True
AC096732.1,1.0,3.0,0.25,True
ANKRD50,430.0,565.0,0.4321608040201005,False
FAT4,4.0,7.0,0.3636363636363636,True
AC093772.1,1.0,0.0,1.0,False
INTU,831.0,2002.0,0.293328626897282,True
SLC25A31,1.0,0.0,1.0,False
HSPA4L,214.0,278.0,0.4349593495934959,False
AC093591.2,2.0,14.0,0.125,True
PLK4,60.0,67.0,0.4724409448818897,False
MFSD8,306.0,772.0,0.2838589981447124,True
ABHD18,220.0,340.0,0.3928571428571428,True
LARP1B,2018.0,2153.0,0.4838168304962839,False
PGRMC2,2704.0,3550.0,0.4323632874960025,False
AC108062.1,16.0,45.0,0.2622950819672131,True
AC110609.1,2.0,0.0,1.0,False
AC078850.1,1.0,18.0,0.0526315789473684,True
AC078850.2,3.0,0.0,1.0,False
JADRR,3.0,3.0,0.5,False
JADE1,405.0,771.0,0.3443877551020408,True
SCLT1,259.0,404.0,0.3906485671191553,True
C4orf33,248.0,353.0,0.4126455906821963,True
LINC02377,2.0,0.0,1.0,False
SNHG27,15.0,50.0,0.2307692307692307,True
AC096711.2,2.0,16.0,0.1111111111111111,True
AC096711.3,4.0,0.0,1.0,False
AC096711.1,7.0,13.0,0.35,True
PCDH10,43.0,53.0,0.4479166666666667,False
PABPC4L,2.0,3.0,0.4,True
AC109830.1,1.0,0.0,1.0,False
AC107463.1,1.0,0.0,1.0,False
LINC02485,3.0,0.0,1.0,False
AC105362.1,1.0,0.0,1.0,False
LINC02511,0.0,3.0,0.0,True
PCDH18,0.0,5.0,0.0,True
LINC02172,2.0,0.0,1.0,False
SLC7A11,293.0,445.0,0.3970189701897019,True
AC093903.1,1.0,0.0,1.0,False
AC098859.2,1.0,0.0,1.0,False
AC093766.1,0.0,4.0,0.0,True
AC109927.1,11.0,29.0,0.275,True
AC109927.2,0.0,8.0,0.0,True
NOCT,625.0,1467.0,0.2987571701720841,True
ELF2,2173.0,3490.0,0.3837188769203602,True
MGARP,10.0,26.0,0.2777777777777778,True
NDUFC1,9151.0,8761.0,0.5108865564984368,False
NAA15,1056.0,1166.0,0.4752475247524752,False
AC097376.2,72.0,456.0,0.1363636363636363,True
RAB33B,263.0,275.0,0.4888475836431227,False
SETD7,1441.0,1206.0,0.5443898753305629,False
AC112236.2,8.0,9.0,0.4705882352941176,False
AC112236.1,2.0,3.0,0.4,True
MGST2,644.0,903.0,0.416289592760181,True
MAML3,611.0,914.0,0.400655737704918,True
SCOC,3462.0,4129.0,0.4560663944144381,False
SCOC-AS1,73.0,81.0,0.474025974025974,False
CLGN,152.0,168.0,0.475,False
ELMOD2,609.0,851.0,0.4171232876712328,False
UCP1,13.0,13.0,0.5,False
TBC1D9,970.0,1009.0,0.4901465386558868,False
AC096733.2,20.0,31.0,0.392156862745098,True
RNF150,25.0,12.0,0.6756756756756757,False
ZNF330,784.0,1256.0,0.3843137254901961,True
LINC02432,65.0,66.0,0.4961832061068702,False
AC097504.2,1.0,0.0,1.0,False
IL15,55.0,101.0,0.3525641025641026,True
INPP4B,483.0,720.0,0.4014962593516209,True
AC104596.1,5.0,11.0,0.3125,True
USP38,809.0,930.0,0.4652098907418056,False
GAB1,1099.0,1549.0,0.4150302114803625,True
SMARCA5,3902.0,5475.0,0.4161245600938466,True
SMARCA5-AS1,20.0,15.0,0.5714285714285714,False
FREM3,0.0,3.0,0.0,True
GYPE,10.0,6.0,0.625,False
GYPA,1.0,0.0,1.0,False
HHIP-AS1,5.0,5.0,0.5,False
HHIP,1.0,3.0,0.25,True
ANAPC10,551.0,713.0,0.4359177215189873,False
ABCE1,1191.0,1349.0,0.4688976377952756,False
OTUD4,1880.0,2774.0,0.4039535883111302,True
LINC02266,39.0,35.0,0.527027027027027,False
SMAD1,142.0,239.0,0.3727034120734908,True
SMAD1-AS1,0.0,7.0,0.0,True
MMAA,133.0,165.0,0.4463087248322148,False
ZNF827,249.0,370.0,0.4022617124394184,True
AC108206.1,1.0,0.0,1.0,False
LINC01095,1.0,0.0,1.0,False
LSM6,1909.0,2854.0,0.4007978165022045,True
REELD1,1.0,3.0,0.25,True
SLC10A7,991.0,1238.0,0.4445939883355765,False
TTC29,2.0,0.0,1.0,False
TMEM184C,600.0,672.0,0.4716981132075472,False
PRMT9,239.0,697.0,0.2553418803418803,True
ARHGAP10,3224.0,4781.0,0.4027482823235477,True
NR3C2,35.0,77.0,0.3125,True
LINC02355,1.0,0.0,1.0,False
DCLK2,10.0,11.0,0.4761904761904761,False
LRBA,598.0,792.0,0.4302158273381295,False
AC110813.1,1.0,14.0,0.0666666666666666,True
MAB21L2,1.0,0.0,1.0,False
RPS3A,71070.0,93911.0,0.4307768773373903,False
SH3D19,1508.0,1862.0,0.4474777448071216,False
AC095055.1,6.0,12.0,0.3333333333333333,True
PRSS48,0.0,5.0,0.0,True
AC104819.3,1.0,0.0,1.0,False
FAM160A1,100.0,187.0,0.3484320557491289,True
AC092611.2,53.0,42.0,0.5578947368421052,False
GATB,297.0,368.0,0.4466165413533834,False
AC092611.1,2.0,35.0,0.054054054054054,True
LINC02273,2.0,4.0,0.3333333333333333,True
FBXW7,943.0,1851.0,0.3375089477451682,True
FBXW7-AS1,1.0,0.0,1.0,False
TMEM154,893.0,1539.0,0.3671875,True
TIGD4,5.0,8.0,0.3846153846153846,True
ARFIP1,2397.0,2378.0,0.5019895287958115,False
FHDC1,3554.0,2632.0,0.5745231167151633,False
TRIM2,200.0,329.0,0.3780718336483932,True
MND1,14.0,31.0,0.3111111111111111,True
TMEM131L,24.0,47.0,0.3380281690140845,True
RNF175,2.0,0.0,1.0,False
DCHS2,1.0,0.0,1.0,False
PLRG1,838.0,900.0,0.4821634062140391,False
FGB,2.0,0.0,1.0,False
FGG,3.0,7.0,0.3,True
LRAT,7.0,12.0,0.3684210526315789,True
NPY2R,1.0,0.0,1.0,False
MAP9,287.0,307.0,0.4831649831649832,False
GUCY1A1,1.0,0.0,1.0,False
GUCY1B1,5.0,0.0,1.0,False
TDO2,6.0,7.0,0.4615384615384615,False
CTSO,815.0,1274.0,0.3901388224030637,True
AC096736.1,1.0,0.0,1.0,False
PDGFC,8.0,28.0,0.2222222222222222,True
GLRB,11.0,23.0,0.3235294117647059,True
GRIA2,3.0,0.0,1.0,False
FAM198B,53.0,78.0,0.4045801526717557,True
FAM198B-AS1,20.0,37.0,0.3508771929824561,True
AC098679.1,2.0,9.0,0.1818181818181818,True
TMEM144,203.0,374.0,0.3518197573656845,True
C4orf46,153.0,219.0,0.4112903225806452,True
ETFDH,394.0,617.0,0.3897131552917903,True
PPID,1147.0,1335.0,0.4621273166800967,False
