"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF714_E"	"ZNF714_E"	164	-9.83570183661892	7.90147315294549e-23	1.82392338613825e-21
"MGA_E"	"MGA_E"	833	-9.80901026731111	1.0297355651946e-22	2.33800616031888e-21
"ATF5_E"	"ATF5_E"	328	9.77433192676505	1.45111505468432e-22	3.24160379151256e-21
"ZBTB37_E"	"ZBTB37_E"	409	-9.65097462446213	4.86907406916258e-22	1.0704234263159e-20
"PURA_E"	"PURA_E"	440	-9.58257256215713	9.46572748320297e-22	2.04844258816189e-20
"HMG20A_E"	"HMG20A_E"	540	-9.54031342206073	1.42401289651642e-21	3.03424286411576e-20
"NFX1_E"	"NFX1_E"	618	-9.47480183012635	2.67267530281291e-21	5.60856862787255e-20
"ZNF254_E"	"ZNF254_E"	186	-9.43611979892348	3.86839845096831e-21	7.99661470834494e-20
"AEBP2_E"	"AEBP2_E"	726	-9.42796393896464	4.18126262861584e-21	8.51624814798961e-20
"ZNF585A_E"	"ZNF585A_E"	240	-9.24815767349105	2.28395247978075e-20	4.58445533984977e-19
"IRF6_E"	"IRF6_E"	498	-9.24509908463465	2.35022855036083e-20	4.64159312664766e-19
"MEIS3_E"	"MEIS3_E"	950	9.24377776485585	2.37944485192768e-20	4.64159312664766e-19
"ZNF529_E"	"ZNF529_E"	435	-9.21869930360821	3.00725844298971e-20	5.7847957549177e-19
"PHTF1_E"	"PHTF1_E"	578	9.17187814311561	4.6484829994647e-20	8.81938212912138e-19
"ZFP62_E"	"ZFP62_E"	395	-9.15165848893059	5.60660841305659e-20	1.04934495298424e-18
"RBAK_E"	"RBAK_E"	285	-9.14682236967299	5.86328156207829e-20	1.08275266179712e-18
"ZBED5_E"	"ZBED5_E"	390	-9.06129782340484	1.28907515016202e-19	2.34916984601895e-18
"ZNF726_E"	"ZNF726_E"	174	-9.02047708816134	1.8727193241986e-19	3.36846268053903e-18
"POGZ_E"	"POGZ_E"	769	-8.99731274981522	2.31309891105869e-19	4.09529916615408e-18
"ZNF621_E"	"ZNF621_E"	305	-8.99623325583244	2.33594681679547e-19	4.09529916615408e-18
"ZNF26_E"	"ZNF26_E"	514	-8.9911228586989	2.44717312761902e-19	4.23666847719042e-18
"ZNF548_E"	"ZNF548_E"	202	-8.90517890447739	5.33000171847579e-19	9.11364491369008e-18
"ZBTB42_E"	"ZBTB42_E"	599	8.89010368205983	6.10519135721945e-19	1.03118171094499e-17
"ZNF7_E"	"ZNF7_E"	376	-8.88524422004869	6.37805051457589e-19	1.06428915213104e-17
"KDM2A_E"	"KDM2A_E"	599	-8.82986952724014	1.04797897784207e-18	1.72791771941818e-17
"L3MBTL1_E"	"L3MBTL1_E"	661	-8.80731307010604	1.28181318041756e-18	2.08860147632744e-17
"ZNF93_E"	"ZNF93_E"	58	8.72325392606182	2.70319155511218e-18	4.35339570212834e-17
"ZFP14_E"	"ZFP14_E"	399	-8.71652801931569	2.86863000384497e-18	4.56672707508653e-17
"IKZF2_E"	"IKZF2_E"	184	-8.69143931678768	3.57876279885986e-18	5.63248463229649e-17
"ZNF16_E"	"ZNF16_E"	298	-8.68871601014381	3.66558698887005e-18	5.70431233661237e-17
"ZKSCAN8_E"	"ZKSCAN8_E"	401	-8.63316703299159	5.96761930627395e-18	9.1835030435438e-17
"ZNF525_E"	"ZNF525_E"	170	-8.62116174880359	6.6278210252461e-18	1.00873979340284e-16
