"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF121_E"	"ZNF121_E"	777	-9.12545719474922	7.143410014426e-20	1.64893714499667e-18
"ZNF451_E"	"ZNF451_E"	566	-8.8272937687794	1.07238863092545e-18	2.4348495964455e-17
"GMEB2_E"	"GMEB2_E"	598	-8.80695255579929	1.28594089096421e-18	2.87262602255714e-17
"ZFP90_E"	"ZFP90_E"	507	8.76533544081984	1.86221354972732e-18	4.09391391487672e-17
"THAP4_E"	"THAP4_E"	1144	-8.74088883884728	2.31283502879698e-18	5.00511955450597e-17
"PRDM2_E"	"PRDM2_E"	335	-8.66599997358221	4.47567060663388e-18	9.53662121567373e-17
"E2F8_E"	"E2F8_E"	671	-8.57624319270129	9.80221796976759e-18	2.05698058911032e-16
"ZNF791_E"	"ZNF791_E"	389	-8.47105304048911	2.43184466124139e-17	5.02702217286467e-16
"ZNF3_E"	"ZNF3_E"	435	-8.11551977147052	4.83709945635001e-16	9.85203345153641e-15
"GTF3A_E"	"GTF3A_E"	1210	-8.09441006392354	5.75425383388305e-16	1.1550205159316e-14
"AEBP2_E"	"AEBP2_E"	726	-8.08873140243905	6.02893577434108e-16	1.19286800678034e-14
"HIVEP1_E"	"HIVEP1_E"	229	-8.06362527262367	7.40645572327077e-16	1.44478044742676e-14
"ZSCAN26_E"	"ZSCAN26_E"	350	7.99896491581698	1.2546945885217e-15	2.41354445153132e-14
"PRDM15_E"	"PRDM15_E"	374	-7.90265859084212	2.73016632916482e-15	5.17983611766202e-14
"HMG20A_E"	"HMG20A_E"	539	-7.86568533141733	3.67082203604547e-15	6.8703898917878e-14
"ZNF581_E"	"ZNF581_E"	501	-7.82350808097531	5.13712573443895e-15	9.48655885626394e-14
"ZNF26_E"	"ZNF26_E"	513	-7.80605901856132	5.90039581465739e-15	1.07526950043427e-13
"ZNF468_E"	"ZNF468_E"	394	-7.72169931864554	1.14788924455208e-14	2.06470987494109e-13
"ZNF396_E"	"ZNF396_E"	327	-7.70067886739643	1.35345238777176e-14	2.40324558597935e-13
"ZNF398_E"	"ZNF398_E"	358	-7.66284973060879	1.81852078235862e-14	3.18816618172999e-13
"ZNF267_E"	"ZNF267_E"	666	-7.65509940607382	1.93162766721805e-14	3.34413039887125e-13
"ZNF599_E"	"ZNF599_E"	282	7.56206420172268	3.96722468859251e-14	6.78346443666744e-13
"ZNF699_E"	"ZNF699_E"	250	-7.55743740434814	4.11087742690251e-14	6.94337223934143e-13
"IKZF5_E"	"IKZF5_E"	452	-7.529464834162	5.09487046587349e-14	8.50168144004191e-13
"ZNF721_E"	"ZNF721_E"	312	-7.49230493842919	6.76744635931025e-14	1.11582300091008e-12
"TADA2B_E"	"TADA2B_E"	459	-7.37380166733934	1.658298375823e-13	2.70205088295866e-12
"ZNF324B_E"	"ZNF324B_E"	333	-7.33320871413412	2.24706568225987e-13	3.61882089526735e-12
"ZNF672_E"	"ZNF672_E"	537	-7.32899213288953	2.31889996865979e-13	3.69158213401587e-12
"WIZ_E"	"WIZ_E"	909	-7.30806789656765	2.71010853389688e-13	4.26534127209906e-12
"NFXL1_E"	"NFXL1_E"	465	-7.29503423695135	2.98583142020056e-13	4.64649046851435e-12
"ZNF335_E"	"ZNF335_E"	886	-7.21436693560178	5.41854629242608e-13	8.33854068334458e-12
"ZSCAN25_E"	"ZSCAN25_E"	373	-7.18944410775818	6.50556442544955e-13	9.9013260760963e-12
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-7.17669762666204	7.14153929705798e-13	1.07511216591579e-11
"ZNF777_E"	"ZNF777_E"	388	-7.14797950578177	8.80644555315715e-13	1.31149753667986e-11
"PLAGL2_E"	"PLAGL2_E"	220	-7.12317512600903	1.05468669750986e-12	1.55397986813953e-11
"ZNF281_E"	"ZNF281_E"	727	7.08292537203448	1.41142694662208e-12	2.05771191691745e-11
"ZNF691_E"	"ZNF691_E"	445	7.0386293491775	1.94140031233544e-12	2.80087440894227e-11
"ZNF311_E"	"ZNF311_E"	195	7.0344415096516	2.00060701544752e-12	2.85653682102558e-11
"ZNF410_E"	"ZNF410_E"	479	-7.03174708337345	2.03963277891134e-12	2.88254224366551e-11
"ZNF81_E"	"ZNF81_E"	344	-7.0135383264894	2.32365273748101e-12	3.25076670849616e-11
"PRDM10_E"	"PRDM10_E"	221	-6.97963984398537	2.95937726768911e-12	4.09873751574942e-11
"ZNF575_E"	"ZNF575_E"	494	6.95781489174258	3.45590875462767e-12	4.73904319322705e-11
"CNOT4_E"	"CNOT4_E"	358	-6.94726660011275	3.72431501228762e-12	5.05703558041015e-11
"ZNF546_E"	"ZNF546_E"	299	6.93383948973143	4.09569346297943e-12	5.5073159672102e-11
"ZNF205_E"	"ZNF205_E"	525	6.91573316282268	4.65449794037949e-12	6.19853812252460e-11
"ZNF628_E"	"ZNF628_E"	281	-6.9123208817491	4.76787835228793e-12	6.28905858849408e-11
"ZNF610_E"	"ZNF610_E"	133	6.89056277541672	5.55720963766835e-12	7.26107108317987e-11
"ZNF30_E"	"ZNF30_E"	199	6.74092157369509	1.57385147516984e-11	2.03718158234601e-10
"KAT7_E"	"KAT7_E"	618	-6.69885703323772	2.10055971406299e-11	2.69377333701597e-10
"ZNF717_E"	"ZNF717_E"	219	6.67982752968253	2.39223617072081e-11	3.0396762352737e-10
"ZNF649_E"	"ZNF649_E"	313	6.66986106241057	2.56045705750868e-11	3.22384820422684e-10
"ZNF277_E"	"ZNF277_E"	776	-6.63811652097546	3.17716671801282e-11	3.9643026166196e-10
"HMG20B_E"	"HMG20B_E"	807	6.56981230194744	5.03787261611517e-11	6.22986926189242e-10
"RBAK_E"	"RBAK_E"	285	-6.55329510711748	5.62811371946314e-11	6.85230423693799e-10
"ZNF202_E"	"ZNF202_E"	595	6.55297585787272	5.64016377625221e-11	6.85230423693799e-10
"ZNF292_E"	"ZNF292_E"	393	-6.54376641362563	5.99884710619945e-11	7.22469847137934e-10
"ZNF684_E"	"ZNF684_E"	225	6.48290627283854	8.9972395743114e-11	1.07423938020873e-09
"ZFP14_E"	"ZFP14_E"	398	6.47226328672577	9.65456997272689e-11	1.14287003523306e-09
"RREB1_E"	"RREB1_E"	599	-6.39887009627742	1.56530940557779e-10	1.83724875146206e-09
"YY2_E"	"YY2_E"	389	-6.38221036071966	1.74549957720827e-10	2.02717449741834e-09
"ZNF19_E"	"ZNF19_E"	177	6.38125751323813	1.75639667646354e-10	2.02717449741834e-09
"ZNF587_E"	"ZNF587_E"	286	-6.35549165613877	2.07761027321136e-10	2.36425627772271e-09
"BATF2_E"	"BATF2_E"	225	6.35512337900125	2.0825939774886e-10	2.36425627772271e-09
"ZNF507_E"	"ZNF507_E"	465	-6.339226914091	2.30920925585398e-10	2.60020717020956e-09
"ZNF687_E"	"ZNF687_E"	472	-6.32486697336112	2.53450830817484e-10	2.83088226356625e-09
"ZBTB44_E"	"ZBTB44_E"	471	-6.31140548911507	2.76512645164287e-10	3.0637601084203e-09
"THAP8_E"	"THAP8_E"	728	6.29795968473882	3.01588920949844e-10	3.3150845675836e-09
"LRRFIP2_E"	"LRRFIP2_E"	285	-6.2934063732116	3.10573864482396e-10	3.38696694730802e-09
"NONO_C"	"NONO_C"	27	-6.26813969451421	3.6538692513512e-10	3.9536007133761e-09
"ZNF787_E"	"ZNF787_E"	660	-6.23443672637696	4.53406541963986e-10	4.86796946217148e-09
"ZNF432_E"	"ZNF432_E"	290	-6.20889857423252	5.33572447252108e-10	5.68459876495516e-09
"MGA_E"	"MGA_E"	820	-6.20317129420963	5.53365513399086e-10	5.8504674508224e-09
"ZNF391_E"	"ZNF391_E"	248	6.15610716943953	7.45547821758914e-10	7.82260403890982e-09
"ZNF239_E"	"ZNF239_E"	625	-6.14989770618127	7.75329359448368e-10	8.07391851756383e-09
"ZNF195_E"	"ZNF195_E"	672	-6.14427103702546	8.03315726977035e-10	8.302927476591e-09
"VEZF1_E"	"VEZF1_E"	885	-6.09514657877394	1.09337218876728e-09	1.12171887514272e-08
"KAT8_E"	"KAT8_E"	585	-6.06199024301615	1.34447372583699e-09	1.36918831638547e-08
"CIC_E"	"CIC_E"	448	-6.04020495560305	1.53918590090554e-09	1.55603830128042e-08
"ZNF574_E"	"ZNF574_E"	282	-6.02117417730026	1.73156298205119e-09	1.73783676097167e-08
"ZNF513_E"	"ZNF513_E"	777	-6.00292766057342	1.93790973882899e-09	1.93093884048788e-08
"ZNF841_E"	"ZNF841_E"	430	-5.96192639535659	2.4928143921974e-09	2.46610566656671e-08
"ELMSAN1_E"	"ELMSAN1_E"	198	-5.94934475642634	2.69218048390495e-09	2.64444678738182e-08
"ZFP69_E"	"ZFP69_E"	166	5.93852894717343	2.87590878587707e-09	2.80502371016883e-08
"ZNF775_E"	"ZNF775_E"	922	5.91764259129819	3.26588691481815e-09	3.16311424966653e-08
"CSRNP1_E"	"CSRNP1_E"	150	-5.89241913642036	3.80582350464821e-09	3.66046219023456e-08
"ZSCAN29_E"	"ZSCAN29_E"	429	-5.872520932252	4.29217490813383e-09	4.09976706742438e-08
"ZBTB2_E"	"ZBTB2_E"	322	-5.85270613107233	4.83638252020249e-09	4.58793821265785e-08
"FOXK2_C"	"FOXK2_C"	50	-5.83221465596388	5.46964902035209e-09	5.15337679808683e-08
"THAP6_E"	"THAP6_E"	487	5.80827088832187	6.31213308993435e-09	5.90696238483721e-08
"ARID4A_E"	"ARID4A_E"	537	-5.7841686886231	7.28717895729267e-09	6.77365292338949e-08
"NCOA2_C"	"NCOA2_C"	19	-5.77241772560151	7.81421019883087e-09	7.21512075025383e-08
"ZNF16_E"	"ZNF16_E"	298	-5.7371598108204	9.62774031414977e-09	8.83074194377313e-08
"GLI4_E"	"GLI4_E"	998	5.73158067758426	9.94990028174725e-09	9.06619203303943e-08
"ZNF408_E"	"ZNF408_E"	451	-5.72461242213344	1.0367013920812e-08	9.38451913746704e-08
"ZNF429_E"	"ZNF429_E"	157	5.71471616097778	1.09887285037496e-08	9.88272011538519e-08
"ZNF491_E"	"ZNF491_E"	148	5.7084635092345	1.1400061224412e-08	1.01865063198778e-07
"ERF_E"	"ERF_E"	638	5.69585521009261	1.22755022560436e-08	1.089844270809e-07
"RFX7_E"	"RFX7_E"	408	-5.65106569697086	1.59456128404663e-08	1.40666712000292e-07
"ZNF497_E"	"ZNF497_E"	328	5.62037434264169	1.90544138136754e-08	1.67027614759116e-07
"ZBTB39_E"	"ZBTB39_E"	288	-5.61720996724775	1.94065543289322e-08	1.69044514123089e-07
"THAP10_E"	"THAP10_E"	443	5.56469357682055	2.62613462780411e-08	2.27324778719293e-07
"ZNF134_E"	"ZNF134_E"	544	-5.52128841749774	3.36522869140082e-08	2.89493275626716e-07
"ZBTB40_E"	"ZBTB40_E"	358	-5.49720175438404	3.85865148012949e-08	3.29890882714774e-07
"ZNF324_E"	"ZNF324_E"	634	-5.49071072785099	4.00319544612108e-08	3.40148815513969e-07
"ZNF280C_E"	"ZNF280C_E"	352	-5.48393323936613	4.15971805009787e-08	3.51293262157655e-07
"ZGLP1_E"	"ZGLP1_E"	547	5.48023931057504	4.24750927495267e-08	3.56533354291481e-07
"ZNF572_E"	"ZNF572_E"	101	5.44292160886854	5.24137166153263e-08	4.37307213929078e-07
"ZNF215_E"	"ZNF215_E"	284	-5.4315274724057	5.5873711935048e-08	4.63383778623003e-07
"TFE3_E"	"TFE3_E"	1346	-5.42229753955483	5.88378381671729e-08	4.85061939651991e-07
