"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF407_E"	"ZNF407_E"	432	-6.39722561456979	1.582254547157e-10	3.65237091302075e-09
"ZNF681_E"	"ZNF681_E"	172	-6.38506184614662	1.71328212966857e-10	3.88999303211635e-09
"ZNF736_E"	"ZNF736_E"	353	-6.32315262184504	2.56279946501328e-10	5.72496332103774e-09
"HLX_E"	"HLX_E"	312	6.31861503318748	2.63917806509276e-10	5.80200257167218e-09
"ZNF26_E"	"ZNF26_E"	515	-6.25122918050658	4.07234771455687e-10	8.81281497603322e-09
"ZNF778_E"	"ZNF778_E"	439	-6.23615384394628	4.48460080107486e-10	9.55564939921336e-09
"ZFP69_E"	"ZFP69_E"	166	-6.20014670787095	5.64105522271207e-10	1.18376689143276e-08
"ZBTB45_E"	"ZBTB45_E"	655	-6.19559259605097	5.80661433727809e-10	1.20032251598958e-08
"ZNF169_E"	"ZNF169_E"	271	-6.15849752476982	7.34383320614193e-10	1.49576602801567e-08
"ZNF787_E"	"ZNF787_E"	660	-6.11384188726618	9.72606738462777e-10	1.95226135184195e-08
"DMAP1_E"	"DMAP1_E"	920	-6.0324785353662	1.61463795811106e-09	3.19467653140545e-08
"ZNF513_E"	"ZNF513_E"	777	-5.99098633117076	2.08572171660565e-09	4.0686261654913e-08
"ZNF682_E"	"ZNF682_E"	111	-5.94586540890316	2.75000041217705e-09	5.28993134842391e-08
"TCFL5_E"	"TCFL5_E"	398	-5.93804026244002	2.88449214280237e-09	5.47263235312504e-08
"NRL_E"	"NRL_E"	719	-5.91809558441652	3.25690683150655e-09	6.02510238020952e-08
"ZNF662_E"	"ZNF662_E"	334	-5.91780367661148	3.26269081960804e-09	6.02510238020952e-08
"ZBTB42_E"	"ZBTB42_E"	601	-5.84264760765857	5.13776266542964e-09	9.36289643634217e-08
"ZNF668_E"	"ZNF668_E"	504	-5.79642822700322	6.77421564057847e-09	1.21847904703911e-07
"ZNF689_E"	"ZNF689_E"	446	-5.78720427578583	7.15675272630304e-09	1.27078237511919e-07
"E2F2_A"	"E2F2_A"	15	-5.77545629873136	7.67448178256037e-09	1.34546294542356e-07
"ZNF700_E"	"ZNF700_E"	501	-5.7577447906852	8.52451013140125e-09	1.47580581649884e-07
"NFX1_E"	"NFX1_E"	618	-5.73752322240688	9.60711103095284e-09	1.64269737998391e-07
"ZNF581_E"	"ZNF581_E"	501	-5.7250259422851	1.03417936430297e-08	1.74675417019466e-07
"ZC3H4_E"	"ZC3H4_E"	438	-5.71979550881606	1.06652333020107e-08	1.77968049678131e-07
"ZFP62_E"	"ZFP62_E"	394	-5.69181938965188	1.2569277154019e-08	2.07243438789481e-07
"ZNF846_E"	"ZNF846_E"	444	-5.67040213505912	1.42462729930651e-08	2.32130448181119e-07
"ATF4_AA"	"ATF4_AA"	9	5.65215916000593	1.5844477031065e-08	2.55169775442152e-07
"THAP5_E"	"THAP5_E"	331	5.61632075938441	1.95066398132177e-08	3.10536737256397e-07
