"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"HMGXB3_E"	"HMGXB3_E"	858	8.66076699960973	4.68600483966502e-18	1.06395355785837e-16
"ZFAT_E"	"ZFAT_E"	255	8.4960527476407	1.96146888630731e-17	4.38166839925101e-16
"THAP10_E"	"THAP10_E"	442	8.43371362153004	3.34865573156291e-17	7.36172728288036e-16
"IRX4_E"	"IRX4_E"	161	-8.42312521416281	3.66572339500193e-17	7.93285453449638e-16
"GRHL3_E"	"GRHL3_E"	327	-8.15787745943117	3.40963174557087e-16	7.26513841171639e-15
"ZNF28_E"	"ZNF28_E"	397	8.13195228529336	4.22431106136801e-16	8.86465275756772e-15
"OVOL1_E"	"OVOL1_E"	710	-8.10579479844943	5.24018214519343e-16	1.08323168225267e-14
"ETV3_E"	"ETV3_E"	742	-8.0871389597893	6.108256407785e-16	1.24410810658562e-14
"THAP8_E"	"THAP8_E"	730	8.04677696707681	8.50028858005211e-16	1.70621734541626e-14
"ZNF787_E"	"ZNF787_E"	660	7.98892253601468	1.36123190585832e-15	2.69329455659111e-14
"RORC_E"	"RORC_E"	913	-7.85981349565604	3.84705831167293e-15	7.50447290375635e-14
"ZNF22_E"	"ZNF22_E"	436	7.83689371496306	4.6182864063816e-15	8.88378704560905e-14
"IRX5_E"	"IRX5_E"	91	-7.82738537052144	4.98120451370482e-15	9.45064144038517e-14
"TFE3_E"	"TFE3_E"	1349	7.82180464439755	5.20713753186315e-15	9.74579119139252e-14
"ZNF32_E"	"ZNF32_E"	810	7.74843812755699	9.3029679455184e-15	1.71794808060573e-13
"NRL_E"	"NRL_E"	717	7.72829527833819	1.08996291775081e-14	1.98631400142746e-13
"ZBTB47_E"	"ZBTB47_E"	724	7.58487551302144	3.32806443259335e-14	5.98619381706726e-13
"PHTF2_E"	"PHTF2_E"	468	7.41553505980746	1.21134754189005e-13	2.15091839168939e-12
"ZFP64_E"	"ZFP64_E"	754	7.40231377166374	1.33831808451871e-13	2.3462918317195e-12
"IRX2_E"	"IRX2_E"	86	-7.39563825893273	1.40730643269649e-13	2.4363992616058e-12
"HOPX_E"	"HOPX_E"	285	-7.36627300271925	1.75464316368158e-13	3.00022318728271e-12
"FEV_E"	"FEV_E"	722	-7.32160209858354	2.45027790009563e-13	4.13857913613713e-12
"YY2_E"	"YY2_E"	393	7.26370561299472	3.76627221664294e-13	6.28468315668732e-12
"SFPQ_E"	"SFPQ_E"	544	7.16070853576488	8.02611340311433e-13	1.32335322182302e-11
"GZF1_E"	"GZF1_E"	205	-7.15121456928264	8.60134171714609e-13	1.40151273861733e-11
"ZNF414_E"	"ZNF414_E"	725	7.06337334677815	1.6250832214933e-12	2.61713983926538e-11
"MYRF_E"	"MYRF_E"	271	-6.99497538023855	2.65305513650048e-12	4.22354179776225e-11
"TOX3_E"	"TOX3_E"	108	-6.85759874132287	7.00276214276429e-12	1.10213926906006e-10
"ZNF93_E"	"ZNF93_E"	58	-6.83815786327073	8.02179747954174e-12	1.24833589990621e-10
"THAP5_E"	"THAP5_E"	331	6.80859517484918	9.8556378625459e-12	1.51667315995845e-10
"ZBTB2_E"	"ZBTB2_E"	322	6.78529300939342	1.15851141584398e-11	1.76322891312518e-10
"BNC1_E"	"BNC1_E"	222	-6.72341677308563	1.77511895133083e-11	2.6723258126013e-10
"ZKSCAN5_E"	"ZKSCAN5_E"	383	6.71085746405117	1.9348403811237e-11	2.88145583640465e-10
"ZNF267_E"	"ZNF267_E"	664	6.62464622460732	3.48080802432946e-11	5.12863735499606e-10
"ZBTB45_E"	"ZBTB45_E"	655	6.59210904194292	4.33621911375179e-11	6.32175102373288e-10
"MESP1_E"	"MESP1_E"	491	6.55742717465192	5.47440297064782e-11	7.89073310087346e-10
"L3MBTL1_E"	"L3MBTL1_E"	660	-6.55601785258798	5.52636181072004e-11	7.89073310087346e-10
"ZNF511_E"	"ZNF511_E"	704	6.47054389921978	9.76507771677496e-11	1.38006455487075e-09
