,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
1,ACVR_1A2B_receptor_INHA,"['ACVR2B', 'ACVR1']","['EVT_2', 'iEVT']",['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,FALSE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_GC,
4,ACVR_1B2B_receptor_GDF11,"['ACVR2B', 'ACVR1B']",['iEVT'],['GDF11'],['eEVT'],F-F,FALSE,nan,yes,iEVT_and_eEVT,
5,ACVR_1B2B_receptor_INHA,"['ACVR2B', 'ACVR1B']",['iEVT'],['INHA'],"['VCT_CCC', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,FALSE,nan,yes,iEVT_and_iEVT_GC,
7,ADM2_RAMP2_complex,"['RAMP2', 'CALCRL']","['EVT_2', 'iEVT']",['ADM2'],['eEVT'],(M+F)-F,FALSE,nan,yes,EVT_2_iEVT_and_eEVT,
22,COL11A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL11A1'],"['GC', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_iEVT,
25,COL15A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL15A1'],"['GC', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_iEVT,
28,COL17A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL17A1'],"['VCT_CCC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT,
31,COL19A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL19A1'],"['GC', 'eEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_eEVT,
34,COL1A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL1A1'],['GC'],(M+F)-F,TRUE,nan,yes,iEVT_and_GC,
37,COL1A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL1A2'],['GC'],(M+F)-F,TRUE,nan,yes,iEVT_and_GC,
40,COL21A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL21A1'],['eEVT'],(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_eEVT,
43,COL26A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL26A1'],"['GC', 'eEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_eEVT,
46,COL27A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL27A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_eEVT_GC,
49,COL3A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL3A1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_GC,
52,COL4A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_eEVT_GC,
55,COL4A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_eEVT_GC,
58,COL5A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL5A1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_GC,
61,COL5A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL5A2'],['GC'],(M+F)-F,TRUE,nan,yes,iEVT_and_GC,
64,COL6A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL6A1'],"['GC', 'eEVT']",(M+F)-F,TRUE,nan,yes,"EVT_2_iEVT_and_eEVT,iEVT_and_GC",
67,COL6A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL6A2'],"['GC', 'iEVT']",(M+F)-F,TRUE,nan,yes,"EVT_2_iEVT_and_iEVT,iEVT_and_GC",
70,COL9A3_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_1_EVT_2_eEVT,
74,FLT1_complex_PGF,"['FLT1', 'KDR']","['EVT_2', 'iEVT']",['PGF'],"['EVT_1', 'EVT_2', 'GC', 'dS1', 'dM2', 'uSMC', 'Endo_M']",(M+F)-(M+F),FALSE,nan,yes,"EVT_2_iEVT_and_iEVT,iEVT_and_dM2_dS1_Endo_M_iSMC",
75,FLT1_complex_VEGFB,"['FLT1', 'KDR']","['EVT_2', 'iEVT']",['VEGFB'],"['VCT_CCC', 'iEVT', 'GC', 'dS2', 'dS3', 'dM1', 'dS1', 'dM2']",(M+F)-(M+F),FALSE,nan,yes,"EVT_2_iEVT_and_iEVT,iEVT_and_GC_dS_dM",
77,FN1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_GC,
81,FN1_integrin_a4b7_complex,"['ITGB7', 'ITGA4']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,no,,
83,FN1_integrin_a8b1_complex,"['ITGB1', 'ITGA8']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,TRUE,nan,yes,EVT_2_iEVT_and_EVT_2_iEVT_GC,
127,IL7_receptor_IL7,"['IL2RG', 'IL7R']",['iEVT'],['IL7'],"['GC', 'eEVT']",(M+F)-F,FALSE,nan,no,,
