,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
12,BMR1A_AVR2B_BMP4,"['ACVR2B', 'BMPR1A']",['VCT_CCC'],['BMP4'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,FALSE,nan,no,,
15,CD47_SIRB1_complex,['CD47'],"['VCT_CCC', 'EVT_1']","['TYROBP', 'SIRPB1']",['dM1'],F-(M+F),FALSE,nan,no,,
20,CDH1_integrin_aEb7_complex,"['ITGB7', 'ITGAE']",['EVT_1'],['CDH1'],"['VCT_CCC', 'eEVT', 'GC']",(M+F)-F,TRUE,nan,no,,ITGB7 % way too low
86,FZD1_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD1']","['dS1', 'dS2']",F-(M+F),FALSE,nan,no,,
87,FZD2_LRP5_WNT2B,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
88,FZD2_LRP5_WNT6,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
89,FZD2_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD2', 'LRP5']","['VCT_CCC', 'dS1']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,same as above
89,FZD2_LRP5_WNT7A,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC_EVT_1,
92,FZD2_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD2']","['VCT_CCC', 'iEVT', 'dS1', 'dS2']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
93,FZD3_LRP5_WNT2B,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,FALSE,nan,no,,
94,FZD3_LRP5_WNT6,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
95,FZD3_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD3', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),FALSE,nan,yes,VCT_CCC_and_VCT_CCC,
