,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments
9,ACKR2_CCL3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2']",(M+F)-(M+F),nan
18,ADORA1_ENTPD1,ADORA1,['eEVT'],ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan
25,AGRN_NCAM1,NCAM1,['eEVT'],AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F),nan
47,BTC_ERBB4,ERBB4,['eEVT'],BTC,"['VCT_CCC', 'iEVT']",F-F,nan
49,BTN3A1_CSF1R,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'Endo_M']",F-(M+F),Jarrods_inter
55,CCL3L1_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F),nan
58,CCL3_CCR1,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan
59,CCL3_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan
60,CCL3_CCR3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR3,"['eEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F),nan
63,CCL5_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F),nan
66,CCR1_CCL14,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan
68,CCR1_CCL26,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL26,"['iEVT', 'dS3', 'dS2']",F-(M+F),nan
70,CCR1_CCL7,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F),nan
72,CCR1_CCL8,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F),nan
86,CD226_NECTIN2,CD226,['eEVT'],NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan
95,CD46_JAG1,JAG1,['eEVT'],CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan
99,CD55_ADGRE2,ADGRE2,"['EVT_2', 'eEVT']",CD55,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),Jarrods_inter
119,CEACAM1_CD209,CD209,['eEVT'],CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F,nan
