,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
9,ACKR2_CCL3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2']",(M+F)-(M+F),nan,yes,eEVT_branch_and_EVT_2_dS23,
18,ADORA1_ENTPD1,ADORA1,['eEVT'],ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_eEVT_dNK1_dM_Endo_M_uSMC,
25,AGRN_NCAM1,NCAM1,['eEVT'],AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_eEVT_iEVT_dS3_dS2_Endo_M,
47,BTC_ERBB4,ERBB4,['eEVT'],BTC,"['VCT_CCC', 'iEVT']",F-F,nan,no,,BTC % too low
49,BTN3A1_CSF1R,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'Endo_M']",F-(M+F),Jarrods_inter,yes,EVT_1_EVT_2_eEVT_and_dNK,
55,CCL3L1_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK_dM,
58,CCL3_CCR1,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,VCT_CCC_EVT_1_EVT_2_eEVT_and_dNK_dM,
59,CCL3_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,dNK_dM_and_EVT_1_EVT_2_eEVT,
60,CCL3_CCR3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR3,"['eEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
63,CCL5_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK,
66,CCR1_CCL14,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_Endo_M,
68,CCR1_CCL26,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL26,"['iEVT', 'dS3', 'dS2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dS3_dS2,
70,CCR1_CCL7,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dM1,
72,CCR1_CCL8,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dM_dS3_dS2,
86,CD226_NECTIN2,CD226,['eEVT'],NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan,no,,
95,CD46_JAG1,JAG1,['eEVT'],CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M_dS3_dS2,
99,CD55_ADGRE2,ADGRE2,"['EVT_2', 'eEVT']",CD55,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),Jarrods_inter,yes,eEVT_and_EVT_2,
119,CEACAM1_CD209,CD209,['eEVT'],CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F,nan,no,,
128,CSF1R_CSF1,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",CSF1,"['GC', 'dNK1', 'dNK2']",(M+F)-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK1_dNK2,
133,CXCL11_ACKR3,ACKR3,['eEVT'],CXCL11,"['EVT_2', 'iEVT', 'dM1']",F-(M+F),nan,yes,eEVT_and_dM1,
136,CXCL12_CXCR4,CXCL12,['eEVT'],CXCR4,"['iEVT', 'GC', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,eEVT_and_dNK23_dM,
155,DPP4_CXCL12,CXCL12,['eEVT'],DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F,nan,no,,
158,DSC2_DSG2,DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",DSG2,"['eEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
159,DSC2_DSG2,DSG2,['eEVT'],DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_dM_EVT_2_eEVT,
162,DSG2_DSC3,DSG2,['eEVT'],DSC3,"['VCT_CCC', 'dM2', 'Endo_M', 'uSMC']",F-(M+F),nan,no,,DSC3 % too low
165,EFNA1_EPHA1,EPHA1,['eEVT'],EFNA1,"['EVT_1', 'GC', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
192,EPHA1_EFNA3,EPHA1,['eEVT'],EFNA3,"['EVT_1', 'EVT_2', 'dNK1', 'dM1', 'Endo_M']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M,
194,EPHA1_EFNA4,EPHA1,['eEVT'],EFNA4,"['EVT_1', 'EVT_2', 'dM1', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_dS,
196,EPHA1_EFNA5,EPHA1,['eEVT'],EFNA5,"['VCT_CCC', 'GC', 'dNK1', 'dNK2', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F),nan,yes,eEVT_and_dNK1_dNK2_dS3_dS2,
230,ERBB4_HBEGF,ERBB4,['eEVT'],HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'Endo_M']",F-(M+F),nan,yes,eEVT_and_dM,
232,ERBB4_NRG4,ERBB4,['eEVT'],NRG4,"['GC', 'dNK1', 'dS1', 'uSMC']",F-(M+F),nan,no,,
237,EREG_ERBB4,ERBB4,['eEVT'],EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",F-F,nan,no,,
248,FGF1_FGFR1,FGF1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M_dS2,
250,FGF1_FGFR2,FGF1,['eEVT'],FGFR2,"['VCT_CCC', 'uSMC']",F-(M+F),nan,no,,
252,FGF1_FGFR3,FGF1,['eEVT'],FGFR3,"['EVT_1', 'EVT_2', 'eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
253,FGF1_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
257,FGF2_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,EVT_2_eEVT_and_dS3_dS2_Endo_M,
259,FGFR1_NCAM1,NCAM1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M_dS2,
264,FLT4_VEGFC,FLT4,['eEVT'],VEGFC,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
278,GH2_GHR,GH2,['eEVT'],GHR,"['VCT_CCC', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,eEVT_and_dS2_Endo_M,
