"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",1,1,0.337142852791311,0.167387192387087,0.858195404771452,1,1,0.633864854679628,0.00419348658064758,0.0200566507175733,1,1,0.84687073736865,0.23493590417079,0.938234354439256,1,1,0.786738143161186,0.0189605500396423,0.0357629856457011,0,0,0.959869223204834,1.38074238134,0.178676143712738,0,0,0.476307851632553,2.86384706435985,2.32563656915244
"FOXD1",1,0.422534897936385,0.444199237243115,4.53438720176254e-06,0.273734145640885,1,0.400576779922929,1,0.00771902961964119,0.419234863480454,1,0.73609154247486,0.881049378453712,1.83991480686903e-05,0.623919270998003,1,0.945500225905108,1,0.0300959004337739,0.49510385929688,0,0.802062195603949,0.765149942719187,4.58762658516055,1.09456019143336,0,0.840625289559239,0,2.66462586842893,0.807780761878077
"IRF2",1,0.0154598843281558,1,1,1,0.778499838507628,1,0.00265884565843318,1,0.000107607507142915,1,0.115130667996736,1,1,1,0.919032609058987,1,0.0143850367674206,1,0.000291092102655835,0,2.42181341745742,0,0,0,0.281281670576862,0,3.0053605859045,0,3.87422168369575
"MZF1(var.2)",0.000212512175716256,1,1,1,1,1,0.958705974787065,0.00068040714117796,1,6.42956087910414e-20,0.00114974536092641,1,1,1,1,1,0.992755028614263,0.00434012939441167,1,8.30594293157738e-19,3.70493999502025,0,0,0,0,0,0.0517787315150688,3.39835630910126,0,9.15502444324968
"MAX::MYC",0.00164476231592949,0.759032325330678,1,1,1,1,0.492617741228329,0.435587458993779,1,0.000197206101854535,0.0066739393973293,0.919039706666457,1,1,1,1,0.947802523396755,0.64122525940247,1,0.000503352671265809,3.14865690997532,0.306759652135877,0,0,0,0,0.686174958615814,0.779695525446935,0,3.72386904341424
"PPARG",0.0197099312801549,0.577537993580153,1,1,1,1,1,1,1,0.0182906325271524,0.0527534136753121,0.804499844713727,1,1,1,1,1,1,1,0.0327061310443148,2.33217720915118,0.5570016884833,0,0,0,0,0,0,0,2.36004575195086
"PAX6",0.302729690372123,1,0.270904069963979,0.332375798388681,1,1,0.627592453067254,0.892662830076365,0.547818426076008,0.740256717572397,0.473202385660977,1,0.807091770800228,0.419256353993593,1,1,0.957467661116243,0.944538125966588,0.683962650307915,0.794207630886995,1.03064727306734,0,1.10104020819105,0.969383744762176,0,0,0.485132353686707,0.134938780961131,0.601051598203809,0.331522051646357
"PBX1",1,0.33448612883747,0.0627165977371953,0.0511977284994451,1,1,1,1,0.631758410118985,0.103801434747682,1,0.660618570953406,0.507934760008292,0.0843962555733041,1,1,1,1,0.758829361679919,0.149332518625642,0,0.965160977089629,1.86139060395269,1.95003878085385,0,0,0,0,0.479267192553296,1.62683654662047
"RORA",1,0.913117071953507,1,0.0127660260099087,0.501013905730541,0.448854631573739,0.675116115196784,1,0.451331203110388,1,1,0.977823886423105,1,0.0250182491153938,0.721162005151039,0.76377683275854,0.957467661116243,1,0.59395561656731,1,0,0.109110289216728,0,2.49065203289782,0.672918269268068,0.757353916605022,0.419148438401424,0,0.753225307052236,0
"RORA(var.2)",0.32969997065072,1,1,0.196156174435965,0.468681095954989,1,1,1,0.421293267604988,1,0.504106476864507,1,1,0.269927953082534,0.696420501735934,1,1,1,0.566196684488232,1,0.974763056647022,0,0,1.29266167140582,0.724652636621754,0,0,0,0.804210706163965,0
"RREB1",5.7808825680333e-06,1,1,1,1,1,0.537236297751061,6.67935385282419e-05,1,2.15481507083836e-34,3.93472974791944e-05,1,1,1,1,1,0.957467661116243,0.00058722652622746,1,5.93042582539428e-33,4.53654725313187,0,0,0,0,0,0.617017636959046,3.98901191046994,0,12.2731984328711
"RXRA::VDR",0.981812447308786,0.0789923342359801,1,1,1,0.874764509667983,0.184782633950698,0.323725668843397,1,8.02701479190585e-07,0.992543189456388,0.337852348455239,1,1,1,0.970411669848923,0.804736870556325,0.54937895007472,1,2.93705223310775e-06,0.0227972273112565,1.75673160924676,0,0,0,0.157613305576875,1.32625827895953,0.986876422634035,0,4.93765098437063
"SOX9",0.10605809854655,0.557773220419469,1,0.506410906974925,0.0323659875538372,0.704247295169728,0.71110230999838,0.00337038976483212,1,0.379892580430021,0.207469028274933,0.798840929688359,1,0.594727465890775,0.43368724913456,0.887953914130522,0.961811457754219,0.0174873501732683,1,0.454578456355772,1.61630472164034,0.586170737657736,0,0.664459120261772,2.1401417687126,0.379603559976158,0.370385956740852,2.93242872667922,0,0.878130785049569
"SRY",1,0.141453570381451,0.622217051930836,4.18762533918901e-08,0.0733402934148566,0.3846824410405,0.439000101091977,1,0.0598508715550922,1,1,0.434438763171003,0.928125745307799,2.57356003855014e-07,0.504613105778307,0.709924155039756,0.945500225905108,1,0.1440517174691,1,0,1.47050883523875,0.492725039646817,5.4867554982609,1.79088424611657,0.869337005777596,0.773911881024722,0,1.88209146847137,0
"TAL1::TCF3",1,0.860948902777359,1,0.000731200702119061,1,1,0.209150843200782,1,1,1,1,0.967366214182431,1,0.0019529537740142,1,1,0.850116981424736,1,1,1,0,0.175170620292597,0,3.37859002722068,0,0,1.25597989303269,0,0,0
"REL",3.61287782962004e-05,0.331329798345829,1,1,1,1,1,0.0529502490023566,1,2.25074386147727e-09,0.00021989919866822,0.660618570953406,1,1,1,1,1,0.152352307356781,1,1.22820764165096e-08,4.13269124844962,0.971483209146978,0,0,0,0,0,1.93554230168422,0,5.98375840950687
"RELA",0.000955642419863432,0.768200295561742,1,1,1,1,0.809457078663848,0.0250030239642126,1,7.96418952460753e-14,0.0042405284632922,0.919039706666457,1,1,1,1,0.972278955590709,0.0855508874018735,1,6.54718437542411e-13,3.3041951697418,0.294737329630645,0,0,0,0,0.241132490941071,2.24167333436182,0,7.48089669537689
"NR1H2::RXRA",0.0282952055184576,1,1,1,1,1,1,0.0628744942440297,1,0.000558396976106501,0.072513623859043,1,1,1,1,1,1,0.171609307440071,1,0.00132881686419329,2.19346848662077,0,0,0,0,0,0,1.86027295457836,0,3.45210364461778
"NFIC::TLX1",0.45264995766646,0.0466450848009145,0.986221553737844,0.675123489047942,1,0.299752277041809,0.157461533192462,1,0.624244364359665,0.0966333519491759,0.631870453737854,0.240051533975438,0.992493232934905,0.72927161871561,1,0.630874458629536,0.751769422198445,1,0.752660347885082,0.141923229196817,0.751032087521588,1.98974052244699,0.0172699858331183,0.419138347813586,0,1.03701534424823,1.41376037696816,0,0.4898581726384,1.66154576104009
"ZNF354C",6.16592733778456e-07,0.212706870245414,1,1,1,1,0.143881904616947,0.0465007915527741,1,1.32242552947772e-17,4.64646667240194e-06,0.521873832811423,1,1,1,1,0.745777933395684,0.137546733892084,1,1.41880569518542e-16,4.98897794631342,1.24623147280369,0,0,0,0,1.46159448142593,1.99105122372859,0,8.55658498361318
"CTCF",3.72825965260652e-08,0.444736935688745,1,1,1,1,1,0.000510960284599873,1,4.60748794102769e-13,3.3714119429999e-07,0.749583494231907,1,1,1,1,1,0.00347452774438961,1,3.43122337255357e-12,5.50731161735444,0.764247130901654,0,0,0,0,0,3.47601191884446,0,7.24548572638667
"EWSR1-FLI1",0.000210720167404747,1,1,1,1,1,0.811000455848174,2.3669634410883e-05,1,4.39024015430603e-23,0.00114974536092641,1,1,1,1,1,0.972278955590709,0.000249714643034815,1,6.46284190157143e-22,3.70708873399311,0,0,0,0,0,0.23914151782194,4.22899999675694,0,9.91772087938991
"REST",0.00124695697148719,1,1,1,1,1,1,0.0227204430627446,1,2.65457567081366e-09,0.00522730968841983,1,1,1,1,1,1,0.0799002247706519,1,1.4240223725636e-08,3.22878221149077,0,0,0,0,0,0,2.27843440147525,0,5.95674494582981
"NFATC2",1,0.00774747827059075,0.954417147648753,0.00239246216390092,1,0.493526586496708,1,0.610720171072486,0.110770738715913,1,1,0.0716826325104297,0.986066662864983,0.00560899462870105,1,0.801031613467733,1,0.772135148368681,0.222596436848168,1,0,2.66338752307142,0.0571620931095703,3.03735036994837,0,0.684734191976046,0,0.509060792313142,1.59487123854509,0
"INSM1",2.79838484908531e-11,0.540990226043111,0.882504123819808,1,1,1,1,0.00107017753182392,1,2.67487108413214e-24,4.02585820334318e-10,0.789047956417717,0.978423398957209,1,1,1,1,0.00621488419857376,1,4.45577209540959e-23,6.66390314252148,0.611335999396152,0.147799096085316,0,0,0,0,3.27229637592695,0,10.1958946221854
"RARA::RXRA",0.134206671681755,0.515103381924574,0.829077287863576,1,1,1,0.307146821606583,0.196113032444673,1,1.82784378778785e-08,0.247675869313559,0.785163167435965,0.978423398957209,1,1,1,0.90396611452493,0.397883171594482,1,8.6345158035053e-08,1.4978316265302,0.650933643426739,0.21589044058283,0,0,0,1.02127620308152,1.29278636908783,0,5.63187607595133
"NR4A2",0.408890705572638,0.452294982706112,1,1,0.440080569446128,1,0.0402501642304735,0.0265578507782061,1,8.78657959054685e-06,0.592283333243661,0.751099119128994,1,1,0.681256553474933,1,0.480723659582825,0.0903823631322822,1,2.75341825782978e-05,0.825879968804988,0.751622090362848,0,0,0.772086127227723,0,2.05142340614844,2.21826431092123,0,4.4472331923947
"PLAG1",1.03261190972651e-09,1,1,1,1,1,1,2.28826455337362e-06,1,3.08909711285143e-19,1.14674269974892e-08,1,1,1,1,1,1,3.29198059610341e-05,1,3.91079694486991e-18,6.10977922572335,0,0,0,0,0,0,4.72873445270428,0,8.98266217268629
"ARNT::HIF1A",0.584284603981128,1,1,1,1,1,1,0.0481184745971745,1,5.77258496701438e-05,0.73174807946902,1,1,1,1,1,1,0.141013863055609,1,0.000164963081512286,0.547153722673048,0,0,0,0,0,0,1.97654850618047,0,4.02354325079379
"DUX4",1,1,1,1.16371940076631e-10,1,0.422712624714524,1,1,0.121507292478274,1,1,1,1,1.06758605896388e-09,1,0.741210779624082,1,1,0.235211364338677,1,0,0,0,6.4504364820218,0,0.801754961054244,0,0,1.54860149831816,0
"FOS",1,1,1,6.39316445706141e-09,0.959165348070008,0.0217624108736811,4.39658495187461e-22,1,0.032529471075757,1,1,1,1,4.54704842844929e-08,0.977699944167979,0.145006379821475,2.31919856211386e-20,1,0.0899177082574417,1,0,0,0,5.81087401508681,0.0512022151316139,2.29482711881695,9.68289650603896,0,2.1381231003878,0
"FOSL2",1,1,1,3.0170611025665e-11,0.266397666341176,0.0115072180648178,1.2109822013011e-13,1,0.000269656929683482,1,1,1,1,3.29275806538724e-10,0.623919270998003,0.0945982991562295,3.19396555593166e-12,1,0.00186353458936233,1,0,0,0,6.65279611934164,1.11145500390215,2.52734499409843,7.42534352502697,0,3.64405203308555,0
