"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"TFAP2B",1,1,1,1,0.00722823556015381,0.00917699795445479,2.76316517110855e-05,0.0156180063414575,9.74998825987952e-06,0.733172709383936,1,1,1,1,0.0408986149348373,0.0263747116537376,8.49069686073648e-05,0.0764396872380305,5.52004747625915e-05,0.847904085651909,0,0,0,0,2.68666072736553,2.60586602103593,4.19398607887852,2.4181109415605,4.42478276645672,0.340917119066268
"TFAP2B(var.2)",1,0.0795914013252679,1,1,4.41353398015653e-05,3.82180716293126e-05,4.44296329555515e-10,0.00636343782386551,0.00123389465959318,0.105950675247192,1,0.0938770374605724,1,1,0.00121468130845177,0.000232615762897643,2.81239576608641e-09,0.0410224384100588,0.00358282256661689,0.257949143967201,0,1.75322961554877,0,0,4.08639012655834,4.11973490462629,6.2434683583965,2.72898304443517,3.23179571560397,1.61680201329296
"TFAP2B(var.3)",1,1,1,1,0.13049786869944,0.00308815582270465,4.37282034541868e-05,1.36854621988119e-05,2.80653899700822e-05,0.53804935309964,1,1,1,1,0.278131821167493,0.0100763022462477,0.000129345573768693,0.00025479110505435,0.000134586301901985,0.70955258440015,0,0,0,0,1.51225830443447,2.95950226169748,4.08854423082904,4.35088374721399,4.19044775555235,0.615785378446277
"TFAP2C",1,1,1,1,0.00383954625910083,0.0167426565250185,2.20627523952873e-06,0.0124441465934521,4.95016841743556e-05,0.286237677300447,1,1,1,1,0.0276185543410321,0.0426535452482552,8.16708904457128e-06,0.0679064206349584,0.000220665958326529,0.489698512786981,0,0,0,0,2.89168790538861,2.39268886652153,4.73615415864824,2.49971843325164,4.05963371468162,1.06646503839463
"TFAP2C(var.3)",1,1,1,1,0.0691219545222757,0.000565372071561921,3.44159714946871e-05,0.0165520428872877,4.28887717770318e-05,0.122051430805074,1,1,1,1,0.174319510807173,0.00257468000934314,0.0001037395712197,0.0789721145349765,0.000198164909013585,0.285086921400782,0,0,0,0,1.81780567285989,3.44874897893093,4.14385510454037,2.39688981125417,4.09304627052327,1.54634328041324
"BHLHE40",1,NA,1,1,0.100404406297196,0.314728993977837,0.000736036660868133,0.691635978939934,6.82556368551174e-05,1,1,NA,1,1,0.229103550777398,0.437853743270266,0.00181996564972472,0.822045680952987,0.00029797115951234,1,0,NA,0,0,1.64303905651415,1.00539616404876,3.37677520633996,0.396646682639474,3.98386407152886,0
"BHLHE23",0.000707810622670993,1.85884617522335e-45,1.51689462189576e-05,0.212845897616679,0.40356906684985,1,1,0.443329220676893,1,0.0660721855724199,0.00133346465521053,1.35559757656532e-44,5.00101195656258e-05,0.391661201137667,0.605353600274775,1,1,0.623616437085496,1,0.190107697578826,3.38752830569482,14.2175134538463,4.328226016387,1.24585274699887,0.835297352274676,0,0,0.766612049209781,0,1.83812274848276
"BHLHE22",0.00345435522331369,1.06966542550817e-66,2.85241342443211e-05,0.207731472271851,1,0.390460508014179,1,0.0555124999803873,1,5.95409377400988e-06,0.00580001818662485,1.30542841725283e-65,9.11907928113901e-05,0.386592540840538,1,0.512750935801888,1,0.173100554126035,1,0.000209385631052681,2.92477285362506,17.3744066138134,4.18676157581017,1.25990444825908,0,0.858817597095836,0,1.91505324730263,0,4.53030210088308
"CLOCK",0.212624412534884,1,0.397318797049944,1,0.0664940794359822,1,1,1,0.0534136267567514,0.399263181817052,0.257616102673138,1,0.486465761184941,1,0.171800986270018,1,1,1,0.0941805730836313,0.593427305051045,1.24645618111936,0,0.84645358424162,0,1.83526673297504,0,0,0,1.93177647610265,0.842971775412635
"FIGLA",0.00425818165137447,0.994225413482756,0.035203908928756,1,0.214584819523334,0.0241859778114182,0.672757333353946,0.362597578286714,0.804927504533355,1,0.0070193463159376,0.99589078268457,0.060064890436395,1,0.387128825136564,0.0573397900922386,0.738050939364034,0.565330707033226,0.856683067774311,1,2.85899013812561,0.00723760419743398,2.10627414270083,0,1.24113074895451,2.25448420347461,0.4223784607405,0.910465725023268,0.246981245318332,0
"HES5",1,0.000403961117102981,1,1,0.00706490188552226,0.223363601604248,1,1,0.134363550199062,1,1,0.000579301554022979,1,1,0.0408986149348373,0.330348504241797,1,1,0.202534670927329,1,0,3.53860615849737,0,0,2.69429219913314,1.21770369417266,0,0,1.4972282317177,0
