"","motif","view","factor","padj"
"119","SPIC","ATAC_all","Factor1",1
"120","SRF","ATAC_all","Factor1",0.581547588311997
"121","TBXT","ATAC_all","Factor1",0.839843736741638
"122","TBX2","ATAC_all","Factor1",0.0877548826857629
"123","TBX20","ATAC_all","Factor1",0.00543579455105342
"124","TBX21","ATAC_all","Factor1",0.0600301642484899
"125","TFAP4","ATAC_all","Factor1",1
"126","TFCP2","ATAC_all","Factor1",0.288266364640182
"127","TFEB","ATAC_all","Factor1",1
"128","ZBTB7B","ATAC_all","Factor1",0.00267391452247641
"129","ZBTB7C","ATAC_all","Factor1",0.000198276927385123
"130","ZIC1","ATAC_all","Factor1",0.062538026423002
"131","ZIC3","ATAC_all","Factor1",0.00293124309013203
"132","ZBTB18","ATAC_all","Factor1",1
"133","LBX2","ATAC_all","Factor1",1
"134","MEOX2","ATAC_all","Factor1",1
"135","MNX1","ATAC_all","Factor1",0.901498155842076
"136","MSX2","ATAC_all","Factor1",0.992029441137382
"137","NOTO","ATAC_all","Factor1",1
"138","OTX1","ATAC_all","Factor1",0.410994907276549
"139","PDX1","ATAC_all","Factor1",0.699388461813251
"140","PHOX2A","ATAC_all","Factor1",1
"141","PITX3","ATAC_all","Factor1",0.150482998948212
"142","PROP1","ATAC_all","Factor1",1
"143","PRRX1","ATAC_all","Factor1",1
"144","RAX2","ATAC_all","Factor1",0.238154317493919
"145","RAX","ATAC_all","Factor1",0.103264544190502
"146","RHOXF1","ATAC_all","Factor1",0.132232214548465
"147","UNCX","ATAC_all","Factor1",0.968105370836346
"148","VAX1","ATAC_all","Factor1",1
"149","VAX2","ATAC_all","Factor1",1
"150","VENTX","ATAC_all","Factor1",0.00108685578063857
"151","VSX1","ATAC_all","Factor1",1
"152","VSX2","ATAC_all","Factor1",1
"153","ESR1","ATAC_all","Factor1",0.0324392765602142
"154","ESRRB","ATAC_all","Factor1",1
"155","NR2F1","ATAC_all","Factor1",1
"156","NR3C1","ATAC_all","Factor1",1
"157","NR3C2","ATAC_all","Factor1",0.934555830687875
"158","RARA","ATAC_all","Factor1",0.0107392062668029
"159","RARA(var.2)","ATAC_all","Factor1",0.787046699001285
"160","BCL6B","ATAC_all","Factor1",1
"161","EGR2","ATAC_all","Factor1",7.57948127107032e-06
"162","EGR3","ATAC_all","Factor1",0.000204483217040688
"163","EGR4","ATAC_all","Factor1",0.000455095063697493
"164","GLIS1","ATAC_all","Factor1",0.284426068641359
"165","GLIS2","ATAC_all","Factor1",0.722598405146336
"166","GLIS3","ATAC_all","Factor1",0.22940432573414
"167","HIC2","ATAC_all","Factor1",0.452798940318434
"168","KLF14","ATAC_all","Factor1",3.60035775249371e-06
"169","KLF16","ATAC_all","Factor1",8.68770538818972e-09
"170","SP8","ATAC_all","Factor1",1.11399240918036e-06
"171","ZBED1","ATAC_all","Factor1",1
"172","ZIC4","ATAC_all","Factor1",0.0353596606714927
"173","ZNF143","ATAC_all","Factor1",0.000324116685661953
"174","ZNF410","ATAC_all","Factor1",1
"175","CUX1","ATAC_all","Factor1",0.620614561945977
"176","CUX2","ATAC_all","Factor1",1
"177","ONECUT2","ATAC_all","Factor1",1
"178","ONECUT3","ATAC_all","Factor1",1
"179","E2F7","ATAC_all","Factor1",0.000212162824226017
"180","ELK3","ATAC_all","Factor1",0.00796766622845711
"181","ERF","ATAC_all","Factor1",0.00100539406337831
"182","ERG","ATAC_all","Factor1",0.0169405823670929
"183","ETS1","ATAC_all","Factor1",0.00399549495513794
"184","ETV2","ATAC_all","Factor1",0.466331298842393
"185","ETV3","ATAC_all","Factor1",0.0538541962911924
"186","FEV","ATAC_all","Factor1",0.00956420305475635
"187","GCM2","ATAC_all","Factor1",1
"188","LEF1","ATAC_all","Factor1",1
"189","HSF2","ATAC_all","Factor1",1
