"","motif","view","factor","padj"
"1341","ETV6","ATAC_all","Factor3",0.792879626567319
"1342","FLI1","ATAC_all","Factor3",0.763541459868603
"1343","FOXI1","ATAC_all","Factor3",1
"1344","FOXL1","ATAC_all","Factor3",1
"1345","FOXO3","ATAC_all","Factor3",1
"1346","GCM1","ATAC_all","Factor3",1
"1347","GRHL1","ATAC_all","Factor3",1
"1348","GSC","ATAC_all","Factor3",1
"1349","HEY2","ATAC_all","Factor3",1
"1350","HINFP","ATAC_all","Factor3",1
"1351","HNF1A","ATAC_all","Factor3",1
"1352","HNF1B","ATAC_all","Factor3",0.879211569673195
"1353","HOXC11","ATAC_all","Factor3",0.119144896297016
"1354","HSF1","ATAC_all","Factor3",1
"1355","IRF8","ATAC_all","Factor3",1
"1356","IRF9","ATAC_all","Factor3",1
"1357","ISX","ATAC_all","Factor3",0.437383301320448
"1358","JDP2","ATAC_all","Factor3",0.506020179425907
"1359","JDP2(var.2)","ATAC_all","Factor3",1
"1360","KLF13","ATAC_all","Factor3",1
"1361","LHX6","ATAC_all","Factor3",0.841291326916211
"1362","MEF2B","ATAC_all","Factor3",1
"1363","MEOX1","ATAC_all","Factor3",0.296273619444617
"1364","MIXL1","ATAC_all","Factor3",0.535411712801049
"1365","MLX","ATAC_all","Factor3",1
"1366","MLXIPL","ATAC_all","Factor3",1
"1367","MSC","ATAC_all","Factor3",0.429882608184827
"1368","MSX1","ATAC_all","Factor3",0.597162240158399
"1369","MYF6","ATAC_all","Factor3",0.880836828948595
"1370","NEUROD2","ATAC_all","Factor3",0.647766840312243
"1371","NEUROG2","ATAC_all","Factor3",1
"1372","NFIA","ATAC_all","Factor3",1
"1373","NFIX","ATAC_all","Factor3",1
"1374","NHLH1","ATAC_all","Factor3",0.814457190068438
"1375","NKX2-3","ATAC_all","Factor3",1
"1376","NKX2-8","ATAC_all","Factor3",1
"1377","NKX6-1","ATAC_all","Factor3",0.00460365619500124
"1378","NKX6-2","ATAC_all","Factor3",0.00460365619500124
"1379","OLIG2","ATAC_all","Factor3",0.869358305092977
"1380","PAX4","ATAC_all","Factor3",0.960440183734445
"1381","PAX7","ATAC_all","Factor3",1
"1382","POU4F2","ATAC_all","Factor3",1
"1383","SP4","ATAC_all","Factor3",1
"1384","SPDEF","ATAC_all","Factor3",1
"1385","SPIC","ATAC_all","Factor3",1
"1386","SRF","ATAC_all","Factor3",1
"1387","TBXT","ATAC_all","Factor3",0.77438467904909
"1388","TBX2","ATAC_all","Factor3",0.656474135891801
"1389","TBX20","ATAC_all","Factor3",0.865412236728981
"1390","TBX21","ATAC_all","Factor3",0.352231528904348
"1391","TFAP4","ATAC_all","Factor3",1
"1392","TFCP2","ATAC_all","Factor3",0.998807498075823
"1393","TFEB","ATAC_all","Factor3",1
"1394","ZBTB7B","ATAC_all","Factor3",1
"1395","ZBTB7C","ATAC_all","Factor3",1
"1396","ZIC1","ATAC_all","Factor3",1
"1397","ZIC3","ATAC_all","Factor3",1
"1398","ZBTB18","ATAC_all","Factor3",0.226875209049849
"1399","LBX2","ATAC_all","Factor3",0.69993921138059
"1400","MEOX2","ATAC_all","Factor3",0.000115580419522267
"1401","MNX1","ATAC_all","Factor3",0.00737130376954474
"1402","MSX2","ATAC_all","Factor3",0.597162240158399
"1403","NOTO","ATAC_all","Factor3",0.44408074812196
"1404","OTX1","ATAC_all","Factor3",1
"1405","PDX1","ATAC_all","Factor3",0.44408074812196
"1406","PHOX2A","ATAC_all","Factor3",0.470910473907985
"1407","PITX3","ATAC_all","Factor3",1
"1408","PROP1","ATAC_all","Factor3",1
"1409","PRRX1","ATAC_all","Factor3",0.566442211934164
"1410","RAX2","ATAC_all","Factor3",0.437383301320448
"1411","RAX","ATAC_all","Factor3",0.163736538493223
"1412","RHOXF1","ATAC_all","Factor3",0.609692465442982
"1413","UNCX","ATAC_all","Factor3",0.691322138109353
"1414","VAX1","ATAC_all","Factor3",0.00274244621967896
"1415","VAX2","ATAC_all","Factor3",0.00274244621967896
"1416","VENTX","ATAC_all","Factor3",0.44408074812196
"1417","VSX1","ATAC_all","Factor3",0.292435040693881
"1418","VSX2","ATAC_all","Factor3",0.247102896524572
"1419","ESR1","ATAC_all","Factor3",0.578486016344521
"1420","ESRRB","ATAC_all","Factor3",1
"1421","NR2F1","ATAC_all","Factor3",1
"1422","NR3C1","ATAC_all","Factor3",0.438564498593184
"1423","NR3C2","ATAC_all","Factor3",0.803039546881325
"1424","RARA","ATAC_all","Factor3",0.223597503018618
"1425","RARA(var.2)","ATAC_all","Factor3",1
"1426","BCL6B","ATAC_all","Factor3",0.655249251420377
"1427","EGR2","ATAC_all","Factor3",1
"1428","EGR3","ATAC_all","Factor3",1
"1429","EGR4","ATAC_all","Factor3",1
"1430","GLIS1","ATAC_all","Factor3",1
"1431","GLIS2","ATAC_all","Factor3",1
"1432","GLIS3","ATAC_all","Factor3",1
"1433","HIC2","ATAC_all","Factor3",1
"1434","KLF14","ATAC_all","Factor3",1
"1435","KLF16","ATAC_all","Factor3",1
"1436","SP8","ATAC_all","Factor3",1
"1437","ZBED1","ATAC_all","Factor3",1
"1438","ZIC4","ATAC_all","Factor3",1
"1439","ZNF143","ATAC_all","Factor3",1
"1440","ZNF410","ATAC_all","Factor3",1
"1441","CUX1","ATAC_all","Factor3",0.735993313245712
"1442","CUX2","ATAC_all","Factor3",1
"1443","ONECUT2","ATAC_all","Factor3",1
"1444","ONECUT3","ATAC_all","Factor3",0.792879626567319
"1445","E2F7","ATAC_all","Factor3",1
"1446","ELK3","ATAC_all","Factor3",0.985930237984499
"1447","ERF","ATAC_all","Factor3",0.848811298935359
"1448","ERG","ATAC_all","Factor3",0.849085446154027
"1449","ETS1","ATAC_all","Factor3",1
"1450","ETV2","ATAC_all","Factor3",1
"1451","ETV3","ATAC_all","Factor3",0.792879626567319
"1452","FEV","ATAC_all","Factor3",1
"1453","GCM2","ATAC_all","Factor3",1
"1454","LEF1","ATAC_all","Factor3",0.841291326916211
"1455","HSF2","ATAC_all","Factor3",1
"1456","HSF4","ATAC_all","Factor3",1
"1457","IRF7","ATAC_all","Factor3",0.733030733739203
"1458","MEF2D","ATAC_all","Factor3",1
"1459","MEIS1","ATAC_all","Factor3",1
"1460","MEIS2","ATAC_all","Factor3",1
"1461","MEIS3","ATAC_all","Factor3",1
"1462","MYBL1","ATAC_all","Factor3",0.998807498075823
"1463","MYBL2","ATAC_all","Factor3",0.733030733739203
"1464","NFKB1","ATAC_all","Factor3",0.437383301320448
"1465","NFKB2","ATAC_all","Factor3",0.911252337639152
"1466","PAX1","ATAC_all","Factor3",1
"1467","PAX3","ATAC_all","Factor3",1
"1468","PAX9","ATAC_all","Factor3",1
"1469","PKNOX2","ATAC_all","Factor3",0.506020179425907
"1470","POU1F1","ATAC_all","Factor3",1
"1471","POU2F1","ATAC_all","Factor3",1
"1472","POU3F1","ATAC_all","Factor3",1
"1473","POU3F2","ATAC_all","Factor3",1
"1474","POU3F3","ATAC_all","Factor3",1
"1475","POU3F4","ATAC_all","Factor3",1
"1476","POU4F1","ATAC_all","Factor3",1
"1477","POU4F3","ATAC_all","Factor3",0.642850380782596
"1478","POU5F1B","ATAC_all","Factor3",1
"1479","POU6F2","ATAC_all","Factor3",0.35230411341534
"1480","PROX1","ATAC_all","Factor3",1
"1481","RFX2","ATAC_all","Factor3",1
"1482","SMAD3","ATAC_all","Factor3",0.205076331249761
"1483","TGIF1","ATAC_all","Factor3",0.87754611599284
"1484","TGIF2","ATAC_all","Factor3",0.528909203946055
"1485","RFX4","ATAC_all","Factor3",1
"1486","RFX5","ATAC_all","Factor3",1
"1487","RUNX2","ATAC_all","Factor3",1
"1488","EOMES","ATAC_all","Factor3",0.750534797876708
"1489","MGA","ATAC_all","Factor3",0.960440183734445
"1490","TBR1","ATAC_all","Factor3",1
"1491","TBX15","ATAC_all","Factor3",0.960440183734445
"1492","TBX19","ATAC_all","Factor3",0.260749209641145
"1493","TBX1","ATAC_all","Factor3",0.954565033754978
"1494","TBX4","ATAC_all","Factor3",0.205076331249761
"1495","TBX5","ATAC_all","Factor3",0.205076331249761
"1496","TEAD3","ATAC_all","Factor3",0.256314137786634
"1497","TFAP2A(var.2)","ATAC_all","Factor3",0.25076680420235
"1498","TFAP2B","ATAC_all","Factor3",0.0500957677862917
"1499","TFAP2B(var.2)","ATAC_all","Factor3",0.70619119776256
"1500","TFAP2B(var.3)","ATAC_all","Factor3",0.77438467904909
"1501","TFAP2C","ATAC_all","Factor3",0.0860250716527114
"1502","TFAP2C(var.3)","ATAC_all","Factor3",0.296273619444617
"1503","BHLHE40","ATAC_all","Factor3",1
"1504","BHLHE23","ATAC_all","Factor3",0.992028967981649
"1505","BHLHE22","ATAC_all","Factor3",0.733030733739203
"1506","CLOCK","ATAC_all","Factor3",0.535411712801049
"1507","FIGLA","ATAC_all","Factor3",0.954321445972258
"1508","HES5","ATAC_all","Factor3",0.70619119776256
"1509","HES7","ATAC_all","Factor3",0.430776382423714
"1510","HEY1","ATAC_all","Factor3",1
"1511","MAX","ATAC_all","Factor3",1
"1512","MNT","ATAC_all","Factor3",1
"1513","OLIG1","ATAC_all","Factor3",0.670775900413614
"1514","OLIG3","ATAC_all","Factor3",0.506020179425907
"1515","SREBF2(var.2)","ATAC_all","Factor3",1
"1516","ATF7","ATAC_all","Factor3",1
"1517","CEBPB","ATAC_all","Factor3",0.960440183734445
"1518","CEBPE","ATAC_all","Factor3",0.87611449225477
"1519","CEBPG","ATAC_all","Factor3",0.792879626567319
"1520","CREB3L1","ATAC_all","Factor3",1
"1521","NFE2","ATAC_all","Factor3",1
"1522","TEF","ATAC_all","Factor3",1
"1523","XBP1","ATAC_all","Factor3",1
"1524","FOXB1","ATAC_all","Factor3",0.668339504906201
"1525","FOXC1","ATAC_all","Factor3",0.233262914819992
"1526","FOXC2","ATAC_all","Factor3",0.416481683897982
"1527","FOXO4","ATAC_all","Factor3",1
"1528","FOXO6","ATAC_all","Factor3",1
"1529","FOXP3","ATAC_all","Factor3",1
"1530","RXRB","ATAC_all","Factor3",0.77438467904909
"1531","RXRG","ATAC_all","Factor3",1
"1532","TP63","ATAC_all","Factor3",1
"1533","TP53","ATAC_all","Factor3",0.77438467904909
"1534","TP73","ATAC_all","Factor3",0.960440183734445
"1535","GMEB2","ATAC_all","Factor3",1
"1536","MTF1","ATAC_all","Factor3",0.31826752899644
"1537","E2F1","ATAC_all","Factor3",1
"1538","E2F8","ATAC_all","Factor3",1
"1539","SOX21","ATAC_all","Factor3",0.790666628720517
"1540","TFAP2A(var.3)","ATAC_all","Factor3",0.369714035443809
"1541","ELK1","ATAC_all","Factor3",1
"1542","HOXD12","ATAC_all","Factor3",1
"1543","BARX1","ATAC_all","Factor3",0.938177516023465
"1544","BSX","ATAC_all","Factor3",1
"1545","DLX6","ATAC_all","Factor3",0.80424107282845
"1546","DUXA","ATAC_all","Factor3",1
"1547","EMX2","ATAC_all","Factor3",0.992028967981649
"1548","EVX1","ATAC_all","Factor3",1
"1549","EVX2","ATAC_all","Factor3",1
"1550","GBX1","ATAC_all","Factor3",0.438198734373607
"1551","GBX2","ATAC_all","Factor3",0.0560575487592598
"1552","GSC2","ATAC_all","Factor3",0.894270750503014
"1553","GSX1","ATAC_all","Factor3",0.100130776134287
"1554","HESX1","ATAC_all","Factor3",0.597162240158399
"1555","HMBOX1","ATAC_all","Factor3",1
"1556","HOXA10","ATAC_all","Factor3",0.739607893854863
"1557","HOXB3","ATAC_all","Factor3",1
"1558","HOXC10","ATAC_all","Factor3",0.680678371738814
"1559","HOXC12","ATAC_all","Factor3",0.70619119776256
"1560","HOXC13","ATAC_all","Factor3",0.77438467904909
"1561","HOXD11","ATAC_all","Factor3",0.566442211934164
"1562","ISL2","ATAC_all","Factor3",0.792879626567319
"1563","FOXK1","ATAC_all","Factor3",1
"1564","GATA2","ATAC_all","Factor3",1
"1565","HIF1A","ATAC_all","Factor3",1
"1566","MYC","ATAC_all","Factor3",0.960440183734445
"1567","MYB","ATAC_all","Factor3",1
"1568","MYCN","ATAC_all","Factor3",1
"1569","NEUROD1","ATAC_all","Factor3",1
"1570","NFIC","ATAC_all","Factor3",1
"1571","NFYA","ATAC_all","Factor3",1
"1572","NR1H4","ATAC_all","Factor3",0.987953838511806
"1573","NR2F2","ATAC_all","Factor3",1
"1574","PAX5","ATAC_all","Factor3",1
"1575","PBX3","ATAC_all","Factor3",1
"1576","POU5F1","ATAC_all","Factor3",1
"1577","RBPJ","ATAC_all","Factor3",0.826165075996603
"1578","RELB","ATAC_all","Factor3",1
"1579","SIX1","ATAC_all","Factor3",0.223597503018618
"1580","SIX2","ATAC_all","Factor3",0.422725378679284
"1581","SOX10","ATAC_all","Factor3",1
"1582","SOX13","ATAC_all","Factor3",0.87754611599284
"1583","TEAD2","ATAC_all","Factor3",0.00336428406392323
"1584","TFDP1","ATAC_all","Factor3",1
"1585","ZBTB7A","ATAC_all","Factor3",1
"1586","ZEB1","ATAC_all","Factor3",1
"1587","ZNF24","ATAC_all","Factor3",1
"1588","ZNF384","ATAC_all","Factor3",0.766694072571817
"1589","ZNF282","ATAC_all","Factor3",1
"1590","ZSCAN4","ATAC_all","Factor3",0.945281779447195
"1591","GATA3","ATAC_all","Factor3",0.77438467904909
"1592","FOS::JUN","ATAC_all","Factor3",0.880085291123302
"1593","FOS::JUN(var.2)","ATAC_all","Factor3",1
"1594","FOSB::JUN","ATAC_all","Factor3",1
"1595","FOSL1::JUN","ATAC_all","Factor3",0.578486016344521
"1596","FOSL1::JUN(var.2)","ATAC_all","Factor3",1
"1597","FOSL2::JUN","ATAC_all","Factor3",0.783849613047561
"1598","FOSL2::JUN(var.2)","ATAC_all","Factor3",1
"1599","JUN::JUNB","ATAC_all","Factor3",1
"1600","JUN::JUNB(var.2)","ATAC_all","Factor3",1
"1601","FOS::JUNB","ATAC_all","Factor3",0.429882608184827
"1602","FOSB::JUNB","ATAC_all","Factor3",0.408655024248706
"1603","FOSB::JUNB(var.2)","ATAC_all","Factor3",1
"1604","FOSL1::JUNB","ATAC_all","Factor3",0.792879626567319
"1605","FOSL2::JUNB","ATAC_all","Factor3",0.554991739056364
"1606","FOSL2::JUNB(var.2)","ATAC_all","Factor3",1
"1607","FOS::JUND","ATAC_all","Factor3",0.77438467904909
"1608","FOSL1::JUND","ATAC_all","Factor3",1
"1609","FOSL1::JUND(var.2)","ATAC_all","Factor3",0.925354194765065
"1610","FOSL2::JUND","ATAC_all","Factor3",0.979541708326155
"1611","FOSL2::JUND(var.2)","ATAC_all","Factor3",1
"1612","NR1H4::RXRA","ATAC_all","Factor3",1
"1613","NR4A2::RXRA","ATAC_all","Factor3",1
"1614","PPARA::RXRA","ATAC_all","Factor3",1
"1615","RARA::RXRG","ATAC_all","Factor3",1
"1616","RORB","ATAC_all","Factor3",0.70619119776256
"1617","RORC","ATAC_all","Factor3",1
"1618","SOX15","ATAC_all","Factor3",1
"1619","TFE3","ATAC_all","Factor3",1
"1620","VDR","ATAC_all","Factor3",0.572769715965869
"1621","IRF3","ATAC_all","Factor3",1
"1622","IRF4","ATAC_all","Factor3",1
"1623","IRF5","ATAC_all","Factor3",0.894406086393588
"1624","TCF7L1","ATAC_all","Factor3",1
"1625","ARGFX","ATAC_all","Factor3",0.0814778789951759
"1626","ARNT2","ATAC_all","Factor3",1
"1627","ATF6","ATAC_all","Factor3",0.735947407526304
"1628","ATOH1(var.2)","ATAC_all","Factor3",0.0209582590375391
"1629","ATOH7","ATAC_all","Factor3",1
"1630","BACH2","ATAC_all","Factor3",1
"1631","BACH2(var.2)","ATAC_all","Factor3",1
"1632","BARX2","ATAC_all","Factor3",0.257616498896856
"1633","BHLHA15(var.2)","ATAC_all","Factor3",0.362154764459361
"1634","CDX4","ATAC_all","Factor3",1
"1635","CREB3L4","ATAC_all","Factor3",1
"1636","CREB3L4(var.2)","ATAC_all","Factor3",1
"1637","DLX5","ATAC_all","Factor3",0.960440183734445
"1638","DMRTA2","ATAC_all","Factor3",0.981117848041308
"1639","DMRTC2","ATAC_all","Factor3",0.226875209049849
"1640","DPRX","ATAC_all","Factor3",0.792879626567319
"1641","DRGX","ATAC_all","Factor3",0.31826752899644
"1642","ELF2","ATAC_all","Factor3",0.93447708067586
"1643","ETS2","ATAC_all","Factor3",1
"1644","FERD3L","ATAC_all","Factor3",0.753944488209124
"1645","FOXE1","ATAC_all","Factor3",1
"1646","FOXN3","ATAC_all","Factor3",1
"1647","GLI3","ATAC_all","Factor3",1
"1648","HES6","ATAC_all","Factor3",1
"1649","HNF4A(var.2)","ATAC_all","Factor3",1
"1650","HOXA1","ATAC_all","Factor3",0.506020179425907
"1651","HOXA4","ATAC_all","Factor3",0.00274244621967896
"1652","HOXA6","ATAC_all","Factor3",0.119144896297016
"1653","HOXA7","ATAC_all","Factor3",0.70619119776256
"1654","HOXB4","ATAC_all","Factor3",0.170551186296237
"1655","HOXB6","ATAC_all","Factor3",0.967392473670283
"1656","HOXB7","ATAC_all","Factor3",0.792879626567319
"1657","HOXB8","ATAC_all","Factor3",0.70619119776256
"1658","HOXB9","ATAC_all","Factor3",0.905332485686265
"1659","HOXC4","ATAC_all","Factor3",0.00248926197074407
"1660","HOXC8","ATAC_all","Factor3",0.296273619444617
"1661","HOXD10","ATAC_all","Factor3",0.792879626567319
"1662","HOXD4","ATAC_all","Factor3",0.0638306649531142
"1663","IKZF1","ATAC_all","Factor3",0.447425947826331
"1664","IRF6","ATAC_all","Factor3",1
"1665","KLF10","ATAC_all","Factor3",1
"1666","KLF11","ATAC_all","Factor3",1
"1667","KLF15","ATAC_all","Factor3",1
"1668","KLF17","ATAC_all","Factor3",1
"1669","KLF2","ATAC_all","Factor3",1
"1670","KLF3","ATAC_all","Factor3",0.858254107349315
"1671","KLF6","ATAC_all","Factor3",1
"1672","LHX1","ATAC_all","Factor3",1
"1673","LHX5","ATAC_all","Factor3",0.0972224092485426
"1674","MAF","ATAC_all","Factor3",0.698564648461821
"1675","MAFA","ATAC_all","Factor3",1
"1676","MAZ","ATAC_all","Factor3",1
"1677","MSANTD3","ATAC_all","Factor3",1
"1678","MSGN1","ATAC_all","Factor3",0.0871894315819385
"1679","NFATC4","ATAC_all","Factor3",1
"1680","NFIC(var.2)","ATAC_all","Factor3",1
"1681","NFIX(var.2)","ATAC_all","Factor3",0.992028967981649
"1682","NHLH2","ATAC_all","Factor3",1
"1683","NKX6-3","ATAC_all","Factor3",0.566442211934164
"1684","NR1D1","ATAC_all","Factor3",1
"1685","NR1D2","ATAC_all","Factor3",1
"1686","NR1I2","ATAC_all","Factor3",0.733030733739203
"1687","NR1I3","ATAC_all","Factor3",0.44408074812196
"1688","NR2C1","ATAC_all","Factor3",1
"1689","NR2C2(var.2)","ATAC_all","Factor3",1
"1690","NR2F1(var.2)","ATAC_all","Factor3",1
"1691","NR2F1(var.3)","ATAC_all","Factor3",1
"1692","NR2F6(var.3)","ATAC_all","Factor3",1
"1693","NR5A1","ATAC_all","Factor3",1
"1694","NR6A1","ATAC_all","Factor3",1
"1695","OSR1","ATAC_all","Factor3",1
"1696","OVOL1","ATAC_all","Factor3",1
"1697","OVOL2","ATAC_all","Factor3",1
"1698","PAX3(var.2)","ATAC_all","Factor3",1
"1699","PITX2","ATAC_all","Factor3",0.874014110951236
"1700","PLAGL2","ATAC_all","Factor3",1
"1701","POU6F1(var.2)","ATAC_all","Factor3",0.526978831155003
"1702","PPARD","ATAC_all","Factor3",1
"1703","RARB(var.3)","ATAC_all","Factor3",1
"1704","RARG(var.3)","ATAC_all","Factor3",1
"1705","RFX7","ATAC_all","Factor3",1
"1706","RXRB(var.2)","ATAC_all","Factor3",1
"1707","RXRG(var.2)","ATAC_all","Factor3",1
"1708","SMAD5","ATAC_all","Factor3",0.77438467904909
"1709","SNAI1","ATAC_all","Factor3",1
"1710","SNAI3","ATAC_all","Factor3",1
"1711","SOHLH2","ATAC_all","Factor3",1
"1712","SOX12","ATAC_all","Factor3",1
"1713","SOX14","ATAC_all","Factor3",1
"1714","SOX18","ATAC_all","Factor3",1
"1715","SP9","ATAC_all","Factor3",1
"1716","TBX18","ATAC_all","Factor3",1
"1717","TBX3","ATAC_all","Factor3",1
"1718","TBX6","ATAC_all","Factor3",0.408655024248706
"1719","TCF21(var.2)","ATAC_all","Factor3",1
"1720","TFAP2E","ATAC_all","Factor3",1
"1721","TFAP4(var.2)","ATAC_all","Factor3",0.77438467904909
"1722","TGIF2LX","ATAC_all","Factor3",0.347002567834888
"1723","TGIF2LY","ATAC_all","Factor3",0.35230411341534
"1724","THAP11","ATAC_all","Factor3",1
"1725","THRB","ATAC_all","Factor3",1
"1726","THRB(var.2)","ATAC_all","Factor3",1
"1727","THRB(var.3)","ATAC_all","Factor3",1
"1728","TLX2","ATAC_all","Factor3",0.417546375459033
"1729","VEZF1","ATAC_all","Factor3",1
"1730","ZBTB26","ATAC_all","Factor3",0.733030733739203
"1731","ZBTB32","ATAC_all","Factor3",0.848811298935359
"1732","ZBTB6","ATAC_all","Factor3",0.691322138109353
"1733","ZFP57","ATAC_all","Factor3",1
"1734","ZIC5","ATAC_all","Factor3",1
"1735","ZKSCAN1","ATAC_all","Factor3",0.887778107000794
"1736","ZNF135","ATAC_all","Factor3",0.808259742832474
"1737","ZNF136","ATAC_all","Factor3",1
"1738","ZNF140","ATAC_all","Factor3",0.30399718462126
"1739","ZNF274","ATAC_all","Factor3",1
"1740","ZNF317","ATAC_all","Factor3",0.0972224092485426
"1741","ZNF382","ATAC_all","Factor3",1
"1742","ZNF460","ATAC_all","Factor3",0.77438467904909
"1743","ZNF528","ATAC_all","Factor3",0.119144896297016
"1744","ZNF682","ATAC_all","Factor3",0.733030733739203
"1745","ZNF684","ATAC_all","Factor3",0.948028858244489
"1746","ZNF75D","ATAC_all","Factor3",0.77438467904909
"1747","ZSCAN29","ATAC_all","Factor3",1
"1748","ASCL1","ATAC_all","Factor3",0.70619119776256
"1749","ATF3","ATAC_all","Factor3",0.792879626567319
"1750","BARHL1","ATAC_all","Factor3",1
"1751","BATF::JUN","ATAC_all","Factor3",0.941595929736501
"1752","BCL6","ATAC_all","Factor3",1
"1753","CDX1","ATAC_all","Factor3",0.846804325262777
"1754","E2F2","ATAC_all","Factor3",0.733030733739203
"1755","E2F3","ATAC_all","Factor3",0.833070562690814
"1756","E2F4","ATAC_all","Factor3",1
"1757","EMX1","ATAC_all","Factor3",1
"1758","FOXD2","ATAC_all","Factor3",1
"1759","GATA5","ATAC_all","Factor3",0.691322138109353
"1760","GFI1","ATAC_all","Factor3",0.733030733739203
"1761","GLI2","ATAC_all","Factor3",1
"1762","GSX2","ATAC_all","Factor3",0.438564498593184
"1763","HES1","ATAC_all","Factor3",1
"1764","HES2","ATAC_all","Factor3",1
"1765","HOXA13","ATAC_all","Factor3",1
"1766","HOXA2","ATAC_all","Factor3",0.447425947826331
"1767","HOXA5","ATAC_all","Factor3",0.747183458408081
"1768","HOXA9","ATAC_all","Factor3",1
"1769","HOXB2","ATAC_all","Factor3",1
"1770","HOXB5","ATAC_all","Factor3",0.506020179425907
"1771","HOXC9","ATAC_all","Factor3",0.87611449225477
"1772","HOXD13","ATAC_all","Factor3",1
"1773","HOXD3","ATAC_all","Factor3",0.151392697093163
"1774","HOXD8","ATAC_all","Factor3",0.757459457945182
"1775","HOXD9","ATAC_all","Factor3",0.753944488209124
"1776","JUNB(var.2)","ATAC_all","Factor3",1
"1777","LHX9","ATAC_all","Factor3",0.485777568251077
"1778","LMX1A","ATAC_all","Factor3",0.434631444567395
"1779","LMX1B","ATAC_all","Factor3",0.296273619444617
"1780","NEUROG1","ATAC_all","Factor3",0.725875142814612
"1781","NRL","ATAC_all","Factor3",1
"1782","PITX1","ATAC_all","Factor3",1
"1783","PRRX2","ATAC_all","Factor3",0.485777568251077
"1784","SOX4","ATAC_all","Factor3",1
"1785","SOX8","ATAC_all","Factor3",1
"1786","SP1","ATAC_all","Factor3",1
"1787","SP2","ATAC_all","Factor3",1
"1788","SP3","ATAC_all","Factor3",1
"1789","TCFL5","ATAC_all","Factor3",1
"1790","TFEC","ATAC_all","Factor3",1
"1791","ZNF740","ATAC_all","Factor3",1
"1792","ASCL1(var.2)","ATAC_all","Factor3",1
"1793","ATF2","ATAC_all","Factor3",0.894270750503014
"1794","BACH1","ATAC_all","Factor3",1
"1795","BATF","ATAC_all","Factor3",0.887778107000794
"1796","BHLHE22(var.2)","ATAC_all","Factor3",1
"1797","CEBPG(var.2)","ATAC_all","Factor3",0.0209582590375391
"1798","EBF3","ATAC_all","Factor3",0.623596282685333
"1799","HAND2","ATAC_all","Factor3",1
"1800","MEIS1(var.2)","ATAC_all","Factor3",1
"1801","MEIS2(var.2)","ATAC_all","Factor3",1
"1802","MYF5","ATAC_all","Factor3",0.597162240158399
"1803","NEUROG2(var.2)","ATAC_all","Factor3",1
"1804","NFIB","ATAC_all","Factor3",0.897658714688382
"1805","NFYC","ATAC_all","Factor3",1
"1806","NKX2-2","ATAC_all","Factor3",1
"1807","OSR2","ATAC_all","Factor3",0.936210733261223
"1808","PRDM4","ATAC_all","Factor3",1
"1809","TCF12(var.2)","ATAC_all","Factor3",1
"1810","ZBTB12","ATAC_all","Factor3",0.260749209641145
"1811","ZBTB14","ATAC_all","Factor3",1
"1812","ZFP42","ATAC_all","Factor3",1
"1813","ZKSCAN5","ATAC_all","Factor3",1
"1814","ZNF148","ATAC_all","Factor3",1
"1815","ZNF16","ATAC_all","Factor3",0.335897819218097
"1816","ZNF341","ATAC_all","Factor3",1
"1817","ZNF449","ATAC_all","Factor3",1
"1818","ZNF652","ATAC_all","Factor3",0.946850235407878
"1819","FOXA3","ATAC_all","Factor3",0.983231275158449
"1820","ATF4","ATAC_all","Factor3",0.205076331249761
"1821","BATF3","ATAC_all","Factor3",0.670775900413614
"1822","CDX2","ATAC_all","Factor3",0.931663939422822
"1823","CEBPA","ATAC_all","Factor3",0.733030733739203
"1824","CEBPD","ATAC_all","Factor3",0.833070562690814
"1825","CREB1","ATAC_all","Factor3",1
"1826","CTCFL","ATAC_all","Factor3",1
"1827","E2F6","ATAC_all","Factor3",1
"1828","EBF1","ATAC_all","Factor3",0.0638306649531142
"1829","EGR1","ATAC_all","Factor3",1
"1830","EHF","ATAC_all","Factor3",1
"1831","ELF1","ATAC_all","Factor3",1
"1832","ELF3","ATAC_all","Factor3",1
"1833","ESRRA","ATAC_all","Factor3",0.11104131738259
"1834","ETV1","ATAC_all","Factor3",0.894270750503014
"1835","ETV4","ATAC_all","Factor3",0.260749209641145
"1836","ETV5","ATAC_all","Factor3",0.82436674057067
"1837","FOSL1","ATAC_all","Factor3",0.550200277684619
"1838","FOXA1","ATAC_all","Factor3",1
"1839","FOXA2","ATAC_all","Factor3",0.300515225870014
"1840","FOXK2","ATAC_all","Factor3",0.826721476743617
"1841","FOXP1","ATAC_all","Factor3",0.417546375459033
"1842","GABPA","ATAC_all","Factor3",0.733030733739203
"1843","GATA1","ATAC_all","Factor3",0.792879626567319
"1844","GATA4","ATAC_all","Factor3",0.536165531215639
"1845","GATA6","ATAC_all","Factor3",1
"1846","GRHL2","ATAC_all","Factor3",1
"1847","HLF","ATAC_all","Factor3",0.0422823620222391
"1848","HNF4A","ATAC_all","Factor3",0.733030733739203
"1849","HNF4G","ATAC_all","Factor3",0.841291326916211
"1850","HOXB13","ATAC_all","Factor3",1
"1851","JUNB","ATAC_all","Factor3",0.506020179425907
"1852","JUND","ATAC_all","Factor3",0.729054545577612
"1853","KLF4","ATAC_all","Factor3",1
"1854","KLF9","ATAC_all","Factor3",1
"1855","LHX2","ATAC_all","Factor3",0.753944488209124
"1856","MAFF","ATAC_all","Factor3",1
"1857","MAFG","ATAC_all","Factor3",1
