"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"SREBF1(var.2)",1,0.00497767119647792,1,1,1,1,1,0.0810004849950582,1,1,1,0.00865622491035858,1,1,1,1,1,0.296377497120646,1,1,0,2.80906192713561,0,0,0,0,0,1.74507617065216,0,0
"TCF3",1.14885920421519e-15,1.29639854960475e-08,1,0.00763076894802534,1,0.00356277483803805,1,0.989890712908288,0.0536833143715785,0.442579434748625,6.2156228740873e-15,4.06247664306834e-08,1,0.0423708486324565,1,0.0271715237647962,1,0.996185725391012,0.198722444428124,0.895415335981002,8.02209070427096,5.69099695941737,0,2.66849398508821,0,2.91513405288123,0,0.0126707492570734,1.92959729757949,0.767873418120719
"TCF4",6.55272295861364e-13,9.9819545729064e-13,1,0.0451517346545883,1,0.200495743897024,1,0.152319673732255,0.0458966231735219,1,3.07249898726106e-12,4.41858548576906e-12,1,0.144348727456335,1,0.434474505525597,1,0.410446253882929,0.18045069856422,1,7.19736558736929,7.13945296115206,0,2.00347415565787,0,1.28021984243011,0,1.43148837406756,1.99657671031097,0
"TCF7",1,0.000474851223015037,1,1,1,0.574303113988265,1,0.576944220967903,0.0641947470325789,1,1,0.000936388860338065,1,1,1,0.76817409969081,1,0.814718869513304,0.22327074105287,1,0,3.49564118807033,0,0,0,0.56174278413236,0,0.557870991087246,1.85101741621011,0
"TEAD1",1,0.0173718282434558,0.793855047883563,1,0.202462720137738,1,1,0.025328805554587,1,1,1,0.027629063512833,0.943652003394924,1,0.58788487085866,1,1,0.160331339160536,1,1,0,2.37911430981637,0.261314495281654,0,1.27464512022807,0,0,2.2366661779235,0,0
"TEAD4",1,0.0129547346253766,0.842510613897413,1,0.46153892714155,1,1,0.00254036472933257,1,1,1,0.0211895271779415,0.965222341638133,1,0.81263141166858,1,1,0.0349576276884243,1,1,0,2.4854303334193,0.198687992960598,0,0.736341838382966,0,0,3.01920898238206,0,0
"TFAP2A",4.3054853866604e-11,2.02720756784455e-23,0.0639542000513434,0.40318027160807,1,0.000122993417050281,1,1,0.104064081549792,0.868235656275118,1.73590589156435e-10,2.29146855436714e-22,0.342236916172151,0.607863273494429,1,0.00181057751146111,1,1,0.298065898737641,0.97618680359174,6.60006115969604,9.9952868787036,1.85269196281031,0.835988282272891,0,3.84150308899403,0,0,1.62560148145609,0.165903994959052
"TFAP2C(var.2)",3.74461874589224e-30,5.65842196696321e-38,0.0184955067075871,0.00913912179686076,1,0.000613520228645628,1,1,0.00558410229183633,1,3.70366197835904e-29,1.32658559447693e-36,0.215944873463769,0.047033041442381,1,0.00649575546377619,1,1,0.037584831048867,1,11.4448613455146,12.9330637889658,2.35590856732662,2.60728328964383,0,3.42659127783751,0,0,2.77181837720452,0
"TWIST1",0.151361812843174,0.00031307906266468,1,1,1,1,1,0.0696483764776717,1,1,0.197550572226246,0.000635189252136994,1,1,1,1,1,0.274288638115138,1,1,1.43484098537435,3.60541591487559,0,0,0,0,0,1.81437364340137,0,0
"USF1",0.805699273019623,9.79957491505773e-11,0.777038251831732,0.928398929054398,1,0.300671361991509,1,1,1,1,0.841369531108257,3.64890054190091e-10,0.938352901655718,0.946339004978154,1,0.561153020775718,1,1,1,1,0.245984117331308,6.4765336757558,0.283187980595028,0.0898615485023044,0,1.03504513290327,0,0,0,0
"USF2",0.250475588130366,1.87761568658514e-10,0.990797323831781,0.475366104406067,1,0.148451722074573,1,1,1,1,0.307568326036742,6.83063637705974e-10,0.995380205080216,0.652726126006595,1,0.364224573927151,1,1,1,1,1.14925766235948,6.37726331205099,0.0115343709765604,0.713800671179287,0,1.4451268196159,0,0,0,0
