"","pval.Factor1","pval.Factor2","pval.Factor3","pval.Factor4","pval.Factor5","pval.Factor6","pval.Factor7","pval.Factor8","pval.Factor9","pval.Factor10","adj.pval.Factor1","adj.pval.Factor2","adj.pval.Factor3","adj.pval.Factor4","adj.pval.Factor5","adj.pval.Factor6","adj.pval.Factor7","adj.pval.Factor8","adj.pval.Factor9","adj.pval.Factor10","setstats.Factor1","setstats.Factor2","setstats.Factor3","setstats.Factor4","setstats.Factor5","setstats.Factor6","setstats.Factor7","setstats.Factor8","setstats.Factor9","setstats.Factor10"
"FOXF2",0.000839159162784383,1,1,1,1,0.965865448046686,0.0232377897058172,0.940420089344893,1,0.778129855587669,0.00124109287393111,1,1,1,1,0.979959258036734,0.0826377577740577,0.979518038059933,1,0.840973223419248,3.34049846116801,0,0,0,0,0.0427953824702063,2.26983051736694,0.0747436413866888,0,0.281764132911161
"FOXD1",8.81479465059304e-07,1,1,1,1,0.105365456433837,0.816645515330105,1,1,1,1.69083788297739e-06,1,1,1,1,0.247382157066466,0.891270019317166,1,1,1,4.91931472186288,0,0,0,0,1.61951819718014,0.231867335780392,0,0,0
"IRF2",1,0.619547301327442,0.429840496319711,1,1.87761663609413e-23,1,1,1,0.505394380996707,1,1,0.732588254382143,0.59621409380113,1,5.14515727553066e-23,1,1,1,0.866977352766708,1,0,0.496506585407443,0.789494744222677,0,10.0029500407009,0,0,0,0.666048753656747,0
"MZF1(var.2)",1,1.49397437920405e-07,3.59052185297851e-06,1,2.75089124227944e-103,1,1,0.393359762861913,0.478766353021473,1,1,1.1821072275452e-06,3.78800055489233e-05,1,2.6789448559429e-102,1,1,0.669346048095675,0.855167894319312,1,0,5.25683310932806,4.63622616216714,0,21.8191735160378,0,0,0.853574948812378,0.708313116548618,0
"MAX::MYC",1,0.0262050904486539,0.00110884210703933,0.205739791674597,5.53722967552497e-24,1,1,1,0.848085786805546,1,1,0.0582827355696213,0.00544705876707354,0.701525280318643,1.54408210775652e-23,1,1,1,0.974658770167596,1,0,2.2234693593359,3.26223919103805,1.26544437585577,10.1242677041873,0,0,0,0.191566059429989,0
"PPARG",1,0.000403602869965895,0.00682522610405467,1,2.29879869026081e-08,0.280816607235404,1,0.453280990762481,0.209892535836994,1,1,0.00141149511982548,0.024547546158333,1,4.09898470685942e-08,0.466553575800554,1,0.716596485709529,0.635703230549365,1,0,3.53884066192028,2.70578254419861,0,5.59209816645056,1.07854154288833,0,0.749983894190133,1.25393678877416,0
"PAX6",0.281106509073971,0.0969600225434007,1,0.877084595265013,0.0525026354766233,0.860274802998889,1,0.64744576985292,0.802286691128462,1,0.302105976644862,0.17485952783468,1,0.969155118099237,0.0660719050829076,0.926309823130277,1,0.824073441766497,0.965489497118472,1,1.07789174870281,1.65991999451203,0,0.154669772731985,1.93920625666315,0.176028627125433,0,0.457326436405728,0.250395052011911,0
"PBX1",0.0395707081217311,1,0.726809967493504,1,0.0568251609832631,1,1,1,0.868456566435,1,0.0473502046144722,1,0.838015864159177,1,0.071087602573924,1,1,1,0.974658770167596,1,2.0584557028217,0,0.349381324450946,0,1.90486040159052,0,0,0,0.165623288070088,0
"RORA",0.00012686802240394,1,1,1,1,0.701290313956357,0.0238557279153685,1,0.087990949162282,1,0.000201777533119834,1,1,1,1,0.831304810363996,0.0836188352059502,1,0.503917101146604,1,3.8338737943591,0,0,0,0,0.383589601453602,2.25976905422214,0,1.70624882748422,0
"RORA(var.2)",0.00141310940318738,0.917003074051681,1,0.547177197482633,1,0.290604917740621,0.073276426096384,0.11170912907749,0.354955025783451,0.375028503507472,0.00201918341358377,0.939269457862317,1,0.868451764318279,1,0.474009183150159,0.194075220581636,0.314275016471339,0.746466881464866,0.456525082154287,3.19279941291508,0.104212002157282,0,0.602014677623139,0,1.0568480981821,1.79128227365701,1.59068974985499,0.92506126099175,0.887130865328113
"RREB1",1,4.23968903116029e-21,4.35685395023363e-15,1,2.37246019400619e-184,1,1,3.06942241598038e-05,1,1,1,9.93971539527579e-20,1.62228738264582e-13,1,4.84441065421265e-183,1,1,0.000606295035759423,1,1,0,9.44644993316199,7.85575233725134,0,29.536530594823,0,0,4.17005423928041,0,0
"RXRA::VDR",1,0.618906350995233,0.00982903630292364,0.654623904645815,8.38379876690776e-17,0.948934040269861,1,0.202105301458542,0.454597847323359,1,1,0.732588254382143,0.0330945743603759,0.90757012681469,1.88859239126427e-16,0.97039619950052,1,0.457762046868071,0.83167756461181,1,0,0.497415510027195,2.58225170482173,0.44736049267038,8.33946883050778,0.0640469574478971,0,1.27565515589301,0.747799145805589,0
"SOX9",0.019864453548496,0.398856595812552,1,1,0.0082000494233615,0.590658444088975,0.545823818969089,0.941045586889741,0.77685003039837,1,0.0251987957839639,0.542959623977087,1,1,0.011308564891041,0.744794412566377,0.712384489499863,0.979518038059933,0.958593680629113,1,2.32924993665771,0.843699002774799,0,0,2.64421630239106,0.537898402271217,0.604049191222407,0.0739575079484344,0.283433547657801,0
"SRY",2.8392619161962e-18,1,1,1,1,0.0310894908103345,0.364868502537333,1,0.32275862276545,0.832815287803754,9.87501534589117e-18,1,1,1,1,0.105804557435171,0.549908957395552,1,0.719388057079331,0.882917516796697,8.73349246120082,0,0,0,0,2.15621159646804,0.906166032371677,0,0.988850826434349,0.211097431650314
"TAL1::TCF3",1.62135778253181e-14,1,1,1,1,0.533485797403566,0.862129242517238,1,0.0486970069008681,1,4.81840129738328e-14,1,1,1,1,0.705003151892395,0.919047503630707,1,0.385315067103119,1,7.68839783367073,0,0,0,0,0.622714048167217,0.173668571913618,0,1.97146131982082,0
"REL",1,0.0018236121860702,0.0171505453843848,1,2.72133834063184e-31,0.870846494857984,1,0.623612466068476,0.903590051596014,1,1,0.0054708365582106,0.0529575376991004,1,8.87941840010287e-31,0.926420203331926,1,0.808907153732265,0.974658770167596,1,0,3.11833517537488,2.38383862665855,0,11.6728489700594,0.162587275000362,0,0.490751320942633,0.121130383445079,0
"RELA",1,5.39491429775149e-07,0.0254234838527748,1,1.21155214481444e-30,0.58307393463395,1,0.111583917773329,1,1,1,3.82854317697487e-06,0.075201239620591,1,3.85383169682182e-30,0.738171601246581,1,0.314275016471339,1,1,0,5.01478527036458,2.23522145993216,0,11.5435177578499,0.548916995607549,0,1.59124608753554,0,0
"NR1H2::RXRA",0.650929020166376,0.339447979246531,0.0790264965132926,1,2.27493220831992e-07,0.511267371180056,1,0.18017310240676,0.0416787715631582,1,0.666728268228667,0.484568049258339,0.179601197266062,1,3.94529339141509e-07,0.687117295025426,1,0.436830519813891,0.354202239776915,1,0.452484766142527,0.955299476886082,1.75653132547395,0,5.17872367528513,0.656887647957137,0,1.34031031766636,2.03695983663237,0
"NFIC::TLX1",0.110847651568176,1,1,1,0.0141006990660618,0.969122425799361,1,1,0.975010135260906,1,0.12440880043024,1,1,1,0.0189909415081215,0.979959258036734,1,1,0.995453896161538,1,1.59452746319158,0,0,0,2.45509314006903,0.0387098759747321,0,0,0.0313260100148025,0
"ZNF354C",1,9.85629538861516e-07,0.0145935900769621,0.530008496931383,7.44368973678642e-99,1,1,0.00298435041310016,0.327429934978112,1,1,6.63727125637595e-06,0.046188712593585,0.866981698433834,6.92919941674383e-98,1,1,0.021225773162836,0.719969248452297,1,0,4.89735807387027,2.44271029002222,0.628013622921667,21.3264433003557,0,0,2.97003048759445,0.97934880374326,0
