,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
0,CPI-CS0A5B6BD7A,12oxoLeukotrieneB4_byPTGR1_LTB4R,complex:12oxoLeukotrieneB4_byPTGR1,simple:Q15722,,LTB4R,True,False,True,user_curated,False
1,CPI-CS047D9C0D7,LeukotrieneB4_byLTA4H_LTB4R,complex:LeukotrieneB4_byLTA4H,simple:Q15722,,LTB4R,True,False,True,user_curated,False
2,CPI-CS04A56D5BE,12oxoLeukotrieneB4_byPTGR1_LTB4R2,complex:12oxoLeukotrieneB4_byPTGR1,simple:Q9NPC1,,LTB4R2,True,False,True,user_curated,False
3,CPI-CS0F5B070C5,LeukotrieneB4_byLTA4H_LTB4R2,complex:LeukotrieneB4_byLTA4H,simple:Q9NPC1,,LTB4R2,True,False,True,user_curated,False
4,CPI-CS0AFE4D0CB,LeukotrieneB4_byLTA4H_GPR17,complex:LeukotrieneB4_byLTA4H,simple:Q13304,,GPR17,True,False,True,user_curated,False
5,CPI-CS00DCACEEE,LeukotrieneC4_byLTC4S_GPR17,complex:LeukotrieneC4_byLTC4S,simple:Q13304,,GPR17,True,False,True,user_curated,False
6,CPI-CS0957C3253,LeukotrieneD4_byGGT1_GPR17,complex:LeukotrieneD4_byGGT1,simple:Q13304,,GPR17,True,False,True,user_curated,False
7,CPI-CS01FC3CF4D,LeukotrieneC4_byLTC4S_CYSLTR2,complex:LeukotrieneC4_byLTC4S,simple:Q9NS75,,CYSLTR2,True,False,True,user_curated,False
8,CPI-CS0A0F970F5,LeukotrieneD4_byGGT1_CYSLTR2,complex:LeukotrieneD4_byGGT1,simple:Q9NS75,,CYSLTR2,True,False,True,user_curated,False
9,CPI-CS0891F5216,LeukotrieneC4_byLTC4S_CYSLTR1,complex:LeukotrieneC4_byLTC4S,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
10,CPI-CS0C4ABE334,LeukotrieneD4_byGGT1_CYSLTR1,complex:LeukotrieneD4_byGGT1,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
11,CPI-CS0150916A7,LeukotrieneE4_byDPEP1_CYSLTR1,complex:LeukotrieneE4_byDPEP1,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
12,CPI-CS048E474A5,LeukotrieneE4_byDPEP2_CYSLTR1,complex:LeukotrieneE4_byDPEP2,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
13,CPI-CS0C89AD6A7,LeukotrieneE4_byDPEP3_CYSLTR1,complex:LeukotrieneE4_byDPEP3,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
14,CPI-CS087E1C654,LipoxinA4_byALOX5_CYSLTR1,complex:LipoxinA4_byALOX5,simple:Q9Y271,,CYSLTR1,True,False,True,user_curated,False
15,CPI-CS08D535BCF,22Hydroxycholesterol_byCYP11A1_NR1H4,complex:22Hydroxycholesterol_byCYP11A1,simple:Q96RI1,,NR1H4,True,False,False,user_curated,False
16,CPI-CS01C347639,22Hydroxycholesterol_byCYP3A4_NR1H4,complex:22Hydroxycholesterol_byCYP3A4,simple:Q96RI1,,NR1H4,True,False,False,user_curated,False
17,CPI-CS019C00E02,Androsterone_byHSD17B6_NR1H4,complex:Androsterone_byHSD17B6,simple:Q96RI1,,NR1H4,True,False,False,user_curated,False
18,CPI-CS03629A52A,2arachidonoylglycerol_byDAGLA_CNR1,complex:2arachidonoylglycerol_byDAGLA,simple:P21554,,CNR1,True,False,True,user_curated,False
19,CPI-CS007D418BE,2arachidonoylglycerol_byDAGLB_CNR1,complex:2arachidonoylglycerol_byDAGLB,simple:P21554,,CNR1,True,False,True,user_curated,False
20,CPI-CS0C6F86DF5,2arachidonoylglycerol_byDAGLA_CNR2,complex:2arachidonoylglycerol_byDAGLA,simple:P34972,,CNR2,True,False,True,user_curated,False
21,CPI-CS030959ED1,2arachidonoylglycerol_byDAGLB_CNR2,complex:2arachidonoylglycerol_byDAGLB,simple:P34972,,CNR2,True,False,True,user_curated,False
22,CPI-SS05BA6D9C3,CCL4_CNR2,simple:P13236,simple:P34972,CCL4,CNR2,True,False,True,"IMEx,IntAct",False
23,CPI-CS045C37E64,2arachidonoylglycerol_byDAGLA_GPR55,complex:2arachidonoylglycerol_byDAGLA,simple:Q9Y2T6,,GPR55,True,False,True,user_curated,False
24,CPI-CS01F7D06F1,2arachidonoylglycerol_byDAGLB_GPR55,complex:2arachidonoylglycerol_byDAGLB,simple:Q9Y2T6,,GPR55,True,False,True,user_curated,False
25,CPI-SS0ADC886E5,CCL4_CCR8,simple:P13236,simple:P51685,CCL4,CCR8,True,False,True,I2D,False
26,CPI-SS03A875239,CCL16_CCR8,simple:O15467,simple:P51685,CCL16,CCR8,True,False,True,user_curated,False
27,CPI-SS04297753E,SPP1_CCR8,simple:P10451,simple:P51685,SPP1,CCR8,True,False,True,"IMEx,MINT",False
28,CPI-SS0B784A03E,CCL1_CCR8,simple:P22362,simple:P51685,CCL1,CCR8,True,False,True,user_curated,False
29,CPI-SS0795802F6,CCL4_SLC7A1,simple:P13236,simple:P30825,CCL4,SLC7A1,True,False,True,"IMEx,IntAct",False
30,CPI-SS03105D292,CSF1_SLC7A1,simple:P09603,simple:P30825,CSF1,SLC7A1,True,False,True,I2D,False
31,CPI-SS0D1D95883,CCL4_CCR5,simple:P13236,simple:P51681,CCL4,CCR5,True,False,True,user_curated,False
32,CPI-SS0C090A257,CCL3_CCR5,simple:P10147,simple:P51681,CCL3,CCR5,True,False,True,user_curated,False
33,CPI-SS0B01D306C,CCL5_CCR5,simple:P13501,simple:P51681,CCL5,CCR5,True,False,True,user_curated,False
34,CPI-SS008F83E02,CCL4_GPRC5D,simple:P13236,simple:Q9NZD1,CCL4,GPRC5D,True,False,True,"IMEx,IntAct",False
35,CPI-SS04587A7C5,CCL16_HRH4,simple:O15467,simple:Q9H3N8,CCL16,HRH4,True,False,True,user_curated,False
36,CPI-CS0B6CBE509,Histamine_byHDC_HRH4,complex:Histamine_byHDC,simple:Q9H3N8,,HRH4,True,False,True,user_curated,False
37,CPI-SS093922D5A,CCL16_CCR2,simple:O15467,simple:P41597,CCL16,CCR2,True,False,True,user_curated,False
38,CPI-SS0B7BC0E4D,CCL24_CCR2,simple:O00175,simple:P41597,CCL24,CCR2,True,False,True,guidetopharmacology.org,False
39,CPI-SS0CF0E4DE9,CCL2_CCR2,simple:P13500,simple:P41597,CCL2,CCR2,True,False,True,user_curated,False
40,CPI-SS0348B76E5,CCL16_CCR1,simple:O15467,simple:P32246,CCL16,CCR1,True,False,True,user_curated,False
41,CPI-SS08DA48A5A,CCL3_CCR1,simple:P10147,simple:P32246,CCL3,CCR1,True,False,True,user_curated,False
42,CPI-SS0A021DB6E,CCL5_CCR1,simple:P13501,simple:P32246,CCL5,CCR1,True,False,True,user_curated,False
43,CPI-SS0817CE2B3,CCL3L1_CCR1,simple:P16619,simple:P32246,CCL3L1,CCR1,True,False,True,user_curated,False
44,CPI-SC03E67206C,SPP1_integrin_aVb3_complex,simple:P10451,complex:integrin_aVb3_complex,SPP1,,True,False,False,user_curated,True
45,CPI-SC06D7BD0F6,FN1_integrin_aVb3_complex,simple:P02751,complex:integrin_aVb3_complex,FN1,,True,False,False,user_curated,True
46,CPI-SC07763D025,LAMC1_integrin_aVb3_complex,simple:P11047,complex:integrin_aVb3_complex,LAMC1,,True,False,False,user_curated,True
47,CPI-SC0F72E9E4E,FGF2_integrin_aVb3_complex,simple:P09038,complex:integrin_aVb3_complex,FGF2,,True,False,False,user_curated,True
48,CPI-SC0752DB58E,TNFRSF10B_integrin_aVb3_complex,simple:O14763,complex:integrin_aVb3_complex,TNFRSF10B,,False,True,False,user_curated,True
49,CPI-SC0FCA446B5,L1CAM_integrin_aVb3_complex,simple:P32004,complex:integrin_aVb3_complex,L1CAM,,False,False,False,user_curated,True
50,CPI-SC0AA4C3895,F2_integrin_aVb3_complex,simple:P00734,complex:integrin_aVb3_complex,F2,,True,False,False,user_curated,True
51,CPI-SC045FE8A01,VTN_integrin_aVb3_complex,simple:P04004,complex:integrin_aVb3_complex,VTN,,True,False,False,user_curated,True
52,CPI-SC0F0AC498A,THY1_integrin_aVb3_complex,simple:P04216,complex:integrin_aVb3_complex,THY1,,False,False,False,user_curated,True
53,CPI-SC060FE7871,VWF_integrin_aVb3_complex,simple:P04275,complex:integrin_aVb3_complex,VWF,,True,False,False,user_curated,True
54,CPI-SC0D3D23FAA,IGF1_integrin_aVb3_complex,simple:P05019,complex:integrin_aVb3_complex,IGF1,,True,False,False,user_curated,True
55,CPI-SC0CD32CC34,ATP1B1_integrin_aVb3_complex,simple:P05026,complex:integrin_aVb3_complex,ATP1B1,,False,False,False,user_curated,True
56,CPI-SC0FB36427B,FGF1_integrin_aVb3_complex,simple:P05230,complex:integrin_aVb3_complex,FGF1,,True,False,False,user_curated,True
57,CPI-SC0A5BCC92E,FCER2_integrin_aVb3_complex,simple:P06734,complex:integrin_aVb3_complex,FCER2,,True,True,False,user_curated,True
58,CPI-SC02EA03F82,THBS1_integrin_aVb3_complex,simple:P07996,complex:integrin_aVb3_complex,THBS1,,False,False,False,user_curated,True
59,CPI-SC0A6D5D2B1,MMP2_integrin_aVb3_complex,simple:P08253,complex:integrin_aVb3_complex,MMP2,,True,False,False,user_curated,True
60,CPI-SC021D4420C,TNC_integrin_aVb3_complex,simple:P24821,complex:integrin_aVb3_complex,TNC,,True,False,False,user_curated,True
61,CPI-SC0C4FD0754,PLAUR_integrin_aVb3_complex,simple:Q03405,complex:integrin_aVb3_complex,PLAUR,,True,True,False,user_curated,True
62,CPI-SC042AD06C6,OMD_integrin_aVb3_complex,simple:Q99983,complex:integrin_aVb3_complex,OMD,,True,False,False,user_curated,True
63,CPI-SC0988E0218,SPP1_aVb3 complex,simple:P10451,complex:aVb3 complex,SPP1,,True,False,False,curated,True
64,CPI-SC090855C8E,FN1_aVb3 complex,simple:P02751,complex:aVb3 complex,FN1,,True,False,False,curated,True
65,CPI-SC0B9199C7F,LAMC1_aVb3 complex,simple:P11047,complex:aVb3 complex,LAMC1,,True,False,False,curated,True
66,CPI-SC044E3F9B6,FGF2_aVb3 complex,simple:P09038,complex:aVb3 complex,FGF2,,True,False,False,curated,True
67,CPI-SC06525B099,L1CAM_aVb3 complex,simple:P32004,complex:aVb3 complex,L1CAM,,False,False,False,curated,True
68,CPI-SC0EC380922,F2_aVb3 complex,simple:P00734,complex:aVb3 complex,F2,,True,False,False,curated,True
69,CPI-SC0530C27A8,VTN_aVb3 complex,simple:P04004,complex:aVb3 complex,VTN,,True,False,False,curated,True
70,CPI-SC00756BB93,THY1_aVb3 complex,simple:P04216,complex:aVb3 complex,THY1,,False,False,False,curated,True
71,CPI-SC0E1037D03,VWF_aVb3 complex,simple:P04275,complex:aVb3 complex,VWF,,True,False,False,curated,True
72,CPI-SC0E2D0DC4B,FGF1_aVb3 complex,simple:P05230,complex:aVb3 complex,FGF1,,True,False,False,curated,True
73,CPI-SC05A209BEC,FCER2_aVb3 complex,simple:P06734,complex:aVb3 complex,FCER2,,True,True,False,curated,True
74,CPI-SC0755598EE,THBS1_aVb3 complex,simple:P07996,complex:aVb3 complex,THBS1,,False,False,False,curated,True
75,CPI-SC02E74AFA5,MMP2_aVb3 complex,simple:P08253,complex:aVb3 complex,MMP2,,True,False,False,curated,True
76,CPI-SC0A58E6695,TNC_aVb3 complex,simple:P24821,complex:aVb3 complex,TNC,,True,False,False,curated,True
77,CPI-SC095A2C115,PLAUR_aVb3 complex,simple:Q03405,complex:aVb3 complex,PLAUR,,True,True,False,curated,True
78,CPI-SC0EFCE145F,OMD_aVb3 complex,simple:Q99983,complex:aVb3 complex,OMD,,True,False,False,curated,True
79,CPI-SC07BE7830D,SPP1_a4b1 complex,simple:P10451,complex:a4b1 complex,SPP1,,True,False,False,curated,True
80,CPI-SC06364D669,FN1_a4b1 complex,simple:P02751,complex:a4b1 complex,FN1,,True,False,False,curated,True
81,CPI-SC0BC542ACC,TNC_a4b1 complex,simple:P24821,complex:a4b1 complex,TNC,,True,False,False,curated,True
82,CPI-SC0E9C058EB,PLAUR_a4b1 complex,simple:Q03405,complex:a4b1 complex,PLAUR,,True,True,False,curated,True
83,CPI-SC01833C7FC,PLA2G2A_a4b1 complex,simple:P14555,complex:a4b1 complex,PLA2G2A,,True,False,False,curated,True
84,CPI-SC0A9EB628A,VCAM1_a4b1 complex,simple:P19320,complex:a4b1 complex,VCAM1,,False,False,False,curated,True
85,CPI-SC070D5A96F,JAM2_a4b1 complex,simple:P57087,complex:a4b1 complex,JAM2,,False,False,False,curated,True
86,CPI-SC0C81483EA,SPP1_integrin_a4b1_complex,simple:P10451,complex:integrin_a4b1_complex,SPP1,,True,False,False,user_curated,True
87,CPI-SC0F96CE387,FN1_integrin_a4b1_complex,simple:P02751,complex:integrin_a4b1_complex,FN1,,True,False,False,user_curated,True
88,CPI-SC00B50273B,TNC_integrin_a4b1_complex,simple:P24821,complex:integrin_a4b1_complex,TNC,,True,False,False,user_curated,True
89,CPI-SC0E029AB31,PLAUR_integrin_a4b1_complex,simple:Q03405,complex:integrin_a4b1_complex,PLAUR,,True,True,False,user_curated,True
90,CPI-SC09A33C92E,PLA2G2A_integrin_a4b1_complex,simple:P14555,complex:integrin_a4b1_complex,PLA2G2A,,True,False,False,user_curated,True
91,CPI-SC0B2557C9D,VCAM1_integrin_a4b1_complex,simple:P19320,complex:integrin_a4b1_complex,VCAM1,,False,False,False,user_curated,True
92,CPI-SC0C2126F8E,JAM2_integrin_a4b1_complex,simple:P57087,complex:integrin_a4b1_complex,JAM2,,False,False,False,user_curated,True
93,CPI-SS02AB0C3E0,SPP1_CD44,simple:P10451,simple:P16070,SPP1,CD44,True,False,True,"I2D,IMEx,InnateDB-All,IntAct",False
94,CPI-SS0703338F5,LGALS9_CD44,simple:O00182,simple:P16070,LGALS9,CD44,True,False,True,InnateDB,False
95,CPI-SS03DA2A820,FGF2_CD44,simple:P09038,simple:P16070,FGF2,CD44,True,False,True,"I2D,InnateDB-All",False
96,CPI-SS014C07723,TYROBP_CD44,simple:O43914,simple:P16070,TYROBP,CD44,False,False,True,user_curated,False
97,CPI-SS03722104E,HGF_CD44,simple:P14210,simple:P16070,HGF,CD44,True,False,True,"IMEx,InnateDB-All,IntAct",False
98,CPI-SS0C1BD22BC,SPP1_PTGER4,simple:P10451,simple:P35408,SPP1,PTGER4,True,False,True,"IMEx,MINT",False
99,CPI-SC01AB9BED7,SPP1_a9b1 complex,simple:P10451,complex:a9b1 complex,SPP1,,True,False,False,curated,True
100,CPI-SC056BF6CBB,TNC_a9b1 complex,simple:P24821,complex:a9b1 complex,TNC,,True,False,False,curated,True
101,CPI-SC062D34C2A,VCAM1_a9b1 complex,simple:P19320,complex:a9b1 complex,VCAM1,,False,False,False,curated,True
102,CPI-SC069FF84F5,SPP1_integrin_a9b1_complex,simple:P10451,complex:integrin_a9b1_complex,SPP1,,True,False,False,user_curated,True
103,CPI-SC0EB9B5460,L1CAM_integrin_a9b1_complex,simple:P32004,complex:integrin_a9b1_complex,L1CAM,,False,False,False,user_curated,True
104,CPI-SC0B5F57CE1,TNC_integrin_a9b1_complex,simple:P24821,complex:integrin_a9b1_complex,TNC,,True,False,False,user_curated,True
105,CPI-SC061E89E41,VCAM1_integrin_a9b1_complex,simple:P19320,complex:integrin_a9b1_complex,VCAM1,,False,False,False,user_curated,True
106,CPI-SS0CBAA9BCC,HLA-A_KIR3DL1,simple:HLAA,simple:P43629,HLA-A,KIR3DL1,False,True,True,user_curated,False
107,CPI-SS048242083,HLA-F_KIR3DL1,simple:P30511,simple:P43629,HLA-F,KIR3DL1,False,False,True,user_curated,False
108,CPI-SS079FD6EC6,GAST_KIR2DL3,simple:P01350,simple:P43628,GAST,KIR2DL3,True,False,True,"IMEx,IntAct",False
109,CPI-SS0917CBD53,HLA-C_KIR2DL3,simple:HLAC,simple:P43628,HLA-C,KIR2DL3,False,True,True,user_curated,False
110,CPI-SS0A42A3690,CCL4L2_VSIR,simple:Q8NHW4,simple:Q9H7M9,CCL4L2,VSIR,True,False,True,"IMEx,IntAct",False
111,CPI-SS0436D5870,HLA-F_VSIR,simple:P30511,simple:Q9H7M9,HLA-F,VSIR,False,False,True,user_curated,False
112,CPI-SS03FA58286,TNF_VSIR,simple:P01375,simple:Q9H7M9,TNF,VSIR,True,False,True,"IMEx,IntAct",False
113,CPI-SS0F16EAEBB,HLA-E_VSIR,simple:P13747,simple:Q9H7M9,HLA-E,VSIR,False,False,True,user_curated,False
114,CPI-SS0830AF8E6,GAST_CCKBR,simple:P01350,simple:P32239,GAST,CCKBR,True,False,True,user_curated,False
115,CPI-SS00AD71822,CCK_CCKBR,simple:P06307,simple:P32239,CCK,CCKBR,True,False,True,user_curated,False
116,CPI-SS076D8415B,CCL3_IDE,simple:P10147,simple:P14735,CCL3,IDE,True,False,True,"IMEx,InnateDB-All,MINT",False
117,CPI-SS01A29DD97,GCG_IDE,simple:P01275,simple:P14735,GCG,IDE,True,False,True,IMEx,False
118,CPI-SS0FC2B68F1,IAPP_IDE,simple:P10997,simple:P14735,IAPP,IDE,True,False,True,IMEx,False
119,CPI-SS0E41702C1,IGF1_IGF1R,simple:P05019,simple:P08069,IGF1,IGF1R,True,False,True,user_curated,False
120,CPI-SS09A36B221,BDNF_SORT1,simple:P23560,simple:Q99523,BDNF,SORT1,True,False,True,user_curated,False
121,CPI-SS0DD9B3D49,NGF_SORT1,simple:P01138,simple:Q99523,NGF,SORT1,True,False,True,user_curated,False
122,CPI-SS07CCAD9BF,GRN_SORT1,simple:P28799,simple:Q99523,GRN,SORT1,True,False,True,"IMEx,InnateDB-All,MINT",False
123,CPI-SS02A53F29E,LRPAP1_SORT1,simple:P30533,simple:Q99523,LRPAP1,SORT1,False,False,True,user_curated,False
124,CPI-SS0A437E174,NTS_SORT1,simple:P30990,simple:Q99523,NTS,SORT1,True,False,True,user_curated,False
125,CPI-SS04F3A1E5C,COPA_SORT1,simple:P53621,simple:Q99523,COPA,SORT1,True,False,True,"IMEx,InnateDB-All,IntAct,MatrixDB",False
126,CPI-SS0BA601DC4,BDNF_NTRK2,simple:P23560,simple:Q16620,BDNF,NTRK2,True,False,True,user_curated,False
127,CPI-SS093E05DD4,NTF3_NTRK2,simple:P20783,simple:Q16620,NTF3,NTRK2,True,False,True,user_curated,False
128,CPI-SS088C1035B,NTF4_NTRK2,simple:P34130,simple:Q16620,NTF4,NTRK2,True,False,True,user_curated,False
129,CPI-SS03F0B666C,BDNF_F11R,simple:P23560,simple:Q9Y624,BDNF,F11R,True,False,True,"IMEx,InnateDB-All,IntAct",False
130,CPI-SC0859FAC25,IFNE_Type I IFNR,simple:Q86WN2,complex:Type I IFNR,IFNE,,True,False,True,curated,False
131,CPI-SC064937925,IFNA1_Type I IFNR,simple:P01562,complex:Type I IFNR,IFNA1,,True,False,True,curated,False
132,CPI-SC09458C6C0,IFNA5_Type I IFNR,simple:P01569,complex:Type I IFNR,IFNA5,,True,False,True,curated,False
133,CPI-SC091D10DFA,IFNB1_Type I IFNR,simple:P01574,complex:Type I IFNR,IFNB1,,True,False,True,curated,False
134,CPI-SC0D089F0A9,IFNK_Type I IFNR,simple:Q9P0W0,complex:Type I IFNR,IFNK,,True,False,True,curated,False
135,CPI-SC06DAFCB1D,IFNE_Type_I_IFNR,simple:Q86WN2,complex:Type_I_IFNR,IFNE,,True,False,True,user_curated,False
136,CPI-SC0BC0AC4BF,IFNA1_Type_I_IFNR,simple:P01562,complex:Type_I_IFNR,IFNA1,,True,False,True,user_curated,False
137,CPI-SC08152E49A,IFNA5_Type_I_IFNR,simple:P01569,complex:Type_I_IFNR,IFNA5,,True,False,True,user_curated,False
138,CPI-SC02A19FC2F,IFNB1_Type_I_IFNR,simple:P01574,complex:Type_I_IFNR,IFNB1,,True,False,True,user_curated,False
139,CPI-SC0B0023C1C,IFNK_Type_I_IFNR,simple:Q9P0W0,complex:Type_I_IFNR,IFNK,,True,False,True,user_curated,False
140,CPI-SS04A8E4200,ADIPOQ_CD200R1,simple:Q15848,simple:Q8TD46,ADIPOQ,CD200R1,True,False,True,"IMEx,IntAct",False
141,CPI-SS0A9E884E0,CD200_CD200R1,simple:P41217,simple:Q8TD46,CD200,CD200R1,True,False,True,user_curated,False
142,CPI-SS0518D683C,ADIPOQ_PROKR2,simple:Q15848,simple:Q8NFJ6,ADIPOQ,PROKR2,True,False,True,"IMEx,IntAct",False
143,CPI-SS04465565A,PROK1_PROKR2,simple:P58294,simple:Q8NFJ6,PROK1,PROKR2,True,False,True,user_curated,False
144,CPI-SS06E42DB13,ADIPOQ_CLEC2D,simple:Q15848,simple:Q9UHP7,ADIPOQ,CLEC2D,True,False,True,"IMEx,IntAct",False
145,CPI-SS0E292C126,KLRB1_CLEC2D,simple:Q12918,simple:Q9UHP7,KLRB1,CLEC2D,False,True,True,user_curated,False
146,CPI-SS02A0FF87F,FAM3C_CLEC2D,simple:Q92520,simple:Q9UHP7,FAM3C,CLEC2D,True,False,True,"IMEx,InnateDB-All,IntAct",False
147,CPI-SS068C129D6,CSF1_SIRPA,simple:P09603,simple:P78324,CSF1,SIRPA,True,False,True,I2D,False
148,CPI-SS086615F9B,CSF1_CELSR3,simple:P09603,simple:Q9NYQ7,CSF1,CELSR3,True,False,True,I2D,False
149,CPI-SS08BFF4F9B,CCL3_CCR3,simple:P10147,simple:P51677,CCL3,CCR3,True,False,True,user_curated,False
150,CPI-SS0F6B529A1,CCL5_CCR3,simple:P13501,simple:P51677,CCL5,CCR3,True,False,True,user_curated,False
151,CPI-SS0B0AC1603,CCL24_CCR3,simple:O00175,simple:P51677,CCL24,CCR3,True,False,True,user_curated,False
152,CPI-SS0C6311D2D,CCL3L1_CCR3,simple:P16619,simple:P51677,CCL3L1,CCR3,True,False,True,user_curated,False
153,CPI-SS0F33890C0,CCL11_CCR3,simple:P51671,simple:P51677,CCL11,CCR3,True,False,True,user_curated,False
154,CPI-SS05B7D3407,CCL5_ACKR1,simple:P13501,simple:Q16570,CCL5,ACKR1,True,False,True,user_curated,False
155,CPI-SS0DBFB8BEA,CCL2_ACKR1,simple:P13500,simple:Q16570,CCL2,ACKR1,True,False,True,user_curated,False
156,CPI-SS03821C2C6,PF4_ACKR1,simple:P02776,simple:Q16570,PF4,ACKR1,True,False,True,"I2D,InnateDB",False
157,CPI-SS052BBD9F9,CXCL1_ACKR1,simple:P09341,simple:Q16570,CXCL1,ACKR1,True,False,True,user_curated,False
158,CPI-SS0911EECCC,CXCL8_ACKR1,simple:P10145,simple:Q16570,CXCL8,ACKR1,True,False,True,user_curated,False
159,CPI-SS0ABF41CAA,CXCL5_ACKR1,simple:P42830,simple:Q16570,CXCL5,ACKR1,True,False,True,I2D,False
160,CPI-SS008700E67,CCL8_ACKR1,simple:P80075,simple:Q16570,CCL8,ACKR1,True,False,True,I2D,False
161,CPI-SS07EC65CED,CCL7_ACKR1,simple:P80098,simple:Q16570,CCL7,ACKR1,True,False,True,I2D,False
162,CPI-SS0F3BF2B34,CCL5_ACKR4,simple:P13501,simple:Q9NPB9,CCL5,ACKR4,True,False,True,I2D,False
163,CPI-SS0CB2E8B21,CCL11_ACKR4,simple:P51671,simple:Q9NPB9,CCL11,ACKR4,True,False,True,I2D,False
164,CPI-SS0ECD9BB5E,CCL21_ACKR4,simple:O00585,simple:Q9NPB9,CCL21,ACKR4,True,False,True,user_curated,False
165,CPI-SS0CCD89E02,CCL25_ACKR4,simple:O15444,simple:Q9NPB9,CCL25,ACKR4,True,False,True,user_curated,False
166,CPI-SS083B5EBAB,CXCL13_ACKR4,simple:O43927,simple:Q9NPB9,CXCL13,ACKR4,True,False,True,user_curated,False
167,CPI-SS00AEC3818,CCL19_ACKR4,simple:Q99731,simple:Q9NPB9,CCL19,ACKR4,True,False,True,user_curated,False
168,CPI-SS0EA05941A,CCL5_CCR4,simple:P13501,simple:P51679,CCL5,CCR4,True,False,True,user_curated,False
169,CPI-SS052B38F1C,CCL22_CCR4,simple:O00626,simple:P51679,CCL22,CCR4,True,False,True,user_curated,False
170,CPI-SS0A7B487D4,KLRG2_WNT11,simple:A4D1S0,simple:O96014,KLRG2,WNT11,True,True,False,InnateDB-All,False
171,CPI-CS0003C70E9,FZD10_LRP5_WNT11,complex:FZD10_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
172,CPI-CS0E9CB1664,FZD10_LRP6_WNT11,complex:FZD10_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
173,CPI-CS0481C1F9A,FZD1_LRP5_WNT11,complex:FZD1_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
174,CPI-CS0F29C6285,FZD1_LRP6_WNT11,complex:FZD1_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
175,CPI-CS0372FC240,FZD2_LRP5_WNT11,complex:FZD2_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
176,CPI-CS031A2034E,FZD2_LRP6_WNT11,complex:FZD2_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
177,CPI-CS02643715E,FZD3_LRP5_WNT11,complex:FZD3_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
178,CPI-CS00F8E8AC0,FZD3_LRP6_WNT11,complex:FZD3_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
179,CPI-CS03D573715,FZD4_LRP5_WNT11,complex:FZD4_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
180,CPI-CS055AB879D,FZD4_LRP6_WNT11,complex:FZD4_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
181,CPI-CS08A2EA5F7,FZD5_LRP5_WNT11,complex:FZD5_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
182,CPI-CS0AC9A92AD,FZD5_LRP6_WNT11,complex:FZD5_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
183,CPI-CS04C0033E6,FZD6_LRP5_WNT11,complex:FZD6_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
184,CPI-CS062754C53,FZD6_LRP6_WNT11,complex:FZD6_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
185,CPI-CS0507A53BC,FZD7_LRP5_WNT11,complex:FZD7_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
186,CPI-CS04B8C1A44,FZD7_LRP6_WNT11,complex:FZD7_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
187,CPI-CS03B3DCBA3,FZD8_LRP5_WNT11,complex:FZD8_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
188,CPI-CS000A36A67,FZD8_LRP6_WNT11,complex:FZD8_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
189,CPI-CS0FE6AA4D0,FZD9_LRP5_WNT11,complex:FZD9_LRP5,simple:O96014,,WNT11,True,False,False,user_curated,False
190,CPI-CS09D722BE6,FZD9_LRP6_WNT11,complex:FZD9_LRP6,simple:O96014,,WNT11,True,False,False,user_curated,False
191,CPI-SS0F8288403,CER1_WNT11,simple:O95813,simple:O96014,CER1,WNT11,True,False,False,user_curated,False
192,CPI-SS0FEC87269,KLRG2_TNFSF9,simple:A4D1S0,simple:P41273,KLRG2,TNFSF9,True,True,False,InnateDB-All,False
193,CPI-SS028784FC6,HLA-DPA1_TNFSF9,simple:HLADPA1,simple:P41273,HLA-DPA1,TNFSF9,True,True,False,InnateDB-All,False
194,CPI-SS00A8596B5,PVR_TNFSF9,simple:P15151,simple:P41273,PVR,TNFSF9,True,True,False,InnateDB-All,False
195,CPI-SS044DF8749,KLRG2_WNT5B,simple:A4D1S0,simple:Q9H1J7,KLRG2,WNT5B,True,True,False,InnateDB-All,False
