,id_cp_interaction,interacting_pair,partner_a,partner_b,gene_a,gene_b,secreted,receptor_a,receptor_b,annotation_strategy,is_integrin
1561,CPI-SS00150FB64,HLA-F_LILRB1,simple:P30511,simple:Q8NHL6,HLA-F,LILRB1,True,False,True,user_curated,False
1562,CPI-SS05CE87F88,HLA-G_LILRB1,simple:P17693,simple:Q8NHL6,HLA-G,LILRB1,True,True,True,user_curated,False
1563,CPI-SS0A8A27317,IL2RA_LILRB1,simple:P01589,simple:Q8NHL6,IL2RA,LILRB1,True,True,True,user_curated,False
1564,CPI-SS0FBC9234C,TNF_PTPRS,simple:P01375,simple:Q13332,TNF,PTPRS,True,False,True,InnateDB-All,False
1565,CPI-SS00F4DDF4B,PTN_PTPRS,simple:P21246,simple:Q13332,PTN,PTPRS,True,False,True,"I2D,IMEx,InnateDB-All,IntAct",False
1566,CPI-SS0593F278B,AGRN_PTPRS,simple:O00468,simple:Q13332,AGRN,PTPRS,True,False,True,user_curated,False
1567,CPI-SS02EBC1BB0,TNF_NOTCH1,simple:P01375,simple:P46531,TNF,NOTCH1,True,False,True,I2D,False
1568,CPI-SS04A5D6B6F,DLL1_NOTCH1,simple:O00548,simple:P46531,DLL1,NOTCH1,False,False,True,user_curated,False
1569,CPI-SS0B81F1BF5,TNF_SEMA4C,simple:P01375,simple:Q9C0C4,TNF,SEMA4C,True,False,True,InnateDB-All,False
1570,CPI-SS0AB21032D,PLXNB2_SEMA4C,simple:O15031,simple:Q9C0C4,PLXNB2,SEMA4C,False,True,True,user_curated,False
1571,CPI-SS09C917D22,TNF_FLT4,simple:P01375,simple:P35916,TNF,FLT4,True,False,True,InnateDB-All,False
1572,CPI-SS0D883FFF1,VEGFD_FLT4,simple:O43915,simple:P35916,VEGFD,FLT4,True,False,True,user_curated,False
1573,CPI-SS03B8E2D7A,TNF_ICOS,simple:P01375,simple:Q9Y6W8,TNF,ICOS,True,False,True,InnateDB-All,False
