gene_name,uniprot,hgnc_symbol,ensembl
UBE2D1,P51668,UBE2D1,ENSG00000072401
UBE2D4,Q9Y2X8,UBE2D4,ENSG00000078967
UBE2E2,Q96LR5,UBE2E2,ENSG00000182247
UBE2E3,Q969T4,UBE2E3,ENSG00000170035
UBE2V1,Q13404,UBE2V1,ENSG00000244687
UBE2V2,Q15819,UBE2V2,ENSG00000169139
UBA1,P22314,UBA1,ENSG00000130985
UBA3,Q8TBC4,UBA3,ENSG00000144744
UBA5,Q9GZZ9,UBA5,ENSG00000081307
SULT2B1,O00204,SULT2B1,ENSG00000088002
ST14,Q9Y5Y6,ST14,ENSG00000149418
STK17B,O94768,STK17B,ENSG00000081320
SULT4A1,Q9BR01,SULT4A1,ENSG00000130540
SULT6B1,Q6IMI4,SULT6B1,ENSG00000138068
ST7L,Q8TDW4,ST7L,ENSG00000007341
SULT1A4,P0DMN0,SULT1A4,ENSG00000213648
STEAP1,Q9UHE8,STEAP1,ENSG00000164647
SULT1B1,O43704,SULT1B1,ENSG00000173597
STMN3,Q9NZ72,STMN3,ENSG00000197457
SULT1E1,P49888,SULT1E1,ENSG00000109193
STUM,Q69YW2,STUM,ENSG00000203685
SYDE2,Q5VT97,SYDE2,ENSG00000097096
FARSA,Q9Y285,FARSA,ENSG00000179115
TSC1,Q92574,TSC1,ENSG00000165699
TSC2,P49815,TSC2,ENSG00000103197
TSPEAR,Q8WU66,TSPEAR,ENSG00000175894
TSKU,Q8WUA8,TSKU,ENSG00000182704
TSPAN10,Q9H1Z9,TSPAN10,ENSG00000182612
TSPAN15,O95858,TSPAN15,ENSG00000099282
TSPAN19,P0C672,TSPAN19,ENSG00000231738
TSPAN3,O60637,TSPAN3,ENSG00000140391
TSPAN4,O14817,TSPAN4,ENSG00000214063
TSPAN5,P62079,TSPAN5,ENSG00000168785
TSPAN6,O43657,TSPAN6,ENSG00000000003
TSPAN8,P19075,TSPAN8,ENSG00000127324
TSNARE1,Q96NA8,TSNARE1,ENSG00000171045
TSNAX,Q99598,TSNAX,ENSG00000116918
FARSB,Q9NSD9,FARSB,ENSG00000116120
THBS2,P35442,THBS2,ENSG00000186340
PRSS50,Q9UI38,PRSS50,ENSG00000206549
PRSS50,Q9UI38,PRSS50,ENSG00000283706
TSPO2,Q5TGU0,TSPO2,ENSG00000112212
TSPO,B1AH88,TSPO,ENSG00000100300
TSPO,P30536,TSPO,ENSG00000100300
TSPY1,Q01534,TSPY1,ENSG00000258992
TSPY2,A6NKD2,TSPY2,ENSG00000168757
TSPY3,P0CV98,TSPY3,ENSG00000228927
TSPY4,P0CV99,TSPY4,ENSG00000233803
TSPY8,P0CW00,TSPY8,ENSG00000229549
TSPY10,P0CW01,TSPY10,ENSG00000236424
TSR1,Q2NL82,TSR1,ENSG00000167721
TSR3,Q9UJK0,TSR3,ENSG00000007520
TSSC4,Q9Y5U2,TSSC4,ENSG00000184281
TSSK3,Q96PN8,TSSK3,ENSG00000162526
TSSK4,Q6SA08,TSSK4,ENSG00000139908
TSSK4,Q6SA08,TSSK4,ENSG00000285140
TSPYL6,Q8N831,TSPYL6,ENSG00000178021
TTC21A,Q8NDW8,TTC21A,ENSG00000168026
TTC23L,Q6PF05,TTC23L,ENSG00000205838
TTC30B,Q8N4P2,TTC30B,ENSG00000196659
TTC39B,Q5VTQ0,TTC39B,ENSG00000155158
TTC19,Q6DKK2,TTC19,ENSG00000011295
TTC27,Q6P3X3,TTC27,ENSG00000018699
TTC33,Q6PID6,TTC33,ENSG00000113638
TTC34,A8MYJ7,TTC34,ENSG00000215912
TTC34,A8MYJ7,TTC34,ENSG00000275571
TTC37,Q6PGP7,TTC37,ENSG00000198677
TTC38,Q5R3I4,TTC38,ENSG00000075234
TTC3,P53804,TTC3,ENSG00000182670
TTC7A,Q9ULT0,TTC7A,ENSG00000068724
TTF1,Q15361,TTF1,ENSG00000125482
TTLL3,Q9Y4R7,TTLL3,ENSG00000214021
SYNGAP1,Q96PV0,SYNGAP1,ENSG00000227460
SYNGAP1,Q96PV0,SYNGAP1,ENSG00000197283
ZFP36,P26651,ZFP36,ENSG00000128016
TTYH1,Q9H313,TTYH1,ENSG00000276537
TTYH1,Q9H313,TTYH1,ENSG00000276887
TTYH1,Q9H313,TTYH1,ENSG00000275650
TTYH1,Q9H313,TTYH1,ENSG00000167614
TTYH2,Q9BSA4,TTYH2,ENSG00000141540
TUB,P50607,TUB,ENSG00000166402
TRAV25,A0A0B4J276,TRAV25,ENSG00000211806
TRAV26-2,A0A0B4J265,TRAV26-2,ENSG00000211812
SSR2,P43308,SSR2,ENSG00000163479
SSR4,P51571,SSR4,ENSG00000180879
STK32C,Q86UX6,STK32C,ENSG00000165752
STK17A,Q9UEE5,STK17A,ENSG00000164543
STK38L,Q9Y2H1,STK38L,ENSG00000211455
STOML3,Q8TAV4,STOML3,ENSG00000133115
STOX2,Q9P2F5,STOX2,ENSG00000173320
TNP1,P09430,TNP1,ENSG00000118245
STX1A,Q16623,STX1A,ENSG00000106089
STYK1,Q6J9G0,STYK1,ENSG00000060140
STXBP2,Q15833,STXBP2,ENSG00000076944
TPSD1,Q9BZJ3,TPSD1,ENSG00000095917
TPSG1,Q9NRR2,TPSG1,ENSG00000116176
TAS1R1,Q7RTX1,TAS1R1,ENSG00000173662
TAS1R3,Q7RTX0,TAS1R3,ENSG00000169962
TSACC,Q96A04,TSACC,ENSG00000163467
EARS2,Q5JPH6,EARS2,ENSG00000103356
SLC46A2,Q9BY10,SLC46A2,ENSG00000119457
TSGA10,Q9BZW7,TSGA10,ENSG00000135951
TSGA13,Q96PP4,TSGA13,ENSG00000213265
TNFAIP6,P98066,TNFAIP6,ENSG00000123610
TSPAN12,O95859,TSPAN12,ENSG00000106025
TSPAN13,O95857,TSPAN13,ENSG00000106537
TSPAN17,Q96FV3,TSPAN17,ENSG00000048140
TSPAN1,O60635,TSPAN1,ENSG00000117472
TSPAN7,P41732,TSPAN7,ENSG00000156298
TSPAN9,O75954,TSPAN9,ENSG00000011105
TSN,Q15631,TSN,ENSG00000211460
TSR2,Q969E8,TSR2,ENSG00000158526
TTC30A,Q86WT1,TTC30A,ENSG00000197557
TTC39C,Q8N584,TTC39C,ENSG00000168234
TTBK1,Q5TCY1,TTBK1,ENSG00000146216
TTC17,Q96AE7,TTC17,ENSG00000052841
FARS2,O95363,FARS2,ENSG00000145982
TTC28,Q96AY4,TTC28,ENSG00000100154
TTC29,Q8NA56,TTC29,ENSG00000137473
TTC31,Q49AM3,TTC31,ENSG00000115282
TTC32,Q5I0X7,TTC32,ENSG00000183891
TTC36,A6NLP5,TTC36,ENSG00000172425
TTF2,Q9UNY4,TTF2,ENSG00000116830
TTI1,O43156,TTI1,ENSG00000101407
TRAV40,A0A0B4J280,TRAV40,ENSG00000211819
TRAV4,A0A0B4J268,TRAV4,ENSG00000211778
TRAV5,A0A0B4J249,TRAV5,ENSG00000211779
TRAV26-1,A0A087WT03,TRAV26-1,ENSG00000211807
TRBV18,A0A087X0M5,TRBV18,ENSG00000282771
TRBV18,A0A087X0M5,TRBV18,ENSG00000276557
