"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF575_E"	"ZNF575_E"	498	-9.77541665025925	1.43565396134947e-22	3.25964055158855e-21
"ZNF25_E"	"ZNF25_E"	781	-9.77081017814964	1.50245733930976e-22	3.35629583055487e-21
"ZNF180_E"	"ZNF180_E"	308	-9.74034258622843	2.0286926772343e-22	4.45990374280873e-21
"ZSCAN5A_E"	"ZSCAN5A_E"	476	-9.63592223269419	5.63834031571222e-22	1.2201720839471e-20
"ZNF480_E"	"ZNF480_E"	217	-9.57416211706311	1.0268653104185e-21	2.18801300758403e-20
"ZNF619_E"	"ZNF619_E"	276	-9.56410530306246	1.13176113088085e-21	2.37498358525754e-20
"HOMEZ_E"	"HOMEZ_E"	452	-9.56199898466585	1.15503824742748e-21	2.3876536905777e-20
"ZNF787_E"	"ZNF787_E"	660	-9.45154058882624	3.33879874849557e-21	6.80034745097995e-20
"ZNF680_E"	"ZNF680_E"	729	-9.43914310654994	3.75840323268025e-21	7.54404127139442e-20
"TSC22D2_E"	"TSC22D2_E"	293	9.3898432435386	6.00896199338023e-21	1.18891605154737e-19
"ZNF641_E"	"ZNF641_E"	288	-9.36745199711535	7.43045925181322e-21	1.44946282588187e-19
"ZNF846_E"	"ZNF846_E"	442	-9.28987953443919	1.54463048925706e-20	2.97126837169588e-19
"ZNF30_E"	"ZNF30_E"	200	-9.19148631138312	3.87450255191699e-20	7.35093977315757e-19
"ZNF789_E"	"ZNF789_E"	593	-9.15214078182179	5.58162844689892e-20	1.04466964850743e-18
"ZBTB12_E"	"ZBTB12_E"	330	-9.14433124472692	5.9999938598828e-20	1.10799886612502e-18
"ZNF561_E"	"ZNF561_E"	412	-9.09590919164424	9.37983491661134e-20	1.70935149467194e-18
"ATF5_E"	"ATF5_E"	327	-9.02668543393732	1.76950169498711e-19	3.18280499682747e-18
"ZNF311_E"	"ZNF311_E"	197	-8.93856294032284	3.94263893565993e-19	7.00071144344744e-18
"ZNF771_E"	"ZNF771_E"	394	-8.74722762696355	2.18658338858624e-18	3.83344049771131e-17
"ZNF213_E"	"ZNF213_E"	457	-8.73698627697014	2.39411556308131e-18	4.11405520612405e-17
"ZNF618_E"	"ZNF618_E"	500	-8.73642411972972	2.40605394726389e-18	4.11405520612405e-17
"ZNF518A_E"	"ZNF518A_E"	413	-8.72897131072926	2.56999399659905e-18	4.3407825430362e-17
"HMG20B_E"	"HMG20B_E"	809	-8.70173315569448	3.26853425276367e-18	5.45412040973215e-17
"ZNF429_E"	"ZNF429_E"	158	-8.64112474286472	5.56623023062522e-18	9.17765341597134e-17
"GLI4_E"	"GLI4_E"	1002	-8.61983048463609	6.7053303368194e-18	1.09257441370528e-16
"SALL2_E"	"SALL2_E"	606	-8.60890967165697	7.37587383808254e-18	1.18785875183073e-16
"ZNF43_E"	"ZNF43_E"	201	-8.60706817124368	7.49528762887836e-18	1.19321532942489e-16
"CDC5L_E"	"CDC5L_E"	1267	-8.56182902820331	1.11090859342188e-17	1.74841863851057e-16
"ZNF696_E"	"ZNF696_E"	261	-8.55314549865733	1.19778757174399e-17	1.86397279423082e-16
"DMAP1_E"	"DMAP1_E"	920	-8.54670008746929	1.2665775851361e-17	1.94912217268166e-16
"ZNF280C_E"	"ZNF280C_E"	353	-8.51887860271423	1.61105603935947e-17	2.45199188408007e-16
"ETV2_E"	"ETV2_E"	959	-8.48015324434106	2.24897527892562e-17	3.38568561012172e-16
"ZNF580_E"	"ZNF580_E"	465	-8.43756943668646	3.24004642222653e-17	4.82523042449866e-16
"ZNF546_E"	"ZNF546_E"	302	-8.43558777125461	3.29542401551206e-17	4.85549176753639e-16
"ZNF775_E"	"ZNF775_E"	932	-8.36238004814925	6.14654670263219e-17	8.96101808752166e-16
"CSRNP3_E"	"CSRNP3_E"	380	-8.35561857517849	6.50907133937105e-17	9.39069146357177e-16
"ZKSCAN5_E"	"ZKSCAN5_E"	383	-8.34129948125516	7.34785419165452e-17	1.04915237684964e-15
"ZNF599_E"	"ZNF599_E"	283	-8.3148915901678	9.18361795500567e-17	1.29788886404927e-15
"ZBTB43_E"	"ZBTB43_E"	360	8.27846317136665	1.24775075087285e-16	1.74559069692817e-15
"FIZ1_E"	"FIZ1_E"	721	8.26950270163027	1.34518927299574e-16	1.8630871430991e-15
"BBX_E"	"BBX_E"	736	-8.25637128637992	1.50168004341467e-16	2.05923451497952e-15
"ZNF491_E"	"ZNF491_E"	149	-8.24916369416275	1.59506821652526e-16	2.16585243126223e-15
"ZNF519_E"	"ZNF519_E"	374	-8.23610684702813	1.77905062975127e-16	2.39221856524806e-15
"ZNF205_E"	"ZNF205_E"	528	-8.23444370467943	1.80393916326323e-16	2.40236128953805e-15
"ZNF18_E"	"ZNF18_E"	825	-8.22519189748584	1.94878594414111e-16	2.5705414596528e-15
"DMRTA1_E"	"DMRTA1_E"	164	-8.14421297512257	3.81756770775602e-16	4.9880483728699e-15
"ZNF74_E"	"ZNF74_E"	422	-8.14001889770305	3.95216205525749e-16	5.11564901545012e-15
"ZFP1_E"	"ZFP1_E"	381	-8.12491852062271	4.47663034845733e-16	5.74086391908648e-15
"ZBTB4_E"	"ZBTB4_E"	676	8.11945649964896	4.68275988391417e-16	5.95011232956067e-15
"MXD1_E"	"MXD1_E"	434	-8.11761035701119	4.75452404781218e-16	5.98637800565443e-15
"PRDM5_E"	"PRDM5_E"	459	8.04829250059205	8.39571027477682e-16	1.04757285860954e-14
"ZNF354C_E"	"ZNF354C_E"	351	8.02898116411103	9.82854448978616e-16	1.21540483199588e-14
"ZNF780A_E"	"ZNF780A_E"	211	-8.00017687556924	1.24240613210084e-15	1.52277211766342e-14
"ZNF860_E"	"ZNF860_E"	139	-7.96214132981854	1.69087182470966e-15	2.05426094493235e-14
"THAP3_E"	"THAP3_E"	482	-7.95592162533615	1.77802933089973e-15	2.14136575938794e-14
"ZNF146_E"	"ZNF146_E"	1115	-7.94809905886115	1.8939518662509e-15	2.26131321961853e-14
"ZNF93_E"	"ZNF93_E"	58	7.9298417991778	2.1942522970063e-15	2.59746959944762e-14
"ZNF616_E"	"ZNF616_E"	258	-7.92091037975509	2.35777841690924e-15	2.76739246391466e-14
"ZBTB24_E"	"ZBTB24_E"	636	-7.8809466101921	3.24910124436601e-15	3.78151699449321e-14
"ZNF623_E"	"ZNF623_E"	379	-7.84701755536867	4.26047631884666e-15	4.91729975133553e-14
"ZKSCAN7_E"	"ZKSCAN7_E"	172	-7.82931367256036	4.90540392119459e-15	5.61486316599546e-14
"MYC_AA"	"MYC_AA"	143	-7.81115735234579	5.66652172865113e-15	6.43289556900148e-14
"CSRNP1_E"	"CSRNP1_E"	150	7.80736809131463	5.83945396514904e-15	6.56280251705865e-14
"ZNF501_E"	"ZNF501_E"	145	-7.80658741601231	5.87572210913554e-15	6.56280251705865e-14
"ZNF780B_E"	"ZNF780B_E"	365	-7.77874286749184	7.32487703211387e-15	8.11596375158217e-14
"ZNF236_E"	"ZNF236_E"	357	-7.77015504666767	7.8390112831924e-15	8.6166909739853e-14
"ZNF786_E"	"ZNF786_E"	263	-7.75390733297604	8.91073627051748e-15	9.71761396430449e-14
"ZNF681_E"	"ZNF681_E"	172	-7.72497761298877	1.11873003050523e-14	1.21050085332011e-13
"TFDP2_E"	"TFDP2_E"	647	-7.7191942847547	1.17067346309938e-14	1.25688584991678e-13
"ZNF785_E"	"ZNF785_E"	473	-7.70434969866065	1.31511261936863e-14	1.40110075217351e-13
"ZNF827_E"	"ZNF827_E"	246	-7.66326397787196	1.8126623154075e-14	1.91644069224381e-13
"ELK3_E"	"ELK3_E"	1226	7.65984118535711	1.86163148348314e-14	1.95330273077587e-13
"E2F1_AA"	"E2F1_AA"	111	-7.62659898841957	2.41027866629407e-14	2.50995184422353e-13
"ZNF182_E"	"ZNF182_E"	373	-7.62477695316917	2.44456694223706e-14	2.52666060820771e-13
"THAP2_E"	"THAP2_E"	339	-7.60162910470668	2.9242583297676e-14	3.00007243461343e-13
"DNAJC1_E"	"DNAJC1_E"	1084	-7.54757127903422	4.43449856920274e-14	4.51601508701897e-13
"ZNF736_E"	"ZNF736_E"	353	-7.51101769527714	5.86694605538309e-14	5.93118269102597e-13
"ZNF717_E"	"ZNF717_E"	220	-7.43772361916267	1.02435090278387e-13	1.02806231909831e-12
"ADNP2_E"	"ADNP2_E"	271	7.37723703813935	1.61608137004622e-13	1.61026812770792e-12
"ZBTB26_E"	"ZBTB26_E"	195	-7.28399164259145	3.24085099284156e-13	3.20612758934683e-12
"ZBTB21_E"	"ZBTB21_E"	381	7.22750933375051	4.91932342974915e-13	4.83210138312239e-12
"BATF2_E"	"BATF2_E"	226	-7.21067081006456	5.56769066368999e-13	5.43045885155678e-12
"ZNF69_E"	"ZNF69_E"	249	-7.19993282716933	6.02422301839301e-13	5.83464956676526e-12
"ZNF532_E"	"ZNF532_E"	339	-7.17926620215171	7.00865643225938e-13	6.74096469352725e-12
"ZKSCAN4_E"	"ZKSCAN4_E"	236	-7.17307921512489	7.3329393194142e-13	7.00422134992322e-12
"ZNF675_E"	"ZNF675_E"	361	-7.1445360657867	9.03003474268462e-13	8.56616309494397e-12
"SMARCA5_E"	"SMARCA5_E"	1744	7.12755678562592	1.02166129178132e-12	9.62585638855188e-12
"ZNF41_E"	"ZNF41_E"	747	-7.12432856489759	1.04589278113558e-12	9.78757771535664e-12
"ZNF837_E"	"ZNF837_E"	360	-7.12104942636679	1.07108369895525e-12	9.95604646344305e-12
"ZNF594_E"	"ZNF594_E"	203	-7.12007430103803	1.07868897202095e-12	9.95989484166009e-12
"TRERF1_E"	"TRERF1_E"	651	-7.11148513695734	1.14800826343399e-12	1.0529744667921e-11
"ZNF678_E"	"ZNF678_E"	353	-7.09262927949058	1.31587616379456e-12	1.19900558345754e-11
"ZNF70_E"	"ZNF70_E"	291	-7.04247565306947	1.88853842564547e-12	1.70955929380325e-11
"DNAJC2_E"	"DNAJC2_E"	1220	-7.00456347718239	2.47757076170584e-12	2.22820487335233e-11
"HMG20A_E"	"HMG20A_E"	540	-6.97959429370119	2.96033687045785e-12	2.64520423586072e-11
"ZNF605_E"	"ZNF605_E"	197	-6.95407018163312	3.54894911386707e-12	3.15082982224737e-11
"ZNF184_E"	"ZNF184_E"	269	-6.94231684333338	3.8572088222358e-12	3.4026969546475e-11
"ZNF358_E"	"ZNF358_E"	635	-6.92044592769635	4.50224146942636e-12	3.94658508554146e-11
"ZNF226_E"	"ZNF226_E"	297	-6.86496938478205	6.65055144330828e-12	5.79309040816476e-11
"ZNF169_E"	"ZNF169_E"	271	-6.80420804368711	1.01606617824934e-11	8.79532285547081e-11
"ZNF606_E"	"ZNF606_E"	254	6.79499649468778	1.08315162327765e-11	9.27407627330539e-11
"KAT6B_E"	"KAT6B_E"	468	-6.79478183130037	1.0847656001989e-11	9.27407627330539e-11
"ZBED3_E"	"ZBED3_E"	497	-6.79011779123803	1.12042027972342e-11	9.52013550562537e-11
"RFX7_E"	"RFX7_E"	408	-6.77906558893959	1.20955610726678e-11	1.02148488327103e-10
"ZSCAN30_E"	"ZSCAN30_E"	308	-6.77735187537304	1.22398533789444e-11	1.02740587453564e-10
"ZFAT_E"	"ZFAT_E"	255	-6.76976765430405	1.2898937579471e-11	1.07620653901008e-10
"ZNF517_E"	"ZNF517_E"	613	-6.75555978198543	1.42284823731093e-11	1.17749518599177e-10
"ZNF726_E"	"ZNF726_E"	174	-6.75500559846507	1.42829740972287e-11	1.17749518599177e-10
"THAP9_E"	"THAP9_E"	219	-6.75331414377066	1.44505583496837e-11	1.18426173457467e-10
"ZFP3_E"	"ZFP3_E"	302	-6.70945771719432	1.95349012145422e-11	1.59151989306711e-10
"ZNF260_E"	"ZNF260_E"	646	-6.70771838464397	1.97690975817827e-11	1.60118129536661e-10
"ZNF415_E"	"ZNF415_E"	103	-6.70177729772672	2.05899675353196e-11	1.65797122304754e-10
"ZNF319_E"	"ZNF319_E"	360	-6.69965149256862	2.08917184692904e-11	1.67254509132758e-10
"ZNF530_E"	"ZNF530_E"	181	-6.69702566478038	2.12704276975931e-11	1.69307714719348e-10
"ZNF526_E"	"ZNF526_E"	279	-6.66476642127886	2.65086613036828e-11	2.09797119460575e-10
"ZNF668_E"	"ZNF668_E"	504	-6.6484172500756	2.96261462263188e-11	2.33137571155974e-10
"NFKBIZ_E"	"NFKBIZ_E"	275	6.64223110789012	3.08969991139894e-11	2.41764654084042e-10
"ZNF627_E"	"ZNF627_E"	190	-6.63092067715152	3.335994831381e-11	2.59570384351836e-10
"ZNF658_E"	"ZNF658_E"	124	6.62436806390847	3.48736835545081e-11	2.69832691189909e-10
"ZNF248_E"	"ZNF248_E"	392	-6.61539081162242	3.70571423995031e-11	2.85134123462843e-10
"ZNF302_E"	"ZNF302_E"	200	-6.59781865920958	4.17251177938761e-11	3.19277835052588e-10
"ZBTB37_E"	"ZBTB37_E"	410	-6.58331815037801	4.6006320703585e-11	3.50103044914644e-10
"ZNF322_E"	"ZNF322_E"	753	-6.56214706688213	5.30384655666057e-11	4.01411337758191e-10
"TSHZ1_E"	"TSHZ1_E"	285	-6.54982168167037	5.76058267427269e-11	4.33609076297156e-10
"ZNF397_E"	"ZNF397_E"	425	6.52593624770134	6.75780614976799e-11	5.05922244185334e-10
"ZNF107_E"	"ZNF107_E"	126	-6.49081470396642	8.53734299206381e-11	6.35710755054214e-10
"E2F4_AA"	"E2F4_AA"	100	-6.48363375531222	8.95394249561946e-11	6.63166329221013e-10
"ZNF835_E"	"ZNF835_E"	168	-6.48002573654299	9.17069741104955e-11	6.75607229484236e-10
"ZNF354A_E"	"ZNF354A_E"	679	-6.47496446035617	9.48342599600026e-11	6.94949471135469e-10
"PHTF2_E"	"PHTF2_E"	466	-6.45955009928504	1.05014716663833e-10	7.65502013575832e-10
"ZKSCAN2_E"	"ZKSCAN2_E"	197	-6.45738050378891	1.06530808989821e-10	7.72487803407864e-10
"ZNF133_E"	"ZNF133_E"	451	-6.4414251858845	1.18356787672847e-10	8.53771619410899e-10
"ZNF768_E"	"ZNF768_E"	854	-6.43349211955172	1.24705063229911e-10	8.94904210225012e-10
"ZNF774_E"	"ZNF774_E"	266	-6.40182471275964	1.53530874138929e-10	1.0960838179506e-09
"ZNF559_E"	"ZNF559_E"	117	-6.38287639767416	1.73792179785544e-10	1.23437009745117e-09
"FEV_E"	"FEV_E"	725	6.32426562336475	2.54439720481739e-10	1.79795414728168e-09
"ZNF75D_E"	"ZNF75D_E"	269	-6.29350844583727	3.10369612182357e-10	2.18204016686581e-09
"ZBTB41_E"	"ZBTB41_E"	529	-6.28921435158434	3.19076641357974e-10	2.23192499131714e-09
"ZNF443_E"	"ZNF443_E"	131	-6.28739089620977	3.22845748487569e-10	2.2469415158557e-09
"ZNF35_E"	"ZNF35_E"	569	-6.22640551165911	4.77257830621728e-10	3.29569056583102e-09
"ZC3H6_E"	"ZC3H6_E"	496	-6.22606635714724	4.78291555041181e-10	3.29569056583102e-09
"ZNF737_E"	"ZNF737_E"	134	-6.21672709856666	5.07631495902269e-10	3.48054268230021e-09
"ZBED5_E"	"ZBED5_E"	390	-6.2145879820604	5.14594947193725e-10	3.51090641311975e-09
"RCOR3_E"	"RCOR3_E"	566	6.21334126640536	5.18696277401864e-10	3.52154090294893e-09
"ZNF84_E"	"ZNF84_E"	344	-6.20811732314591	5.36231131289509e-10	3.62282983822424e-09
"ZNF34_E"	"ZNF34_E"	220	-6.20591856356487	5.43783336063723e-10	3.65601903130222e-09
"ZNF214_E"	"ZNF214_E"	543	-6.16964149487791	6.84450026171163e-10	4.57953278380222e-09
"ZFPM1_E"	"ZFPM1_E"	274	-6.16521238362095	7.03886009846347e-10	4.68693328671726e-09
"MXD4_E"	"MXD4_E"	590	-6.16416672848094	7.08552564911668e-10	4.69543206891225e-09
"ZNF253_E"	"ZNF253_E"	157	-6.15037764661161	7.72986704610938e-10	5.09803136136261e-09
"ZNF583_E"	"ZNF583_E"	85	-6.09770067794914	1.07604991153186e-09	7.06317122024469e-09
"PBX1_E"	"PBX1_E"	1169	-6.09593293561221	1.08801023534455e-09	7.10799139600094e-09
"ZNF2_E"	"ZNF2_E"	201	-6.079498218462	1.20559221593166e-09	7.83917943223171e-09
"ZFP30_E"	"ZFP30_E"	177	-6.07051131639186	1.27503631088795e-09	8.251987339158e-09
"ZNF626_E"	"ZNF626_E"	104	-6.04756937462277	1.47047355435204e-09	9.47258545477944e-09
"ZNF324B_E"	"ZNF324B_E"	333	-6.01295536549911	1.82171208376127e-09	1.16808853518952e-08
"WIZ_E"	"WIZ_E"	910	-5.97965580256549	2.23609599111451e-09	1.42718569018138e-08
"ZNF610_E"	"ZNF610_E"	135	-5.94284683919685	2.80114137348034e-09	1.7796242212249e-08
"ZNF425_E"	"ZNF425_E"	192	-5.93677674148496	2.90680067323337e-09	1.8383191472275e-08
"ZNF793_E"	"ZNF793_E"	291	-5.92896626951847	3.04847694129518e-09	1.91915480167901e-08
"ZNF90_E"	"ZNF90_E"	238	-5.91576647181715	3.30333624232576e-09	2.07019036000958e-08
"SP110_E"	"SP110_E"	390	-5.87687519957811	4.18083156216745e-09	2.60831158270357e-08
"ZNF132_E"	"ZNF132_E"	131	-5.85092214380694	4.88855031982265e-09	3.03616241836519e-08
"ZNF45_E"	"ZNF45_E"	288	-5.8418364814901	5.16284710391923e-09	3.19220680309291e-08
"ZNF76_E"	"ZNF76_E"	1202	-5.81751639512147	5.97284054370359e-09	3.67661517912421e-08
"ZFP41_E"	"ZFP41_E"	421	-5.81520876290148	6.05582612963881e-09	3.70169590900161e-08
"ZNF28_E"	"ZNF28_E"	397	-5.81489930730602	6.06703950428422e-09	3.70169590900161e-08
"ZNF749_E"	"ZNF749_E"	200	-5.80749867725166	6.34130525820022e-09	3.85206481693303e-08
"ZNF286A_E"	"ZNF286A_E"	268	-5.80072835814325	6.60274877715512e-09	3.99336552679469e-08
"ZSCAN2_E"	"ZSCAN2_E"	120	-5.79100365135411	6.99670558279054e-09	4.21323357920213e-08
"ZNF19_E"	"ZNF19_E"	177	-5.77530083257422	7.68157152149709e-09	4.60561755726124e-08
"ZNF341_E"	"ZNF341_E"	800	-5.77327381199841	7.77459482150163e-09	4.64129906369817e-08
"PBRM1_E"	"PBRM1_E"	1036	-5.74240077835109	9.33435751024148e-09	5.54853439986457e-08
"PATZ1_E"	"PATZ1_E"	648	5.7237753525863	1.04182492573484e-08	6.166356932234e-08
"ZNF607_E"	"ZNF607_E"	166	-5.70545312643857	1.16033986978594e-08	6.83859880703627e-08
"ZNF662_E"	"ZNF662_E"	333	-5.69790648276732	1.21287545646266e-08	7.11793435254568e-08
"ZNF100_E"	"ZNF100_E"	95	-5.66851204995649	1.44042941792683e-08	8.41769934104921e-08
"THAP5_E"	"THAP5_E"	331	-5.65067545562513	1.5981858355466e-08	9.30036715223544e-08
"ZNF497_E"	"ZNF497_E"	329	-5.64621827713462	1.64015582862917e-08	9.5046687140226e-08
"ZBTB42_E"	"ZBTB42_E"	601	-5.6268987378592	1.83478361695086e-08	1.05718169324328e-07
"ZNF510_E"	"ZNF510_E"	272	-5.6264489000158	1.83957247705149e-08	1.05718169324328e-07
"ZBTB25_E"	"ZBTB25_E"	375	-5.60704768628922	2.05806971436717e-08	1.17786221256138e-07
"SP140L_E"	"SP140L_E"	597	-5.6014202900014	2.12602548625642e-08	1.20824146830438e-07
"ZNF568_E"	"ZNF568_E"	170	5.60059801891817	2.13613577223585e-08	1.20824146830438e-07
"ZNF513_E"	"ZNF513_E"	778	-5.60050175385216	2.1373224529572e-08	1.20824146830438e-07
"ZNF345_E"	"ZNF345_E"	299	-5.59859757317721	2.16092766612077e-08	1.21661984454361e-07
"ZNF438_E"	"ZNF438_E"	503	5.55673223201563	2.74871934250757e-08	1.54128594711457e-07
"ZNF527_E"	"ZNF527_E"	171	-5.5559573893836	2.76094223937541e-08	1.54189717803829e-07
"FOXN1_E"	"FOXN1_E"	223	5.51849409556417	3.4191695758402e-08	1.9018272540316e-07
"ZNF689_E"	"ZNF689_E"	446	-5.48298239236203	4.18214657470734e-08	2.31690920238787e-07
"ZNF33A_E"	"ZNF33A_E"	514	-5.47786190461835	4.30495889578893e-08	2.36679542667296e-07
"ZGLP1_E"	"ZGLP1_E"	553	-5.47780383743929	4.30637146224973e-08	2.36679542667296e-07
"ZNF611_E"	"ZNF611_E"	216	-5.47313881994528	4.42133489694361e-08	2.42037503251656e-07
"ZKSCAN3_E"	"ZKSCAN3_E"	153	-5.47167097049338	4.45811962251971e-08	2.42843878849058e-07
"ZNF85_E"	"ZNF85_E"	510	5.47115450639481	4.47113278747363e-08	2.42843878849058e-07
"TET1_E"	"TET1_E"	231	-5.44942239169035	5.05336681663393e-08	2.73395040665547e-07
