"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF224_E"	"ZNF224_E"	489	-9.52042380665295	1.72474221265499e-21	3.91601305660191e-20
"ZNF689_E"	"ZNF689_E"	446	-9.28883394754388	1.55987803281403e-20	3.48456625072165e-19
"BBX_E"	"BBX_E"	738	9.2520164550816	2.20296787214621e-20	4.84303254432142e-19
"ZNF202_E"	"ZNF202_E"	595	9.21350327408757	3.15651075253641e-20	6.83088655041083e-19
"ZBTB34_E"	"ZBTB34_E"	246	9.16227890545343	5.08127127630756e-20	1.08270164887476e-18
"ARID4A_E"	"ARID4A_E"	537	9.13460869908281	6.56437360961801e-20	1.37752385595772e-18
"ZNF91_E"	"ZNF91_E"	448	-9.10752089796598	8.42858614164741e-20	1.74232713525099e-18
"TADA2A_E"	"TADA2A_E"	330	-9.00103555778786	2.23598512342336e-19	4.55417558226669e-18
"MYC_AA"	"MYC_AA"	144	-8.99360198553462	2.39257708960222e-19	4.7643835617708e-18
"ZBED4_E"	"ZBED4_E"	809	-8.99289641337407	2.40799169186972e-19	4.7643835617708e-18
"FOXN2_E"	"FOXN2_E"	376	8.97815364684977	2.75348385683941e-19	5.37123259397548e-18
"ZNF791_E"	"ZNF791_E"	389	8.97282040193009	2.89017116502976e-19	5.55956536606418e-18
"ZNF397_E"	"ZNF397_E"	425	-8.96330244977729	3.15096809198335e-19	5.97820658547527e-18
"HOMEZ_E"	"HOMEZ_E"	452	-8.95682868286656	3.34150283025818e-19	6.25402894582105e-18
"ZNF891_E"	"ZNF891_E"	245	8.91389161614435	4.92719892043755e-19	9.09889400640801e-18
"EPAS1_B"	"EPAS1_B"	42	8.8769460361146	6.87211210520213e-19	1.25235200864539e-17
"ZNF506_E"	"ZNF506_E"	331	8.85476403701306	8.38610268993864e-19	1.50840937994351e-17
"ZNF524_E"	"ZNF524_E"	826	-8.7765747818229	1.6852872306728e-18	2.99246514677157e-17
"ZFP14_E"	"ZFP14_E"	399	8.74816308033808	2.16853724337846e-18	3.80180263554324e-17
"ZBTB1_E"	"ZBTB1_E"	255	-8.65361165831521	4.98947814155322e-18	8.63803403256402e-17
"ZNF451_E"	"ZNF451_E"	568	8.57071684865863	1.02842831019172e-17	1.7584854439698e-16
"ZNF431_E"	"ZNF431_E"	320	-8.50186185578341	1.86573763205066e-17	3.15127636632946e-16
"ZBTB24_E"	"ZBTB24_E"	636	-8.49474497504168	1.98367982224428e-17	3.31011632988956e-16
"GATAD2A_E"	"GATAD2A_E"	956	8.49095122799371	2.04952575379761e-17	3.37927758215439e-16
"ZNF585A_E"	"ZNF585A_E"	240	8.47027343819385	2.44817652114879e-17	3.98908762563655e-16
"ZNF749_E"	"ZNF749_E"	200	-8.43563453098116	3.29410662288869e-17	5.3050438054661e-16
"ZNF408_E"	"ZNF408_E"	451	-8.42520858451586	3.6010816213867e-17	5.73275637427653e-16
"FOXJ3_E"	"FOXJ3_E"	1286	8.41999738377958	3.76492716037864e-17	5.92548195127775e-16
"ZNF546_E"	"ZNF546_E"	303	8.40908737201977	4.13213226561017e-17	6.43034066052818e-16
"ZNF347_E"	"ZNF347_E"	154	8.39606362279596	4.61695539873847e-17	7.1049813636142e-16
"ETV7_E"	"ETV7_E"	367	-8.37670755573738	5.44288667990981e-17	8.28395390293966e-16
"IKZF2_E"	"IKZF2_E"	186	8.33067139951513	8.03851624526597e-17	1.21014619561884e-15
"ZNF445_E"	"ZNF445_E"	425	8.29536522642317	1.08252094435665e-16	1.60603893944579e-15
"ZFP64_E"	"ZFP64_E"	755	-8.29454466113343	1.09001920799931e-16	1.60603893944579e-15
"HMGXB3_E"	"HMGXB3_E"	859	-8.15083435423154	3.6142189933199e-16	5.26915084815585e-15
"RC3H2_E"	"RC3H2_E"	886	8.12826909937483	4.35463655432822e-16	6.28247044556728e-15
"ZSCAN30_E"	"ZSCAN30_E"	308	8.12628503920049	4.42647428701745e-16	6.32027514177234e-15
"PURA_E"	"PURA_E"	440	8.08733965662079	6.098203211536e-16	8.61837902854833e-15
"POGZ_E"	"POGZ_E"	774	8.07923479298376	6.51744355985274e-16	9.11783770747076e-15
"ZBTB42_E"	"ZBTB42_E"	602	-8.0525779909113	8.10680463962709e-16	1.12279244258835e-14
"ZNF778_E"	"ZNF778_E"	439	-8.0142351534888	1.10824493454706e-15	1.51972201420562e-14
"PRDM4_E"	"PRDM4_E"	740	-7.99626300559811	1.28252275451422e-15	1.74146472059039e-14
"ZNF175_D"	"ZNF175_D"	462	7.98670142293689	1.38597227528198e-15	1.8636617488015e-14
"ZNF345_E"	"ZNF345_E"	300	7.98528619986152	1.40196651871927e-15	1.8670419504098e-14
"RFX3_E"	"RFX3_E"	697	-7.94342101069219	1.96679959817592e-15	2.59430232711776e-14
"ZNF430_E"	"ZNF430_E"	282	7.89596908409314	2.88068093261556e-15	3.76390857704958e-14
"ZNF280D_E"	"ZNF280D_E"	637	7.88406315103549	3.16904000216301e-15	4.10198168504278e-14
"L3MBTL1_E"	"L3MBTL1_E"	662	7.83562313020487	4.66523218582283e-15	5.98272831237465e-14
"ZNF414_E"	"ZNF414_E"	726	-7.82426049880986	5.10649694819984e-15	6.48853052592365e-14
"ZNF808_E"	"ZNF808_E"	187	7.81357093242331	5.55901063686821e-15	6.99929975642042e-14
"ZNF510_E"	"ZNF510_E"	272	7.80192282197689	6.09709336407653e-15	7.60763451283423e-14
"ZNF628_E"	"ZNF628_E"	281	-7.77736823551889	7.40488303635591e-15	9.1433118649921e-14
"GRHL1_E"	"GRHL1_E"	560	7.77643164574466	7.4598862147589e-15	9.1433118649921e-14
"KLF8_E"	"KLF8_E"	667	7.75511464640215	8.82637015289294e-15	1.07232654927691e-13
"CDC5L_E"	"CDC5L_E"	1267	-7.74407354849684	9.62812680808384e-15	1.15956135906053e-13
"ZNF621_E"	"ZNF621_E"	305	7.69534280906203	1.4111531783516e-14	1.68486823449738e-13
"ARID3B_E"	"ARID3B_E"	710	7.68213074658232	1.56464023248374e-14	1.85215959144443e-13
"BARX2_E"	"BARX2_E"	427	7.65370335219322	1.95272452247759e-14	2.29196903697582e-13
"ZNF511_E"	"ZNF511_E"	704	-7.62782927442063	2.3873943335824e-14	2.77860601009381e-13
"ZNF518A_E"	"ZNF518A_E"	413	7.61773777729648	2.58160065665409e-14	2.97959742455493e-13
"NFKBIL1_E"	"NFKBIL1_E"	604	-7.54839867624984	4.40642320299875e-14	5.04371581500271e-13
"ZNF383_E"	"ZNF383_E"	223	-7.51184164341955	5.83012882350313e-14	6.61862985291134e-13
"ELF4_E"	"ELF4_E"	954	7.47253003154184	7.86674075752118e-14	8.85807800745271e-13
"GLIS2_E"	"GLIS2_E"	1023	7.46577204903376	8.28126023909987e-14	9.24963341222042e-13
"ZNF677_E"	"ZNF677_E"	120	7.45993610364975	8.65644490753127e-14	9.59134095754465e-13
"GRHL3_E"	"GRHL3_E"	333	7.45314728428205	9.11394396687666e-14	1.00181050747017e-12
"MYNN_D"	"MYNN_D"	465	7.42800650456783	1.10246538552637e-13	1.20229492831025e-12
"IRX4_E"	"IRX4_E"	163	7.40315314960162	1.32988223116177e-13	1.43897413293676e-12
"CNOT4_E"	"CNOT4_E"	359	7.38911398844506	1.4781041507701e-13	1.58695678202836e-12
"ZFP30_E"	"ZFP30_E"	177	7.38242075575447	1.55437051033934e-13	1.65600242832307e-12
"ZNF277_E"	"ZNF277_E"	776	-7.36201051498211	1.8116069761195e-13	1.91532493276756e-12
"VEZF1_E"	"VEZF1_E"	895	7.28774306419585	3.15190327882569e-13	3.30580605883141e-12
"ZBTB7A_C"	"ZBTB7A_C"	91	-7.28677906225444	3.17452856191031e-13	3.30580605883141e-12
"ZFHX3_E"	"ZFHX3_E"	432	7.27228979693278	3.53444320507555e-13	3.6531371933057e-12
"ZNF92_D"	"ZNF92_D"	403	7.25589813059399	3.99005304379747e-13	4.09349886345148e-12
"ZNF3_E"	"ZNF3_E"	435	-7.25307018094616	4.07428832241277e-13	4.14321964445393e-12
"ZNF354C_E"	"ZNF354C_E"	352	-7.25227301172023	4.09834722953204e-13	4.14321964445393e-12
"MYRF_E"	"MYRF_E"	272	7.2362148030491	4.61380385968283e-13	4.63052054033385e-12
"ZBTB38_E"	"ZBTB38_E"	545	7.22463627466486	5.02444796854189e-13	5.00637441469821e-12
"ZNF516_E"	"ZNF516_E"	261	7.22300890695202	5.08496821140482e-13	5.03048640913976e-12
"ZBTB26_E"	"ZBTB26_E"	196	7.17327261107306	7.32258324810033e-13	7.1927502117865e-12
"TADA2B_E"	"TADA2B_E"	460	-7.14129611720036	9.24549340112962e-13	9.01761152152431e-12
"ZNF674_E"	"ZNF674_E"	159	7.11736491691318	1.1000994809018e-12	1.06548096576853e-11
"ZNF525_E"	"ZNF525_E"	170	7.07647207720176	1.47870531810458e-12	1.42222698998253e-11
"THAP8_E"	"THAP8_E"	730	-7.07207743589623	1.52631201668923e-12	1.45789113318247e-11
"PRDM2_E"	"PRDM2_E"	335	7.0368478522587	1.96637362724777e-12	1.8653612833823e-11
"ZNF841_E"	"ZNF841_E"	434	6.98489304491137	2.85073072233483e-12	2.68589255131547e-11
"ZNF771_E"	"ZNF771_E"	394	-6.94940050936589	3.66841722659812e-12	3.43294449921513e-11
"ZNF721_E"	"ZNF721_E"	314	6.93961576521948	3.93167823550261e-12	3.65461366185981e-11
"TONSL_E"	"TONSL_E"	1104	-6.9376683039298	3.98624293765597e-12	3.68063097910234e-11
"ZNF236_E"	"ZNF236_E"	357	6.92487223651537	4.36369168742956e-12	4.00245893184764e-11
"TSHZ2_E"	"TSHZ2_E"	498	6.80961411599143	9.78608808764524e-12	8.91692894828201e-11
"ZNF79_E"	"ZNF79_E"	161	-6.78185779281767	1.18640227948062e-11	1.07396546214422e-10
"ZNF251_E"	"ZNF251_E"	409	6.71620281237653	1.86521143380722e-11	1.67747911417078e-10
"NFATC4_E"	"NFATC4_E"	1066	6.71517409493888	1.87841812661154e-11	1.67845748732709e-10
"ZNF333_E"	"ZNF333_E"	440	6.69113549249303	2.21445505647672e-11	1.96603862385914e-10
"RFX7_E"	"RFX7_E"	408	6.647454261062	2.98205608767445e-11	2.63066731301217e-10
"GLIS3_E"	"GLIS3_E"	795	6.64375496724674	3.05790784539095e-11	2.68050782649776e-10
"ZNF248_E"	"ZNF248_E"	392	6.63283028881999	3.29310370773244e-11	2.86852115421977e-10
"ZNF493_E"	"ZNF493_E"	172	6.58826636821274	4.44991783908725e-11	3.8519601294599e-10
"ZNF765_E"	"ZNF765_E"	109	6.5730463373668	4.92961084347646e-11	4.22633139578792e-10
