,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ELF4,-0.10182804,0.13169798,-0.08004635,-0.24533542,0.31573293,0.28515288
ATF6,-0.06516411,0.007990144,0.37080327,-0.08504359,0.69795144,0.15943314
ZNF483,-0.035278935,-0.06140366,-0.11955546,0.036670648,-0.119555466,0.020789003
ZNF579,-0.027013848,-0.021631554,-0.059534937,0.004687009,-0.059534937,-0.022596661
ZFP91,-0.04563225,-0.062010426,-0.30922905,0.1341381,-0.24558537,-0.019436462
PSPC1,-0.13124207,0.07092218,0.43091393,-0.23009218,1.0083537,0.34455505
RFX3,-0.21938844,0.10744714,0.4291062,-0.21691847,0.011996125,0.44346103
ZNF184,-0.012754839,-0.04786809,0.3314031,0.066345945,-0.14560446,-0.047624525
PPP1R13L,-0.18949442,-0.04870263,0.081794575,0.15146191,0.5164764,0.16054963
GATAD1,-0.09486148,-0.059450008,-0.17328644,0.16540308,0.22433138,0.022037968
ZNF337,-0.06350535,-0.025027066,-0.19919488,0.023104232,-0.01124918,0.079910696
PPARG,0.0030413256,-0.07141926,0.5646456,-0.42317268,0.9315421,0.41971463
ZNF445,-0.118617006,-0.044707216,0.9516879,0.08315677,-0.03595621,0.113899276
ZNF768,-0.06296303,0.013822476,-0.24094848,0.062963806,0.055740528,0.01334808
ZSCAN25,-0.05632703,-0.030339517,-0.20097838,0.021266686,-0.14928818,0.069769345
RC3H2,-0.17360307,0.018226435,0.17392254,-0.065369904,0.5344625,0.2930989
TADA2A,-0.059025012,-0.05301498,0.29408476,0.05065137,0.33167812,0.068408825
HOXA10,-0.03857087,-0.03309245,-0.06041184,0.0010294404,-0.06041184,0.009035789
FOXK2,-0.22987379,0.00749169,0.33671325,0.06932274,0.10449167,0.2597902
ZNF451,-0.22722629,0.111119404,0.43442765,-0.11168408,1.380417,0.34537122
ZNF343,0.012940248,-0.061014865,-0.09573793,0.040727895,-0.09573793,-0.06373464
ZNF441,-0.04848541,-0.0034154062,-0.1548012,-0.060162395,0.67919576,0.10546022
ZNF692,-0.09019052,0.07013805,-0.30590734,0.00634286,0.85683507,0.07300415
ZNF565,-0.074918635,-0.017020889,0.3036054,-0.0301866,0.44122577,0.14147905
GCM1,-0.02883644,0.20173523,0.95185107,-0.62229896,1.1536475,0.4693827
NFKBIB,0.026327694,-0.13130032,-0.40925515,0.095637985,-0.2717949,-0.037418254
ZNF629,-0.04597511,-0.010392063,-0.09943624,-0.011072733,-0.09943624,0.02681634
ERF,-0.057408653,-0.04508017,-0.17577533,0.17390835,0.041759875,-0.076796785
ZNF124,-0.06794001,0.08867761,0.21721925,-0.12559119,1.2256374,0.14564934
PRDM15,-0.069865,-0.008218796,1.2171797,0.026605701,1.0759021,0.059770044
ZNF232,0.046405684,-0.082329966,-0.17784633,0.063258074,0.03739471,-0.10435107
HEY1,0.37721974,-0.015213324,-0.44775692,-0.1933577,-0.23748812,-0.35143888
ZNF83,-0.28065988,-0.04715209,0.5344533,0.064099275,0.5606708,0.3682085
TEAD2,0.09154298,-0.0028867584,-0.35161054,-0.23978867,-0.064867705,0.09215879
ZXDC,-0.16447593,-0.03472926,-0.04209434,0.08769987,0.2591806,0.17669633
E2F3,-0.067907386,-0.03654126,0.020425232,0.26052976,0.027581414,-0.118226595
HSF2,-0.03263994,-0.039498344,-0.26995313,0.09584741,-0.08264927,-0.015974302
ZNF687,-0.0505545,0.03735348,0.26211798,0.029999115,0.17159137,0.002282317
ZNF823,-0.037986178,-0.10998812,0.08336368,0.13205491,0.3346451,0.0010571112
NR1H2,0.057990443,-0.14481984,-0.5673609,0.060030792,-0.010507735,-0.042610392
ERG,-0.04338429,0.03524322,-0.09266863,-0.032968316,-0.092668615,0.018208154
MEF2A,-0.20843054,0.024348704,1.0970787,-0.036738504,0.86658555,0.3057087
ZNF143,-0.017366882,-0.01395765,-0.018493826,-0.005640043,0.6620067,0.034168717
ZFAT,-0.32753202,-0.011106483,0.8601065,0.19937491,0.7212529,0.28549448
ZNF24,-0.027510846,-0.013402685,-0.0913005,0.03519728,0.8381254,0.009971377
THAP7,0.10605706,-0.1458614,0.4032407,0.17160049,-0.36790034,-0.2162824
ZNF227,-0.02491344,-0.032244466,-0.1928592,0.045345597,0.14129154,0.003287968
ARID3A,-0.059610564,0.21358335,-0.2861498,-0.38134664,0.48331738,0.29647368
ZNF691,0.031085769,-0.08705136,-0.18133731,0.029201651,-0.058052838,-0.048151325
ZFP14,-0.04711138,-0.0010047246,0.15453613,0.06494276,0.048117954,-0.0043105497
ZNF302,-0.042362217,0.018791497,0.3161466,0.017483482,0.37542742,0.027797328
KLF4,-0.15282716,0.10447452,-0.46878076,0.23961939,-0.46878076,-0.061004307
ETS2,-0.16342972,0.27246127,-0.03351532,-0.22021309,-0.38665622,0.26554894
ZBTB14,0.0045314073,-0.02955227,-0.19445783,0.04355556,-0.19445787,-0.047855426
MAFG,-0.110745974,0.11370512,-0.36428037,-0.0949964,0.38141492,0.17254709
ZNF586,-0.12318116,0.008971832,0.3396358,-0.022436671,0.8610111,0.18375066
IRF8,0.01040183,-0.016566673,-0.17696714,-0.0655474,3.373141,0.010918489
ATRX,-0.191436,0.037435517,0.20988376,-0.0060548396,0.7038809,0.25053266
E2F5,-0.07110249,-0.060071725,-0.122029066,0.1610143,-0.122029066,-0.04784865
TBX1,-0.102205336,0.017001469,0.03716244,-0.18888812,1.3240694,0.298453
ADNP2,-0.115791515,0.05488052,-0.10786405,0.06300055,0.09265804,0.073440455
SMARCA1,-0.14394742,-0.10953446,0.38451925,0.24869248,-0.1978968,0.04869835
TADA2B,-0.07251142,0.00088337256,0.3430085,0.009247703,-0.1859039,0.08050114
POU6F2,-0.056745972,-0.031212708,0.07804375,-0.09429042,0.28476387,0.18561332
THAP9,-0.016924711,-0.04242673,-0.15657236,-0.008601193,-0.15657236,0.033383776
REL,-0.060368024,0.0943745,-0.32058072,-0.0998454,0.3007466,0.11730152
NFKBIZ,-0.2599778,0.24669145,-0.23945753,-0.16883186,-0.120186344,0.3728804
NR4A2,-0.037231967,0.06718955,-0.18412139,0.06634649,-0.09947844,-0.067222334
ELK1,-0.0059594903,-0.039209284,0.1985663,0.08266856,0.08823184,-0.06139915
ZNF566,-0.05958179,-0.02667134,-0.054476034,0.12507084,0.24453177,-0.0153969135
ZBTB40,-0.13248509,0.060472056,0.49055612,-0.13412212,1.0868624,0.264081
CTCF,-0.09112507,0.012021105,0.13448858,0.045499194,0.32212955,0.07850145
ZBED4,-0.10650248,0.040606342,0.054151535,-0.07570117,0.3707575,0.19354501
FOXJ2,-0.1165612,-0.058368266,0.21236041,0.17598963,-0.10029782,0.030619936
ZNF264,-0.072222255,0.038894877,0.2276042,-0.0066897464,0.48764175,0.08021096
IRF7,0.14314748,0.036363624,0.46986982,-0.1324835,0.017175058,-0.11043174
ZNF138,-0.021675117,-0.0287236,0.098096065,-0.010344276,0.13552578,0.05756197
ZNF860,0.00479265,-0.028271515,0.052205395,-0.119885325,-0.101102516,0.10988095
ZNF664,-0.06862334,-0.036982026,-0.25589672,0.07025016,-0.040529985,0.040443197
ZNF513,-0.0387108,0.04192693,0.06574234,0.007897256,0.45872292,0.0036777842
ZNF514,-0.018629737,-0.026904663,0.3529134,0.035626262,-0.18303585,-0.015923822
ZFP64,-0.023320034,-0.015793093,-0.20764017,-0.101889186,0.11292326,0.13738729
ZNF131,-0.19215205,0.020658536,-0.06726395,-0.1495581,0.44947746,0.3973699
CREB3L2,-0.27587485,0.18122262,0.23374683,-0.25353932,1.3175143,0.5020771
ZNF605,-0.047302227,-0.009345119,-0.1832218,0.010573175,0.007961751,0.040269658
ZBTB5,-0.06774341,-0.036135357,-0.20416029,0.025110574,0.22137879,0.08943572
E4F1,-0.06754906,0.037332408,0.030974181,-0.012155093,0.595871,0.07926285
ZNF248,-0.11059909,-0.03618521,0.82984495,-0.06964325,0.25482896,0.24001299
BARX2,-0.05496649,-0.11485147,-0.1886828,0.25222328,0.31134853,-0.10254151
ZBTB25,-0.022712564,-0.044782247,0.1025985,0.055321854,0.2767168,0.007506085
KAT7,-0.06577477,-0.022589253,-0.36007318,0.12891942,0.46913704,-0.011785128
ZNF292,-0.259786,0.016233565,0.45018703,0.048958536,0.45582634,0.31264287
EBF1,-0.09744272,0.12669143,0.07772106,-0.038666427,0.3622141,0.088071525
FOXN3,-0.32789028,0.03292075,0.2797978,-0.23564705,0.34104928,0.6628281
KLF2,-0.19273822,0.07039982,0.39398706,0.010089941,0.48095694,0.21626051
ZFP3,-0.03773666,-0.019847624,-0.087678656,0.009466176,0.059230812,-0.0040877736
GATA3,-0.06766263,0.044988886,0.38772458,-0.30925596,0.37632138,0.3473886
SSRP1,0.14436756,-0.3037516,-0.6679007,0.42397332,-0.57526314,-0.39406368
ZBTB43,-0.16848326,0.021673208,0.62943363,0.08765625,0.5566012,0.14058591
ZNF7,-0.043004833,-0.03933663,-0.06350121,0.015871476,0.25921032,0.07076324
RBAK,-0.04811936,0.012413064,-0.15719885,0.013918122,-0.15719883,0.02281999
GTF3A,0.32898334,-0.34699717,-0.7838869,0.12752242,-0.7305787,-0.35814917
ZKSCAN8,-0.09680658,0.006175759,0.27807477,-0.02751331,0.23328412,0.15057291
ZNF671,-0.02371041,-0.044009313,-0.103158936,-0.02138594,0.42662743,0.025001103
TCF4,-0.1094438,0.073862165,0.12043667,-0.032191783,0.23024948,0.13721648
ZNF780A,-0.0013284523,-0.013632435,0.06727425,-0.06497337,1.2722465,0.055190027
ZNF260,-0.03739303,-0.058802824,0.33362466,0.0106488075,0.6641932,0.07176483
POGZ,-0.15932456,0.029129902,0.16349587,0.0018188404,0.36534715,0.20525247
TFDP2,-0.016652737,-0.26284188,-0.38239166,0.29657298,1.5498027,-0.089393996
TSC22D1,-0.33847842,-0.04601357,0.8241798,-0.0007385245,0.8560339,0.50641316
FOSL1,-0.06912803,-0.07506369,-0.15739575,0.2693081,-0.15739575,-0.12338346
ZNF282,-0.09068251,-0.032557026,0.47854665,0.07615653,0.092961274,0.07767481
ZBTB39,-0.038125835,0.012107601,-0.119956516,0.016604548,-0.119956516,-0.01404891
SOX9,-0.028996583,-0.024743404,-0.028996583,0.009323196,-0.028996583,-0.026268348
FOSL2,0.0403978,0.2562804,0.048089806,-0.37514383,-0.5774797,0.12585497
BBX,-0.26263705,-0.08748432,0.042623524,0.20984298,0.28577036,0.23905435
ZFP62,-0.010637914,-0.06074124,-0.22282618,0.02226346,0.08631699,0.019678291
ESRRG,-0.15950371,-0.025062334,0.22119507,0.33745036,0.03779757,-0.06549747
ZSCAN16,-0.0017217556,-0.043998096,-0.094403036,0.01596013,0.04559971,-0.041583605
ZNF507,-0.11466873,0.016850097,-0.025333911,0.07909851,0.23770817,0.07991735
ZNF787,-0.09284366,0.06273279,0.16464798,0.018491626,0.32348564,0.071184814
ZNF280C,-0.10420056,-0.030722816,0.011235065,-0.05088764,0.9885523,0.20866236
ETV5,-0.14892851,-0.06929615,-0.17333019,0.2898255,-0.05248292,-0.0059127538
ZNF43,-0.10515109,-0.042068403,-0.31406987,-0.0011114262,0.38018197,0.17802288
AEBP2,-0.27093586,-0.046656147,0.22981516,0.1516576,0.50969356,0.27552113
TFAP2A,0.049887024,-0.057013243,0.2548893,0.0843757,-0.11524917,-0.11306607
ZNF180,-0.0487968,-0.010254602,-0.19355243,0.017303316,0.29280266,0.043803856
ZNF543,-0.017496347,-0.062181428,-0.11430834,0.054826517,-0.11430835,-0.02768887
ZFP69,-0.00045310438,-0.04007081,0.42072475,-0.0075880215,-0.11145724,-0.016378889
ZNF75D,-0.10200259,-0.002803217,-0.2711631,-0.052749548,0.4616944,0.19484511
TSC22D2,-0.23368154,0.008434434,0.81103885,0.009733958,0.09348569,0.316973
ZNF736,-0.05478598,0.056603663,-0.17692408,-0.08594915,0.9190205,0.11529567
ZNF45,-0.013791897,-0.01836688,0.3964046,0.022503076,0.47014025,-0.021939982
ZNF3,-0.087570526,-0.011308795,-0.054099396,0.004745022,0.23455022,0.1273648
ZBTB6,-0.056483887,0.011498399,0.40208298,0.011123341,-0.011646448,0.018250404
KDM2A,-0.26086077,0.088438645,0.06355033,-0.066562034,0.68265086,0.37414205
ZNF160,-0.09697328,0.02486054,0.08777805,-0.0504428,0.68451434,0.1641948
HOXB3,-0.029301953,0.011476508,-0.13635989,-0.020128485,-0.1363599,0.028958796
ZNF672,-0.02647504,-0.08944526,0.57264143,0.1267778,-0.12606527,-0.023487011
ZNF484,-0.0531636,0.021122733,0.031718448,-0.075053714,0.9955653,0.11620659
TP53,0.033244804,-0.080197334,-0.3425085,0.14371452,-0.05024169,-0.12610477
FOXO4,-0.26144457,-0.2619353,-0.3551485,0.8658695,-0.22220632,-0.24678579
POU2F3,-0.063450724,-0.062232666,-0.08368871,0.112142995,-0.08368871,-0.035545424
ZNF544,0.026850484,-0.063751936,-0.25881472,0.15278493,-0.06662412,-0.14858858
ARID1A,-0.124674976,0.07744664,0.14873676,0.0424165,0.2893755,0.087809384
ZNF836,0.039748896,-0.0051763854,0.3392156,-0.04510866,0.20337018,-0.030447427
EBF2,-0.027041702,-0.017162442,0.4856471,-0.034202848,-0.042928107,-0.004139248
ZNF433,-0.02419347,-0.041799244,-0.18041062,0.075564966,0.22084811,-0.032841247
NFYB,0.23232983,-0.12810442,-0.41767508,-0.00067811814,-0.097334795,-0.24857818
ZSCAN12,-0.031528007,-0.05282762,0.40814853,0.068335935,-0.1247321,-0.018934421
ZNF721,-0.13874882,-0.003043229,-0.09341878,0.0459615,0.41887003,0.15670216
POU2F2,-0.039403185,-0.03102406,-0.11337728,0.051430605,-0.11337729,-0.008880197
ZNF771,-0.023415353,-0.044044614,-0.1557886,0.08644151,0.06749884,-0.046253923
CREBZF,-0.13485079,0.02374261,0.6056402,0.044446632,0.23995416,0.13305123
ELF5,-0.08085787,-0.08383645,-0.10202504,0.21392334,-0.008306162,-0.08306882
FOXO3,-0.16282633,0.07491497,0.11480968,-0.1259175,0.6598775,0.29613727
ZNF444,-0.10356463,-0.06454495,0.13364771,0.09953241,-0.079941735,0.09304507
ZNF846,-0.05601456,-0.008991652,0.48792085,-0.14695065,1.6092789,0.20632339
JUNB,-0.060263913,0.0063706157,-0.64050084,0.2572845,-0.6137929,-0.14547072
KLF12,-0.036956977,0.044152413,0.09910327,-0.018208213,0.2783363,0.008067707
ZNF33A,-0.14776678,-0.040168043,0.37332448,-0.017679088,0.9493753,0.24543288
ZNF552,-0.057505935,0.022806907,-0.2711621,0.029842574,0.7840491,0.036039293
HSF1,0.03457862,-0.04201121,0.061977435,0.09870845,0.03909725,-0.11399339
ZXDB,-0.038128786,-0.024681825,-0.119781755,0.041765247,-0.119781755,-0.012922554
ZNF211,-0.073378034,0.034698702,-0.22896546,-0.05564441,0.45862183,0.12471995
ZNF44,-0.11270277,-0.00012428343,0.24379511,0.16658606,0.39694527,0.0047790934
ARNT,-0.07018067,0.13400047,-0.60139614,-0.20918392,0.25234708,0.2081478
ELK4,-0.1414373,-0.019065581,0.7483217,0.11253891,0.034807008,0.108332895
KDM5A,-0.16027428,0.041492064,0.10467964,-0.09515989,0.7124128,0.28533468
ZNF668,0.011597789,-0.043271046,0.09262068,-0.055278428,0.09756597,0.055310823
ZNF684,0.003006557,-0.033578116,-0.15211982,-0.045632277,0.49145883,0.029511759
ZNF786,-0.033098295,-0.049149994,-0.18261664,0.033849146,-0.018675681,0.039012995
ZNF512B,-0.103103936,-0.018642085,0.5736858,0.11612047,0.6002115,0.038377024
ZNF569,-0.019996442,0.05149587,0.29083562,-0.073539086,0.95720637,0.05239111
ZNF37A,-0.024108922,-0.01124035,-0.23220702,0.08541972,-0.018715587,-0.047605895
ZNF621,-0.07860887,0.026938502,0.22006364,0.009184008,0.5152249,0.0818062
FOXP1,-0.3307965,-0.059187096,0.9097562,0.09310445,-0.24736837,0.42566523
ZNF345,-0.09916638,-0.022546835,-0.2800409,-0.09486269,1.0314,0.23777746
OVOL1,-0.033894837,-0.08408747,0.2944102,0.24006356,-0.16013613,-0.12414768
MGA,-0.20842528,0.03708745,0.61860424,-0.05271088,0.89605623,0.31443396
HSF4,-0.07494959,0.01779455,0.25814107,-0.081772506,0.36982808,0.13645266
ZNF624,-0.049431514,-0.0296121,0.36845043,-0.04172359,0.36149186,0.10405715
SP6,-0.15755558,-0.1700221,0.34096202,0.49967384,0.019453412,-0.13862652
FOXN2,-0.1885362,0.11794085,0.06483227,-0.28567722,0.54557884,0.45324942
ZNF791,-0.08970217,0.08088633,-0.18705304,-0.028741619,0.07957227,0.10391087
HES1,-0.15912716,-0.12505984,-0.045250602,0.4229191,-0.061803523,-0.08354861
CXXC1,0.0347109,-0.028392335,-0.31836063,0.03544952,-0.09636195,-0.06187731
KLF5,-0.1462216,0.09117216,0.032197714,-0.113461494,0.09347045,0.25513035
ZNF429,-0.03069077,-0.010367713,0.018258281,-0.01612441,0.106809564,0.06443234
HES6,-0.008845441,-0.053284604,-0.13878505,0.0975517,0.54899865,-0.093606256
CREM,0.13252485,-0.15495026,-0.16988699,0.16214877,-0.055722684,-0.23876259
ZNF511,0.1938573,-0.24649958,-0.5159828,0.28149974,-0.4114466,-0.373297
NFATC3,-0.16494314,-0.02353634,0.12037521,0.17805706,0.7989572,0.08232832
ZNF689,-0.005411301,-0.06734022,-0.16162637,0.054557137,-0.05900732,-0.025708884
TBPL1,0.2746246,-0.13083836,-0.20476086,-0.096111044,-0.1301594,-0.22096163
NFXL1,-0.18318255,-0.016525075,0.46522492,-0.14148183,0.37064362,0.39875403
RORA,-0.09104567,0.12998591,0.29101306,0.012302203,-0.086966224,0.03548537
SMARCE1,0.044252086,-0.123476475,-0.3919488,0.139618,-0.2979613,-0.11111734
E2F4,0.06252129,-0.17224202,-0.5532333,0.281802,-0.20094864,-0.23365317
ZNF587,-0.07204475,0.039500605,0.042469237,0.0051451568,0.35689145,0.069897115
RFX7,-0.15750828,0.00653445,0.85853446,0.018890789,0.6636202,0.19560415
NPAS2,-0.08233556,0.107203774,0.050859638,0.08053177,0.06710813,-0.024970716
ZNF600,-0.10042407,-0.011647679,-0.10549893,0.023355417,0.63039577,0.12627417
ZFP42,0.26661634,-0.13232349,0.011363375,-0.0008320722,-0.4497893,-0.2945946
THAP6,-0.03379872,-0.022818936,-0.30945483,0.020685906,0.054278463,0.0448294
TBX19,-0.04029655,-0.012534687,-0.14347643,-0.09095809,0.34413344,0.12791154
NR2F2,-0.17208242,-0.1758938,-0.013622275,0.7717718,-0.041622203,-0.3473505
FOXM1,0.07052655,-0.095986135,0.032599337,0.2212278,-0.29653856,-0.24308597
THAP2,0.061801326,-0.061429437,0.090416454,0.014307922,-0.21885504,-0.07910817
ZNF189,-0.028878065,0.0064544906,-0.15573199,0.031887457,-0.15573202,-0.0174703
ZNF814,-0.06773985,-0.06970438,0.29944366,-0.026096646,1.3136892,0.15456751
ZSCAN9,-0.043230828,-0.029080179,0.35194096,0.027725153,0.58533186,0.031005109
ZNF627,-0.04118497,0.0119576035,-0.034816038,-0.019902503,0.16855618,0.06345685
THAP1,0.17497523,-0.17918204,-0.38152266,0.06379424,-0.22868979,-0.1949129
SMAD3,-0.342201,-0.061826058,1.0435835,-0.41929567,2.3534582,0.8934295
ZFX,-0.18395768,-0.046926405,0.39409056,0.17051372,0.20074798,0.13475329
SNAI1,0.31199807,-0.093036346,0.21757352,-0.23952888,-0.25789368,-0.1685962
SFPQ,-0.13344942,0.06700563,-0.22065262,0.19156803,-0.03067812,-0.02537881
ZNF485,-0.019799618,-0.046123467,-0.08443356,0.051329877,-0.08443356,-0.05179226
ZSCAN30,-0.11503274,0.06545917,0.52954763,-0.099842146,0.08467624,0.20852892
ZNF8,-0.050255463,-0.0071574105,-0.13548142,0.018954247,-0.13548143,0.022372413
ZNF581,0.103844985,-0.21729426,-0.41038993,0.23900579,-0.41038993,-0.22610018
ZNF844,-0.034614112,0.01834315,-0.14824097,0.03695428,0.71196026,-0.03938147
ZNF250,-0.033618163,-0.05332809,0.38085994,-0.041450005,0.24626498,0.09287112
CEBPD,0.07062364,-0.006347721,0.2158939,-0.009025178,-0.6192751,-0.08565845
EPAS1,-0.3502345,0.29069462,1.0717835,-0.6047295,0.85371536,0.86028755
TCF25,0.15813278,-0.078766525,-0.48417628,-0.04517359,0.5644201,-0.13734126
RFX5,-0.022413896,-0.010907379,-0.15368491,0.056053735,0.28393438,-0.04799442
NONO,0.17597842,-0.18579133,-0.638496,0.22010443,-0.25506327,-0.330738
ZBTB7A,-0.18350998,0.044089735,0.041395567,0.097454324,0.8844039,0.13937901
ZNF331,-0.069161244,-0.05082529,-0.19356966,0.30927378,0.52268773,-0.15465117
GATA6,0.05899156,0.02685557,0.39884192,-0.08732974,0.87967604,-0.036778636
MNT,-0.10624491,0.05505041,-0.32107693,-0.022379199,0.26995748,0.13767546
PITX1,-0.0338165,-0.050092228,-0.08922539,0.095804185,-0.089225374,-0.06755929
ZNF215,-0.023399407,0.02523693,0.06865529,-0.09734163,0.50824416,0.10092704
E2F6,-0.0037538237,-0.08948502,0.20317912,0.12771575,-0.25759688,-0.055477478
RELB,-0.13266765,0.0010664586,0.23933007,0.06974289,0.29986435,0.122244835
MESP1,-0.038654264,-0.040522765,-0.04478264,0.061198458,-0.04478264,-0.035054076
BACH1,-0.24078144,0.040725823,0.19201806,-0.13310178,-0.050527442,0.44183362
IRX2,-0.18759324,-0.007647164,-0.2930728,0.12704161,-0.13297512,0.16077076
NFKB2,-0.06829491,0.05068036,-0.10918313,-0.025520163,-0.01652946,0.0898094
ZNF181,-0.029313007,-0.021675657,-0.09833013,0.009544868,-0.09833012,-0.010604791
MTF1,-0.005550299,0.024186471,0.5230069,-0.09856017,0.34062544,0.077609524
ARID5B,-0.0047462913,-0.015441461,-0.11265381,0.16981003,-0.28747407,-0.13630718
NRL,-0.024092058,-0.03555898,-0.11806354,0.014730246,0.5481162,0.0022909944
PHF5A,0.31398812,-0.30216578,-0.6908415,0.18933919,-0.5365543,-0.4240121
NFIC,-0.072500795,-0.005584743,-0.24098906,-0.0052966117,0.5394996,0.106597885
TFEB,-0.16544285,-0.19706088,-0.24412826,0.6068495,-0.14835362,-0.19258395
TOX4,0.028941795,-0.09904744,-0.26356402,0.13404869,-0.28950673,-0.097538464
KAT6A,-0.2395424,0.10568121,0.47547144,-0.2546605,0.9037639,0.5011898
ZNF280D,-0.08449057,-0.0050532087,0.30134255,-0.01696178,-0.021850463,0.13850616
ZNF517,-0.031073611,-0.04334201,0.9807902,-0.0020199292,-0.080293246,0.001124739
MIER3,-0.08052319,-0.014108313,0.51798755,0.053018596,0.2512545,0.069213495
ELK3,-0.06830168,0.017959245,1.0592809,-0.23575744,1.1335429,0.28896743
ZBTB7B,-0.00956969,0.039455157,-0.091884635,-0.01179221,0.12928696,-0.0053537055
PRDM2,-0.22511621,0.07486299,0.16312052,-0.1822,0.67530096,0.43706897
ZNF48,-0.035712447,-0.044350795,-0.12459234,0.043084513,-0.12459234,-0.010944542
ZNF219,-0.07571072,-0.06691299,-0.103770606,0.17452739,0.25707832,-0.060980156
ZFP30,-0.035618767,0.0074639423,-0.039407566,-0.024669707,0.15642455,0.067019984
HOXB4,0.057470568,-0.074281976,-0.24631885,0.10284871,-0.24631885,-0.14455074
JUND,-0.29373607,0.28115308,0.47999647,0.0823156,-0.28024226,0.1664002
ZNF540,-0.037696622,0.008222132,-0.15275857,-0.06988573,0.51544464,0.09275077
HOMEZ,0.041889966,-0.070669286,-0.22218062,0.024784612,-0.14867401,-0.05247705
ZNF506,-0.025452558,-0.002997349,-0.27451643,0.014749415,-0.22251044,0.019213863
ZBED3,-0.044437896,-0.03427701,-0.06748053,0.007166833,-0.06748053,0.006510754
ZNF835,-0.02737523,-0.053066462,-0.056621376,0.056132898,-0.056621365,-0.04568691
ZFP69B,0.011108231,-0.047022574,-0.08521364,-0.008257666,-0.08521364,-0.044616375
ZNF17,0.015572955,-0.057626143,-0.112936825,0.026476894,-0.11293681,-0.05481301
ZNF575,-0.00056175364,-0.052255865,-0.08421794,-0.046161525,-0.08421796,0.009625726
ZNF468,-0.02586157,-0.028526714,-0.322198,0.06860802,0.14429864,-0.01230437
TP73,-0.047028895,-0.024049655,-0.07467093,-0.014601913,0.093432926,0.02422276
PBX2,-0.06862747,-0.013021705,-0.41859847,0.121683635,-0.04568151,-0.002419039
HMG20A,-0.07586379,-0.0018005824,0.07542441,0.06443787,0.071525134,0.050246205
ZNF14,-0.08138955,-0.031303033,-0.16636154,0.067664236,0.7197009,0.05603409
ZNF140,-0.030276388,-0.022790166,-0.2750334,-0.019961743,0.06215024,0.076496094
MYT1L,-0.058470637,-0.063284315,-0.097365476,-0.04624383,0.26325473,0.11029522
RARA,-0.03231162,0.008603626,0.024182016,-0.08892692,-0.001058471,0.105704166
SHOX2,-0.072897114,0.014581952,-0.11528473,-0.1056072,0.05290989,0.14923683
ZNF800,-0.14742027,0.030960128,-0.059814543,-0.1175367,0.7413963,0.2947579
ZNF776,-0.025212696,-0.03319826,0.29746348,0.032530297,-0.14079635,-0.014589431
BCL3,-0.07090908,0.00415785,-0.2276395,-0.10387145,-0.0062389183,0.1870538
ZNF781,0.05399475,-0.082023405,-0.15294413,0.039395597,0.36775944,-0.08620083
SNAPC4,-0.079539254,0.04280126,0.12376998,0.01838096,0.3506709,0.06248645
