,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
GRHL2,0.33885,yes,no,no,no,EVT_1,EVT_1_GRHL2
ZNF254,0.234804,yes,no,no,no,EVT_1,EVT_1_ZNF254
ZNF432,0.182749,yes,no,no,no,EVT_1,EVT_1_ZNF432
SP110,0.216516,yes,no,no,no,EVT_1,EVT_1_SP110
ZNF81,0.059137,yes,no,no,no,EVT_1,EVT_1_ZNF81
MLX,0.196988,yes,no,no,no,EVT_1,EVT_1_MLX
ZNF439,0.197996,yes,no,no,no,EVT_1,EVT_1_ZNF439
GTF3A,0.523632,yes,yes,no,yes,EVT_1,EVT_1_GTF3A
HOXC6,0.01267,yes,no,no,no,EVT_1,EVT_1_HOXC6
ZNF569,0.046436,yes,no,no,no,EVT_1,EVT_1_ZNF569
SMARCA5,0.303824,no,yes,no,no,EVT_1,EVT_1_SMARCA5
ID1,1.122655,yes,no,no,no,EVT_1,EVT_1_ID1
ZNF682,0.07718,yes,no,no,no,EVT_1,EVT_1_ZNF682
FOSL2,0.649686,yes,no,yes,yes,EVT_1,EVT_1_FOSL2
ASCL2,1.090333,yes,no,no,no,EVT_1,EVT_1_ASCL2
ZNF708,0.097929,yes,no,no,no,EVT_1,EVT_1_ZNF708
GATA6,0.070709,yes,no,yes,yes,EVT_1,EVT_1_GATA6
ARNTL2,0.042484,no,yes,no,no,EVT_1,EVT_1_ARNTL2
ZNF836,0.038978,yes,no,no,no,EVT_1,EVT_1_ZNF836
POU6F2,0.069298,yes,no,no,no,EVT_1,EVT_1_POU6F2
ZNF785,0.028686,yes,no,no,no,EVT_1,EVT_1_ZNF785
TWIST2,0.016136,yes,no,no,no,EVT_1,EVT_1_TWIST2
ETV2,0.013767,yes,no,no,no,EVT_1,EVT_1_ETV2
FIZ1,0.015816,no,yes,no,no,EVT_1,EVT_1_FIZ1
DMRTB1,0.0,no,yes,no,no,EVT_1,EVT_1_DMRTB1
ZNF273,0.083422,yes,no,no,no,EVT_1,EVT_1_ZNF273
STAT3,0.283337,yes,no,no,no,EVT_1,EVT_1_STAT3
ZNF208,0.084963,yes,no,no,no,EVT_1,EVT_1_ZNF208
MEIS2,0.112304,yes,no,no,no,EVT_1,EVT_1_MEIS2
CREB3L2,0.683451,yes,no,no,no,EVT_1,EVT_1_CREB3L2
LHX2,0.053763,yes,no,no,no,EVT_1,EVT_1_LHX2
ZNF736,0.120505,yes,no,no,no,EVT_1,EVT_1_ZNF736
ARID5A,0.036754,no,yes,no,no,EVT_1,EVT_1_ARID5A
L3MBTL1,0.127668,yes,no,no,no,EVT_1,EVT_1_L3MBTL1
REL,0.294641,yes,no,no,no,EVT_1,EVT_1_REL
GATA3,1.769772,yes,no,yes,yes,EVT_1,EVT_1_GATA3
PAX8,0.073371,yes,no,no,no,EVT_1,EVT_1_PAX8
ALX1,0.010283,yes,no,no,no,EVT_1,EVT_1_ALX1
ZNF699,0.014645,yes,no,no,no,EVT_1,EVT_1_ZNF699
SOX4,1.125674,yes,no,no,no,EVT_1,EVT_1_SOX4
MXD1,0.042843,no,yes,no,no,EVT_1,EVT_1_MXD1
ZNF578,0.047371,yes,no,no,no,EVT_1,EVT_1_ZNF578
MYOD1,0.002822,yes,no,no,no,EVT_1,EVT_1_MYOD1
ERF,0.013658,no,yes,no,no,EVT_1,EVT_1_ERF
ZNF277,0.165967,yes,yes,no,yes,EVT_1,EVT_1_ZNF277
ETV4,0.102478,yes,no,no,no,EVT_1,EVT_1_ETV4
ZNF487,0.041968,yes,yes,no,yes,EVT_1,EVT_1_ZNF487
PRDM5,0.101558,yes,no,no,no,EVT_1,EVT_1_PRDM5
ZSCAN20,0.012114,yes,no,no,no,EVT_1,EVT_1_ZSCAN20
HIVEP3,0.110968,yes,no,no,no,EVT_1,EVT_1_HIVEP3
PPARG,1.256679,yes,no,no,no,EVT_1,EVT_1_PPARG
GZF1,0.017748,no,yes,no,no,EVT_1,EVT_1_GZF1
NR3C2,0.075049,yes,no,no,no,EVT_1,EVT_1_NR3C2
RARA,0.028058,yes,no,no,no,EVT_1,EVT_1_RARA
HOXB2,0.090481,yes,no,no,no,EVT_1,EVT_1_HOXB2
FOXP1,0.270798,no,yes,no,no,EVT_1,EVT_1_FOXP1
NR6A1,0.781251,yes,no,no,no,EVT_1,EVT_1_NR6A1
THAP11,0.067477,no,yes,no,no,EVT_1,EVT_1_THAP11
LRRFIP1,1.182977,yes,no,no,no,EVT_1,EVT_1_LRRFIP1
STAT2,0.300761,yes,yes,no,yes,EVT_1,EVT_1_STAT2
ZNF606,0.014303,no,yes,no,no,EVT_1,EVT_1_ZNF606
KAT6A,0.392434,yes,no,no,no,EVT_1,EVT_1_KAT6A
HOXB7,0.092323,yes,no,no,no,EVT_1,EVT_1_HOXB7
ELF4,0.282727,yes,yes,no,yes,EVT_1,EVT_1_ELF4
ZNF484,0.021994,yes,no,no,no,EVT_1,EVT_1_ZNF484
ZNF765,0.17211,yes,no,no,no,EVT_1,EVT_1_ZNF765
