,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
ZNF737,0.0,no,yes,no,no,eEVT,eEVT_ZNF737
NOBOX,0.0,no,yes,no,no,eEVT,eEVT_NOBOX
ZNF556,0.0,no,yes,no,no,eEVT,eEVT_ZNF556
NFATC3,0.585228,yes,no,no,no,eEVT,eEVT_NFATC3
ESR2,0.48507,yes,no,no,no,eEVT,eEVT_ESR2
ZNF81,0.151863,no,yes,no,no,eEVT,eEVT_ZNF81
DBP,0.0,no,yes,no,no,eEVT,eEVT_DBP
ZNF511,0.026584,no,yes,no,no,eEVT,eEVT_ZNF511
ZNF707,0.0,no,yes,no,no,eEVT,eEVT_ZNF707
ZBTB6,0.013063,no,yes,no,no,eEVT,eEVT_ZBTB6
DLX3,0.39199,yes,no,no,no,eEVT,eEVT_DLX3
ZNF302,0.172482,no,yes,no,no,eEVT,eEVT_ZNF302
ZBTB40,0.541899,yes,yes,no,yes,eEVT,eEVT_ZBTB40
PROX2,0.0,no,yes,no,no,eEVT,eEVT_PROX2
NR1D2,0.194829,yes,no,no,no,eEVT,eEVT_NR1D2
ZNF169,0.064801,no,yes,no,no,eEVT,eEVT_ZNF169
ZNF362,0.075045,no,yes,no,no,eEVT,eEVT_ZNF362
ZFP69,0.0,no,yes,no,no,eEVT,eEVT_ZFP69
IKZF3,0.019021,no,yes,no,no,eEVT,eEVT_IKZF3
RXRA,0.689476,yes,no,no,no,eEVT,eEVT_RXRA
KDM2A,0.929749,no,yes,no,no,eEVT,eEVT_KDM2A
ARID4A,0.394047,no,yes,no,no,eEVT,eEVT_ARID4A
ZSCAN21,0.346418,yes,no,no,no,eEVT,eEVT_ZSCAN21
ZNF248,0.220832,no,yes,no,no,eEVT,eEVT_ZNF248
HMGA2,0.269928,yes,yes,no,yes,eEVT,eEVT_HMGA2
HSF2,0.041775,no,yes,no,no,eEVT,eEVT_HSF2
PRDM4,0.101234,no,yes,no,no,eEVT,eEVT_PRDM4
ZNF23,0.0,no,yes,no,no,eEVT,eEVT_ZNF23
THAP2,0.0,no,yes,no,no,eEVT,eEVT_THAP2
ZFHX3,0.862932,no,yes,no,no,eEVT,eEVT_ZFHX3
IKZF5,0.071152,no,yes,no,no,eEVT,eEVT_IKZF5
NFX1,0.292445,no,yes,no,no,eEVT,eEVT_NFX1
ZNF417,0.008723,no,yes,no,no,eEVT,eEVT_ZNF417
ZNF443,0.011312,no,yes,no,no,eEVT,eEVT_ZNF443
HIVEP1,0.247853,no,yes,no,no,eEVT,eEVT_HIVEP1
ZBTB43,0.317328,no,yes,no,no,eEVT,eEVT_ZBTB43
ZNF341,0.075424,no,yes,no,no,eEVT,eEVT_ZNF341
MYCN,1.714491,yes,no,no,no,eEVT,eEVT_MYCN
ZFHX2,0.0,no,yes,no,no,eEVT,eEVT_ZFHX2
ZNF586,0.537345,yes,yes,no,yes,eEVT,eEVT_ZNF586
TSC22D2,0.492612,no,yes,no,no,eEVT,eEVT_TSC22D2
ZNF768,0.049575,no,yes,no,no,eEVT,eEVT_ZNF768
ZNF699,0.135793,yes,yes,no,yes,eEVT,eEVT_ZNF699
SATB2,0.048809,no,yes,no,no,eEVT,eEVT_SATB2
ZBTB7C,0.013063,no,yes,no,no,eEVT,eEVT_ZBTB7C
ZNF445,0.036177,no,yes,no,no,eEVT,eEVT_ZNF445
NEUROD2,not_enough_cells_expr_limma,no,yes,no,no,eEVT,eEVT_NEUROD2
ZNF71,0.02174,no,yes,no,no,eEVT,eEVT_ZNF71
ZNF646,0.0,no,yes,no,no,eEVT,eEVT_ZNF646
ZKSCAN3,0.038933,no,yes,no,no,eEVT,eEVT_ZKSCAN3
ZNF587,0.188961,no,yes,no,no,eEVT,eEVT_ZNF587
VEZF1,0.109073,no,yes,no,no,eEVT,eEVT_VEZF1
ZNF627,0.076845,no,yes,no,no,eEVT,eEVT_ZNF627
ZBTB14,0.0,no,yes,no,no,eEVT,eEVT_ZBTB14
ZFY,0.152449,yes,no,no,no,eEVT,eEVT_ZFY
ZNF260,0.205264,yes,yes,no,yes,eEVT,eEVT_ZNF260
ZIC1,0.0,no,yes,no,no,eEVT,eEVT_ZIC1
ZNF550,0.031618,no,yes,no,no,eEVT,eEVT_ZNF550
ZBTB42,0.038756,no,yes,no,no,eEVT,eEVT_ZBTB42
ZNF337,0.038767,no,yes,no,no,eEVT,eEVT_ZNF337
ADNP2,0.140979,no,yes,no,no,eEVT,eEVT_ADNP2
ZNF90,0.066411,no,yes,no,no,eEVT,eEVT_ZNF90
ZFP14,0.044058,no,yes,no,no,eEVT,eEVT_ZFP14
ZNF418,0.0,no,yes,no,no,eEVT,eEVT_ZNF418
ZNF655,0.156158,no,yes,no,no,eEVT,eEVT_ZNF655
ZC3H4,0.093264,no,yes,no,no,eEVT,eEVT_ZC3H4
PLAGL1,0.987646,yes,yes,no,yes,eEVT,eEVT_PLAGL1
ZBTB21,0.11832,no,yes,no,no,eEVT,eEVT_ZBTB21
ZBTB2,0.043472,no,yes,no,no,eEVT,eEVT_ZBTB2
ZNF14,0.145172,yes,no,no,no,eEVT,eEVT_ZNF14
ZBTB47,0.032125,no,yes,no,no,eEVT,eEVT_ZBTB47
ZNF292,0.955006,no,yes,no,no,eEVT,eEVT_ZNF292
ZNF440,0.628357,no,yes,no,no,eEVT,eEVT_ZNF440
ZNF275,0.024583,no,yes,no,no,eEVT,eEVT_ZNF275
