,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
LHX4,0.0073384186,0.011022983,0.16220771,0.016903391,0.034749318,0.0397535
XBP1,0.9003704,0.6470271,0.43354678,0.598509,0.37940004,0.58499134
ZNF841,0.02372717,0.03585021,0.0,0.0134877,0.032124855,0.026377209
HSF2,0.05298924,0.051556982,0.0,0.081878856,0.041775297,0.05671448
E2F7,0.031651583,0.016736895,0.0,0.07290881,0.0,0.005725249
NFKBIZ,0.15950337,0.4533157,0.17140289,0.21235797,0.24056701,0.5264914
THAP6,0.07525956,0.07853068,0.0,0.090134926,0.09930635,0.09672658
KAT8,0.096852675,0.07877245,0.063614905,0.14704423,0.03817196,0.08477335
FOXN3,0.40063173,0.75916636,1.0044857,0.49229297,1.0653509,1.3850994
SOX9,0.0,0.00057949626,0.0,0.0039300686,0.0,0.00042176136
ZNF79,0.01177876,0.01340374,0.0,0.021259159,0.060603302,0.026059538
SSRP1,0.31995854,0.14344104,0.0,0.4300974,0.036490593,0.107866436
ESRRG,0.13990708,0.21810134,0.36133048,0.42894733,0.2546622,0.1945833
ZNF682,0.07717973,0.07398208,0.10651451,0.05997307,0.11258866,0.07163902
CEBPB,0.859611,0.8560049,0.5531807,0.67532814,0.8229931,0.7903187
ZNF131,0.25192544,0.3747502,0.32400528,0.27650878,0.6222452,0.5921711
KLF4,0.15690637,0.28468552,0.0,0.35180005,0.0,0.20250675
KLF7,0.021997018,0.04397757,0.108493626,0.029446088,0.016359735,0.079195105
ZNF8,0.0077441717,0.012920709,0.0,0.014161696,0.0,0.014464514
ARID4B,0.5679363,0.7779252,1.033085,0.61140686,1.2452765,0.97588056
ZNF90,0.21082455,0.21088338,0.3408457,0.28101423,0.06641088,0.16679421
ZHX3,0.11461627,0.24112992,0.26208732,0.051569782,0.3376639,0.3551392
TSC22D3,0.43281466,0.43905354,0.38599557,0.06962887,0.13495372,0.3304889
ZNF141,0.072736114,0.09294505,0.22671795,0.118117414,0.23986475,0.13841774
ZNF227,0.026721915,0.025776897,0.0,0.037927385,0.05232727,0.030943898
YY1,0.42354536,0.4093401,0.67798793,0.5602471,0.41380575,0.48893067
ATF5,0.06130487,0.034480322,0.07235688,0.124903806,0.07002079,0.030170873
PPP1R13L,0.20238662,0.2722161,0.3369398,0.37149322,0.55253214,0.37600052
ZBTB14,0.022377452,0.01921209,0.0,0.027824124,0.0,0.016814021
FOXK1,0.077106304,0.13610446,0.120352246,0.12692197,0.4138357,0.1760776
ZNF445,0.019362073,0.034554526,0.23708853,0.06092315,0.03617732,0.06700249
STAT3,0.2833371,0.5420412,0.89522433,0.26770353,0.5829797,0.6403641
NR1H2,0.21411738,0.14467607,0.0,0.21481596,0.19066392,0.17967212
CREBZF,0.10919862,0.16812922,0.38435242,0.17582247,0.24846973,0.20874645
ELF1,0.57672054,0.7498777,0.9712906,0.6675276,1.5836477,0.94696504
TCF4,0.04140179,0.10042247,0.11539775,0.066268355,0.15074529,0.120799005
OSR2,0.44751462,0.30804443,0.04864013,0.21184118,0.065873906,0.16396047
FOXP1,0.27079788,0.4938153,1.2894108,0.6188613,0.33930036,0.8919255
ELF5,0.002396686,0.0024663461,0.0,0.033473738,0.008723,0.002273724
DNAJC2,0.3147621,0.22155902,0.06891883,0.30785033,0.10965044,0.1955008
ZNF800,0.13332996,0.20929335,0.17063689,0.14605588,0.511833,0.3216318
MEF2C,0.027368752,0.069898665,0.0,0.042783298,0.057142254,0.06503591
ZNF14,0.014090073,0.023484018,0.0,0.03927718,0.14517215,0.03683346
ERG,0.0063117626,0.018671317,0.0,0.007791346,0.0,0.013259887
ZNF621,0.046158027,0.07233727,0.119666636,0.067765415,0.19231106,0.08563902
ZNF512B,0.021288462,0.03835135,0.16216703,0.06513206,0.1593459,0.049503826
ZNF335,0.076321326,0.11587807,0.07407559,0.108340226,0.16903879,0.14377418
HIVEP1,0.09493562,0.20186518,0.2296773,0.25164294,0.24785279,0.3696979
ZBTB7A,0.07423825,0.15665017,0.15567464,0.17597303,0.4609208,0.19115362
GMEB1,0.108647,0.13323468,0.103020094,0.13912924,0.21667664,0.13408266
ZBED4,0.09318476,0.14503671,0.14981103,0.1040414,0.2614062,0.19894354
ZNF322,0.07001153,0.049802203,0.09047237,0.06653199,0.13401796,0.0646427
ZBTB45,0.03335209,0.025911007,0.07235688,0.041286353,0.014172805,0.020662125
NFATC2,0.008384639,0.026928246,0.0,0.04522068,0.0,0.033923928
