,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
RFX3,0.74021745,0.9456632,0.50130445,0.5187743,0.5986463,0.55424255,0.8856266
ZNF577,0.1229312,0.12540019,0.027616663,0.1642863,0.13471834,0.13108246,0.08184341
ARID1B,1.430505,1.5677927,0.9218033,2.089593,1.7867252,1.8067852,1.3725867
NFKBIZ,0.10952172,0.20732307,0.20087911,0.11919423,0.13968886,0.13720399,0.41046742
JARID2,1.5496974,1.6397004,0.83672714,1.211955,1.1547827,1.3869876,1.6453913
TSC22D3,0.12638408,0.26205638,0.2381288,0.027897399,0.021979256,0.12346684,0.18581936
ZNF529,0.14687309,0.14112945,0.046040304,0.21719722,0.15449864,0.081062734,0.12235279
ZHX3,0.37010613,0.51082253,0.3444877,0.13468911,0.16222866,0.43762678,0.5029694
PRDM10,0.18919799,0.20405135,0.05313129,0.21859154,0.19509177,0.24492575,0.16000463
ZNF83,0.85329354,0.7736362,0.58090127,1.5996159,1.3049927,0.8966578,1.0175496
MYCN,0.92920804,1.0147189,0.71628517,0.10514899,0.23108034,1.5541682,0.6777152
RFX7,0.305858,0.34370148,0.2554096,0.8697823,0.5480723,0.48806736,0.3191
ZNF496,0.17436002,0.12993464,0.13154505,0.16946825,0.22702299,0.086220324,0.099362835
ZC3H6,0.20877151,0.21497373,0.14505117,0.44554892,0.24951802,0.19244114,0.22192383
TCF7L1,0.27974522,0.18960017,0.17766668,0.17010152,0.2715658,0.63943684,0.40319473
ARNTL2,0.14739905,0.118272595,0.08000828,0.15788694,0.25910598,0.16059089,0.14826043
ADNP2,0.22463235,0.2046564,0.0929642,0.2755306,0.283575,0.16286553,0.16219924
ZBTB40,0.32309502,0.3009893,0.17821985,0.21620016,0.24665824,0.4516012,0.30230975
ZNF302,0.12595047,0.1434516,0.081548646,0.25179672,0.18012947,0.12099072,0.107487
SP110,0.15612984,0.4191907,0.21902868,0.068782926,0.07921228,0.3323538,0.3781881
GLIS3,0.59676254,1.1797782,0.91907924,0.8173778,0.551332,0.5307322,1.5976053
ARID1A,0.99659914,0.751251,0.47000867,0.88080484,0.9391119,0.7632918,0.5853655
TET1,0.7149771,0.34669727,0.05560981,0.37511948,0.66761416,0.08633836,0.08773833
ZNF600,0.14121737,0.10210122,0.15657899,0.15302366,0.15701526,0.18578635,0.15780322
TCF7,0.07482453,0.13013916,0.008477464,0.08544524,0.10049988,0.14213182,0.085601516
USF2,0.12755914,0.091070555,0.22520863,0.099976785,0.11098727,0.11643754,0.12668902
KDM5A,0.50754267,0.61916065,0.45006648,0.62253714,0.44685954,0.69384927,0.59062433
SRF,0.08906422,0.11637979,0.244415,0.060900465,0.10681518,0.06532795,0.06801132
ZFP14,0.083635926,0.062058594,0.047021274,0.17945161,0.1135897,0.03421817,0.043372795
ZBED1,0.023389172,0.020390775,0.06987809,0.008290775,0.021798301,0.013278181,0.018662013
ZNF789,0.19231105,0.11663721,0.025777517,0.18600357,0.23203748,0.11020752,0.088670544
FOSL1,0.01599184,0.008577577,0.0,0.005734756,0.05027053,0.0,0.0028369247
ZNF613,0.025140136,0.020912195,0.009180808,0.09113246,0.024941148,0.023684746,0.019002808
SP4,0.09764432,0.06992227,0.047672722,0.0736236,0.097819366,0.12838289,0.10091082
SP1,0.27777442,0.24936433,0.18050042,0.35084873,0.3631422,0.2287185,0.20738748
DNMT1,0.37668628,0.4057078,0.19622977,1.3637365,1.2521434,0.18035744,0.29908672
ZNF341,0.16394098,0.09343335,0.0049425694,0.08167511,0.093104765,0.10455098,0.06441774
MTA3,0.8211821,0.89694065,0.6049724,0.9513828,0.91788274,1.1669759,0.8934412
ZKSCAN8,0.06319615,0.08354201,0.0832069,0.15434374,0.09431363,0.12733382,0.08620037
PRDM15,0.07228414,0.07031519,0.09178276,0.10575453,0.1263803,0.1082465,0.04607395
ZNF813,0.20828888,0.15784754,0.09048896,0.11822753,0.10587132,0.2291579,0.10187183
GTF3A,0.1034045,0.055668645,0.12524992,0.088933244,0.13355373,0.08235882,0.07487406
NFKBIA,0.100848444,0.10083381,0.23722948,0.1800415,0.18161455,0.055633664,0.137495
NR3C2,0.38704383,0.19384941,0.098720595,0.45771202,0.26299772,0.27469057,0.14840625
ZNF480,0.13808492,0.14818469,0.10777699,0.11389044,0.12621938,0.13550955,0.09573179
IRF6,0.03820397,0.048451178,0.071136326,0.19201326,0.16224232,0.110955276,0.038473442
ZNF438,0.5379392,0.41653493,0.19391038,0.46356902,0.4185131,0.5451741,0.43928656
ZNF441,0.0495361,0.06098148,0.0049425694,0.13754417,0.04686099,0.057537798,0.049243852
RFX2,0.5871506,0.8398736,0.14379807,0.23393294,0.307292,0.18966638,0.62598497
STAT3,0.5395564,0.92259485,0.58425605,0.31163523,0.3461714,0.5860105,0.71925205
ZNF25,0.02870983,0.016614445,0.010190976,0.046046574,0.018842801,0.18418802,0.01938385
ZNF292,1.2342238,1.0266241,0.9477869,1.2161667,1.237,1.0564516,1.1231161
ZBTB1,0.37848175,0.3584869,0.256251,0.34677148,0.28782168,0.51138026,0.34567717
MEF2A,0.34600678,0.3724195,0.38215464,0.71405596,0.51369506,0.50370264,0.47588083
FOXO3,0.8164374,0.83255464,0.56690544,0.5737316,0.62828,0.83989084,0.74554247
PURB,0.08880087,0.10229995,0.2539619,0.1774069,0.16152671,0.110541284,0.15565303
ZNF217,0.39905837,0.44957885,0.46309787,0.3318075,0.4046468,0.32415825,0.4484453
ZNF654,0.42985505,0.46793276,0.29566467,0.43773955,0.3990999,0.5032179,0.34063542
ZNF836,0.0620294,0.06512306,0.038423464,0.038626816,0.022600131,0.101744734,0.024494447
RERE,2.259265,2.2664719,1.1714083,2.4483886,2.4108396,2.02583,1.9391851
MAX,0.39068675,0.42339873,0.14178559,0.35402685,0.2932303,0.43859446,0.37400824
ADNP,0.875256,0.7193132,0.40821162,1.0725758,0.9516489,0.6100264,0.6794149
ZNF100,0.51165015,0.47736758,0.2600808,0.42636764,0.34484988,0.36286706,0.334614
SOX5,0.1718243,0.14669354,0.13600229,0.15847097,0.16228883,0.3210255,0.16419725
ZC3H4,0.20485161,0.13389282,0.13572976,0.115747094,0.17508432,0.09749302,0.11006415
GRHL3,0.0032957296,0.0,0.0,0.019372746,0.056924537,0.0,0.0013007968
BACH1,1.3960013,1.3842608,0.5913023,0.9227724,1.1871963,0.9146403,1.3567038
NFYB,0.272405,0.21888548,0.10846513,0.18650375,0.14375135,0.26633602,0.14670579
RXRA,0.37494415,0.21709877,0.5536482,0.22680041,0.3299169,0.41286045,0.39540726
GATAD2A,1.1436201,1.2208301,0.4780925,0.86643374,1.0285928,1.4378308,0.89113575
USF1,0.0837985,0.14127807,0.055776425,0.048475258,0.05377443,0.2259499,0.10472533
NCOA1,1.6461294,2.133221,1.5075836,1.197172,1.2238824,2.5441833,2.459571
MXD4,0.11823715,0.27138776,0.39928344,0.1670759,0.11619646,0.26417428,0.25688046
ZBTB7A,0.19411287,0.18814394,0.16157223,0.3010424,0.27811047,0.28963566,0.2080706
HIF3A,0.018526044,0.005868776,0.015933836,0.009898509,0.015501892,0.012517769,0.029628756
TSHZ1,0.09350857,0.051731415,0.0712119,0.14943641,0.07007027,0.066388845,0.0660509
NR2C2,0.6410153,0.5328235,0.3109067,0.53461504,0.60919684,0.3343444,0.44360957
ZNF331,0.7022553,0.32186386,0.111833185,0.66265893,0.9394964,0.44209144,0.1700486
CLOCK,0.39434746,0.40543106,0.17839709,0.67194915,0.4486933,0.34056458,0.35144013
PRDM5,0.3951519,0.30910635,0.19683065,0.15020171,0.19704112,0.35083455,0.22098982
ZNF823,0.17182527,0.117865115,0.07916912,0.30349782,0.22696812,0.18293718,0.113238215
ARID4B,1.2038141,1.4591057,0.90673727,1.1476705,1.1792914,1.4435303,1.2261122
PRDM2,0.5334745,0.68601704,0.46025497,0.6244794,0.48989317,0.70009285,0.7193598
ZNF528,0.07828253,0.13003317,0.059258133,0.071464695,0.042892728,0.13884339,0.06257758
BCL11A,0.0073771994,0.0058690873,0.05846989,0.0053365435,0.005039078,0.0,0.008881512
DNAJC1,1.246851,1.492148,0.6961064,0.37978828,0.53812885,1.3028774,1.0579835
ZNF75A,0.14379764,0.13410494,0.041324254,0.24218324,0.15471631,0.08493756,0.10750499
ZNF133,0.09279067,0.107164815,0.07572002,0.18189286,0.10206575,0.099251576,0.10759973
SREBF2,0.75185513,0.4939623,0.4501372,0.844002,0.85685354,0.8177937,0.66651505
ARID3B,0.3455148,0.39748526,0.37752238,0.7043927,0.5054194,0.5550581,0.41916567
ZNF140,0.10153673,0.122720286,0.09314165,0.18696328,0.10111472,0.16600126,0.09428943
HMGA2,0.006296805,0.0071223006,0.0,0.006834531,0.01149458,0.14615035,0.0041351607
PPP1R13L,0.4344603,0.3776419,0.21487847,0.6031014,0.53070295,0.6204008,0.42538115
ZNF692,0.0791603,0.090104125,0.0328485,0.122676656,0.13608955,0.15871648,0.111725785
ZNF791,0.20212351,0.22991414,0.21960999,0.26203564,0.17043331,0.14921147,0.20047608
NFIA,0.18034473,0.13490856,0.16644874,0.7693121,0.2766809,0.17839442,0.108454406
TFDP1,0.4508935,0.2320926,0.2076369,0.36989737,0.5750351,0.33719864,0.25085223
TCF7L2,3.8690114,3.8760512,2.6953115,1.8247056,2.497111,3.778224,3.741569
ZNF518A,0.7766403,0.8369917,0.3400559,1.2341288,0.739691,0.86601394,0.68328226
ZNF845,0.0523887,0.02643948,0.013448991,0.06909378,0.050373573,0.08784146,0.02894094
CREBZF,0.26897952,0.23124057,0.16054836,0.43661553,0.31190965,0.24384418,0.23031753
MYT1L,0.011780839,0.008429065,0.012265267,0.01127591,0.009333568,0.026307475,0.02864988
MYCL,0.047062747,0.04743352,0.2421972,0.042805787,0.029896963,0.059769295,0.08313283
ZNF75D,0.21056718,0.15844831,0.03317039,0.3049699,0.2298742,0.23445868,0.19321592
SMARCA1,0.2112245,0.26116452,0.15769807,0.35322556,0.22622503,0.16235395,0.24942169
KLF6,0.7526344,1.1086522,1.2363982,0.2260461,0.55791456,1.3468131,1.2863965
TEAD4,0.0703887,0.027933653,0.0049425694,0.3818669,0.41645074,0.028235912,0.031182772
FOXP2,0.01986734,0.02723306,0.024246406,0.06910408,0.017053558,0.011396182,0.015199177
ZNF444,0.03384904,0.027799455,0.05151929,0.08710134,0.03918381,0.03102602,0.050858803
PURA,0.34652385,0.28433344,0.45597225,0.4015277,0.29520002,0.2199966,0.3344678
HMG20A,0.15537405,0.15452626,0.088961884,0.33549163,0.20674425,0.14091788,0.1373342
ZNF674,0.057093132,0.03762364,0.04264258,0.060975097,0.060547724,0.13655849,0.04509859
NFATC1,0.03599262,0.0742772,0.12363132,0.0057792407,0.010834838,0.076149166,0.0881004
GRHL2,0.881947,1.513065,0.97018886,1.241544,0.9419033,1.7620212,1.7195028
NCOA3,1.2215681,1.1539037,0.86041194,2.0430775,1.5504029,1.0266293,1.1801372
NR3C1,0.6047384,0.50335956,0.41734502,1.2355092,0.664576,0.30512753,0.585001
CUX1,3.0798748,3.2590969,2.0066535,2.4154851,2.2591383,3.209825,3.1172152
ZNF507,0.1890983,0.16251926,0.09025067,0.32119855,0.2592208,0.15035854,0.1454644
MEIS1,0.27026668,0.21873006,0.056828514,0.7926444,0.28412926,0.20033227,0.19087656
ESRRA,0.49346402,0.51022047,0.20423979,0.48349097,0.48141685,0.74593997,0.40953866
ZNF680,0.32026598,0.28960928,0.22572723,0.2874555,0.2412595,0.37044922,0.31282696
DMAP1,0.05162772,0.03962189,0.032665078,0.09542238,0.07085532,0.15243816,0.05628226
ZNF282,0.1109528,0.10354122,0.1020937,0.30102858,0.17840561,0.11599366,0.11123743
ZNF90,0.5794915,0.31888857,0.16708447,0.6251722,0.6167295,0.20424885,0.20683798
ZNF655,0.04461066,0.055224866,0.25595614,0.02414954,0.04641646,0.08119005,0.08218805
ZNF766,0.15468872,0.10171276,0.09680801,0.13989995,0.13099298,0.1676262,0.11229368
DLX6,0.10454199,0.091742136,0.11001457,0.06758753,0.072724454,0.094660655,0.05352841
TBX3,0.17821558,0.13040228,0.2245296,0.5927015,0.2717427,0.14778513,0.1547313
NCOA2,1.5832791,1.5079911,0.9001453,2.0819962,1.6660182,1.4183269,1.2524976
KLF16,0.024716297,0.019041141,0.11338438,0.027415365,0.044692054,0.02258395,0.034387987
ZNF721,0.64163625,0.5286626,0.29572836,0.986087,0.8129316,0.5278059,0.4894143
HSF1,0.27936104,0.23874252,0.19747096,0.21373811,0.34013692,0.2968958,0.1909149
NFATC2,0.03870585,0.03580448,0.025518255,0.16493809,0.09549987,0.016376985,0.044654742
E2F5,0.027135454,0.018856684,0.0,0.12432226,0.11054732,0.028343936,0.009993112
ZNF569,0.12266496,0.12698328,0.06357807,0.14288929,0.0883568,0.18578872,0.07863782
ZNF714,0.49321365,0.32901198,0.07722311,0.49112558,0.4882126,0.35574356,0.20709902
ATRX,1.0217597,0.97552705,0.6324719,1.1540438,1.0858995,1.0526997,0.8771572
CDC5L,0.25483003,0.18718985,0.116852805,0.2586966,0.23452447,0.21297234,0.19320397
ARID2,1.0811776,0.9753639,0.5003458,1.180684,1.1250939,0.92833793,0.7503947
