,VCT_CCC,EVT_1,EVT_2,eEVT,iEVT,GC,Cluster
GMEB1,-6.687965651508421e-05,-0.8192939758300781,-0.15848635137081146,2.0840625762939453,-0.1356964111328125,-0.9705200791358948,0.0
NFKB2,-0.18380048871040344,-0.8201179504394531,0.9497580528259277,-0.05005593225359917,1.5325897932052612,-1.4283719062805176,6.0
SP110,-0.9552475810050964,0.07076041400432587,0.07184066623449326,1.3438395261764526,0.9854723811149597,-1.5166654586791992,6.0
HSF1,1.2103527784347534,0.30409765243530273,-0.7782354950904846,0.3679535686969757,-1.7954539060592651,0.6912858486175537,2.0
ZNF780A,-0.6004741787910461,-0.4678981602191925,-0.48814547061920166,2.2265543937683105,-0.3449452817440033,-0.325091153383255,0.0
FOXK2,-0.12066435068845749,-1.7616891860961914,-0.4597936272621155,0.07222990691661835,0.9240062832832336,1.345910906791687,3.0
ZNF585A,0.6600896120071411,0.6019089818000793,1.0166802406311035,-1.3969444036483765,0.5152101516723633,-1.3969444036483765,4.0
ZBTB1,-0.9195176362991333,-0.7095686793327332,-0.23916463553905487,2.014915704727173,0.4381162226200104,-0.584780752658844,0.0
POU3F1,2.1211559772491455,-0.08295866847038269,0.06788476556539536,-0.7442159652709961,-0.6176502704620361,-0.7442159652709961,2.0
NFE2L1,0.02207825519144535,-0.5027117133140564,0.191051185131073,1.5275472402572632,0.5235182046890259,-1.7614824771881104,6.0
ZBTB48,-0.7632700204849243,-0.6106372475624084,-0.1339692920446396,-0.5831174850463867,-0.07263529300689697,2.1636290550231934,1.0
ZNF517,-0.38550129532814026,-0.4595801830291748,-0.4619161784648895,-0.5642479062080383,-0.36007264256477356,2.2313179969787598,1.0
ZBTB6,-0.31237977743148804,-0.7815766930580139,-0.2808142602443695,-0.5357651710510254,-0.2898387312889099,2.2003748416900635,1.0
SOX7,0.7723351120948792,-0.6912257075309753,-0.608320951461792,-0.7418323159217834,-0.6304088234901428,1.899452567100525,1.0
TSC22D2,-0.4786859154701233,-1.216477394104004,-0.48262444138526917,-0.22483471035957336,0.4525546431541443,1.9500666856765747,3.0
DNAJC1,-1.5113335847854614,-0.6417968273162842,-0.27429285645484924,1.69973886013031,0.170379176735878,0.5573062300682068,5.0
ZNF141,-0.4714966416358948,-1.1843599081039429,-0.8669118285179138,1.440947413444519,-0.15261304378509521,1.2344335317611694,5.0
ZNF484,-0.6598652005195618,-0.61001056432724,-0.40300482511520386,2.204843759536743,-0.1493135392665863,-0.38264983892440796,0.0
ZNF787,-0.5677509307861328,-1.4327356815338135,-0.20501723885536194,1.799185872077942,-0.15966211259365082,0.5659800171852112,5.0
CREM,1.4194258451461792,1.2249860763549805,-0.6618877649307251,-0.010597151704132557,-1.2119994163513184,-0.7599266767501831,7.0
PBRM1,-0.7258113026618958,-1.1220452785491943,-0.07297878712415695,1.657481074333191,0.9763563275337219,-0.7130018472671509,0.0
LEF1,-0.6140320301055908,-0.7816952466964722,-0.6657260656356812,0.854386568069458,-0.6435120105743408,1.8505785465240479,3.0
TADA2B,-0.1154794692993164,-0.636070966720581,-0.14713533222675323,-1.3401553630828857,0.32625991106033325,1.912581443786621,1.0
ATF4,0.9374408721923828,0.9663501977920532,0.7254571318626404,-1.8254073858261108,-0.4561956226825714,-0.34764543175697327,7.0
IKZF5,0.2510825991630554,-0.36237940192222595,0.19082589447498322,1.1436158418655396,0.7510215640068054,-1.9741666316986084,6.0
ID4,-0.3214189410209656,-0.18502862751483917,0.4666357934474945,1.8056341409683228,-0.2405218780040741,-1.5253000259399414,0.0
TFEB,2.2249679565429688,-0.3645276427268982,-0.47021904587745667,-0.30748945474624634,-0.455261766910553,-0.6274697184562683,2.0
TONSL,1.9534571170806885,-0.0843900591135025,-0.4990781545639038,-0.6528123021125793,-1.147407054901123,0.43022939562797546,2.0
SFPQ,1.6356741189956665,-0.816095232963562,0.6960374712944031,-0.04084044322371483,-0.0008644486661069095,-1.473913550376892,2.0
TCF7L1,-0.6742097735404968,-0.9067831635475159,-0.6532415747642517,2.068052053451538,0.029181018471717834,0.13700120151042938,5.0
HSF2,1.4036177396774292,0.22460101544857025,0.16614897549152374,-0.23305223882198334,0.37663203477859497,-1.9379476308822632,7.0
ZNF641,-0.8691210746765137,-0.9361027479171753,-0.6827327013015747,1.7105896472930908,-0.19181177020072937,0.9691786766052246,5.0
ZNF543,1.757845163345337,0.41194143891334534,-0.1753714382648468,-1.1450189352035522,0.29562273621559143,-1.1450189352035522,7.0
ZFP91,1.5342297554016113,0.30062583088874817,0.2091859132051468,-1.0479804277420044,0.48117169737815857,-1.4772323369979858,7.0
MGA,-0.8255677223205566,-1.2270212173461914,-0.5940551161766052,1.6204860210418701,0.12098289281129837,0.9051758050918579,5.0
ZBTB45,0.3512521982192993,-0.06702907383441925,-0.45931050181388855,-1.0781290531158447,-0.7360228300094604,1.9892387390136719,1.0
SREBF2,-0.7192031145095825,-1.1639320850372314,-0.6123566031455994,1.867644190788269,0.12975288927555084,0.49809369444847107,5.0
