,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
PHTF2,0.010987644,-0.12263068,-0.10072843,0.18632735,0.4443443,-0.11097937
RFX5,0.021099929,-0.05708502,-0.20112519,0.102117084,0.17668544,-0.0877468
ZNF131,-0.05750213,-0.12092455,-0.243505,-0.13204755,0.36202595,0.27996606
ZBTB45,0.102292486,-0.11757554,-0.012572753,0.07081761,-0.1887206,-0.13523568
ZNF559,0.108149104,-0.09134593,-0.2229528,0.053884402,-0.2229528,-0.14360194
ZNF107,-0.06639502,-0.03428127,0.03969736,-0.03410567,0.3675614,0.14580834
ZNF302,0.022363853,-0.080975406,0.15883727,0.043900717,0.32277504,-0.023796262
NFKB1,-0.13965607,0.003404043,0.41751838,-0.15215549,0.45152718,0.332769
PKNOX1,0.12588334,-0.08560333,-0.66986144,-0.03744458,-0.08497255,-0.08774139
MYT1L,-0.060343903,-0.0737405,-0.1170116,-0.055212405,0.21862967,0.16845277
ZC3H8,0.101895235,-0.17804453,-0.32737744,0.14292708,-0.16979912,-0.1605586
THAP9,0.023880642,-0.074708015,-0.19824405,0.0126838945,-0.19824405,0.004458964
ZNF678,-0.041484844,-0.0016679061,-0.14872254,-0.0023037016,0.18351385,0.0622427
ZNF441,-0.046752617,-0.016702043,-0.18277736,-0.05782684,0.7463021,0.1263014
GATA6,0.19729364,-0.06957702,0.08993977,-0.14018232,0.49804068,-0.11486459
ZBTB39,-0.0026953327,4.8808066e-05,-0.15368281,0.041398827,-0.15368281,-0.03276648
MLX,0.31174916,-0.2900661,-0.64273846,0.00800022,-0.024629405,-0.26630804
LRRFIP1,0.3714676,-0.14305528,-0.22280572,-0.3716123,0.4391036,-0.10391209
ZNF793,0.012977293,-0.05255228,-0.30565596,-0.058017462,1.0560492,0.06180968
RBAK,-0.01068593,-0.025713662,-0.18927413,0.026308509,-0.18927418,0.009966266
ZNF726,0.08359193,-0.076787174,-0.33090013,0.1134638,-0.25869724,-0.1714464
IRX4,-0.07075649,-0.17907648,-0.23059754,0.47817594,-0.051621176,-0.2205025
ZNF641,-0.06186871,-0.023322796,0.24919595,-0.061065182,0.735087,0.15281828
ZNF580,0.074029945,-0.23137553,-0.39372596,0.19802132,-0.2890926,-0.13555789
TRERF1,-0.10751871,-0.0953815,-0.22499616,0.34877643,0.123104505,-0.10392246
YY2,0.015217002,-0.08645957,-0.12998803,0.10672257,-0.12998803,-0.06699216
ZNF701,0.00872413,-0.11443318,-0.14875454,0.07771735,0.2681624,-0.011733183
DMAP1,0.25393844,-0.29849696,-0.5692787,0.16619408,-0.05614839,-0.32301646
PEG3,-0.18889877,-0.35162935,-0.56956387,0.89507365,-0.42327866,-0.31778643
EBF1,-0.09605681,0.09544656,0.08937645,-0.054898735,0.35781756,0.12416701
TADA2B,-0.045801725,-0.040155187,0.08387377,0.022753661,-0.22995341,0.07209685
CDC5L,0.219806,-0.27522266,-0.64218634,0.13004963,-0.30810025,-0.25337526
HES6,0.03393398,-0.092390716,-0.18224189,0.16269901,0.27372128,-0.1399905
ZNF880,0.22012857,-0.13098978,-0.38771856,0.015396476,-0.26189807,-0.24282339
ZNF774,0.0067586307,-0.054331735,-0.13602917,0.064847715,-0.13602917,-0.034511738
FOSL1,-0.03487391,-0.09916001,-0.19585085,0.29283354,-0.19585085,-0.15240891
MESP1,-0.050053444,-0.053394582,-0.057659913,0.06714755,-0.057659913,-0.04673533
TEAD1,-0.2918347,0.2216754,0.5463406,-0.42961434,0.90648943,0.6621683
ZNF600,-0.0322721,-0.108509116,-0.23428418,0.06078635,0.64864016,0.05653126
ZNF599,0.082070336,-0.11670584,-0.2237401,0.09136645,-0.116626635,-0.12501086
FOSL2,0.2634524,0.03109076,-0.34186214,-0.39810556,-0.77874905,-0.026006887
ZNF572,-0.024018645,-0.033143125,0.45849904,-0.000985972,-0.07158427,-0.019027269
TFE3,-0.033556607,-0.07506131,-0.15742013,0.14453559,0.4973778,-0.03916721
SP2,0.07006725,-0.117102005,0.096425354,0.068520054,0.39582688,-0.09208173
PHF5A,0.44427833,-0.39240474,-0.7831097,0.13136007,-0.5978532,-0.49944398
SNAPC4,-0.065661624,0.002503205,0.01752066,0.024099024,0.48444253,0.0669746
THAP3,0.18035892,-0.21175793,-0.19256383,0.06641057,-0.21134584,-0.18199667
OTX2,-0.0035649883,-0.029790055,-0.029790053,-0.029790051,-0.029790053,-0.029790055
