,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
TOX,0.0155674815,0.033926476,0.0,0.1495499,0.024048114,0.06772895,0.028686564
ETS2,0.4564693,0.76711524,0.5490552,0.26995128,0.41600162,0.29738286,0.762189
GCM1,1.0419298,1.2693864,2.0093677,0.33964497,0.45648542,2.208438,1.5334178
E2F1,0.031123672,0.016569851,0.10221833,0.044464696,0.07978672,0.0,0.0042918487
LRRFIP2,0.36849236,0.4726066,0.7616523,0.40867457,0.33128485,1.2277648,0.6582463
TRPS1,0.03831164,0.100392476,0.0,0.069985256,0.06231323,0.19326141,0.09075193
EBF1,0.019922968,0.07664522,0.063885026,0.041845385,0.03521575,0.13528618,0.06648274
CEBPD,0.6824282,0.62616444,0.78861636,0.5342003,0.62420726,0.1781327,0.56819063
ZNF280C,0.04124997,0.060367133,0.07128358,0.0840282,0.055120718,0.32555827,0.12266857
THRB,0.5542174,0.7524475,1.4197071,0.62806684,0.66323406,1.5655022,1.1659181
ARID1B,0.42595568,0.7857262,1.1853789,0.98243475,0.66573143,1.3296632,1.0254495
SNAI1,0.31483176,0.17246892,0.28164312,0.039148744,0.12097923,0.11452431,0.14591089
ATF6,0.3035842,0.3406799,0.5246586,0.38317722,0.29350352,0.69055206,0.41747504
FOXN2,0.3919715,0.61703783,0.57803667,0.17248309,0.32063442,0.9310807,0.863277
ZNF484,0.021993667,0.03522036,0.036520947,0.031591937,0.018808192,0.2018496,0.051430035
TFDP2,0.60818994,0.44457763,0.3651273,1.1590093,0.81635344,1.6492242,0.5598476
ZNF793,0.049167894,0.05912289,0.0,0.07686425,0.042357568,0.29202747,0.07784969
SOX13,0.038528714,0.061821662,0.0,0.079381175,0.1620415,0.12049551,0.10141216
HES4,0.1487496,0.19531633,0.4040232,0.018439965,0.07034166,1.4477257,0.36969128
TONSL,0.034968782,0.027392128,0.044371255,0.043192524,0.072201736,0.024583293,0.015546688
SP1,0.123416476,0.17524555,0.18195882,0.20925796,0.19437857,0.25158697,0.18699934
NR1H2,0.21411738,0.14467607,0.0,0.24203506,0.21481596,0.19066392,0.17967212
STAT2,0.30076084,0.52559465,0.8355451,0.13927092,0.19287944,0.88527006,0.6693198
MEF2D,0.044126254,0.093436375,0.17242484,0.07092049,0.071922235,0.3259148,0.10571626
ZNF511,0.18051362,0.06853007,0.0,0.20010795,0.20280126,0.026583735,0.03628525
ZNF439,0.19799578,0.23799318,0.49911162,0.34046444,0.16487476,0.4643785,0.32885063
E2F2,0.027731353,0.01666659,0.0,0.033593815,0.051783852,0.0,0.007686395
MGA,0.20233926,0.34254298,0.6746267,0.34965518,0.2912623,0.83306986,0.50092584
SOX5,0.0433532,0.12021868,0.27049437,0.07348262,0.061888155,0.27346557,0.12169641
PLAGL1,0.16823995,0.27830005,0.5198571,0.10637775,0.16452228,0.9876457,0.36531886
ZNF91,0.3170269,0.53929794,0.7483909,0.49248558,0.38124132,1.1144261,0.7038726
ZNF100,0.1560356,0.184563,0.362523,0.19514039,0.137916,0.33186823,0.2250545
DNAJC1,0.56724894,0.69268703,0.97653216,0.21463744,0.27045476,1.3664724,0.8444645
KMT2A,0.121662326,0.22666265,0.09343992,0.24365288,0.1984242,0.3016703,0.36271742
ARID4B,0.5679363,0.7779252,1.033085,0.66266835,0.61140686,1.2452765,0.97588056
MXI1,0.08457133,0.10547114,0.13150711,0.047859337,0.093665406,0.099851094,0.1869006
ZNF444,0.027984887,0.03627011,0.07235688,0.09472553,0.0662117,0.03235323,0.06490018
ZBTB7A,0.07423825,0.15665017,0.15567464,0.2068586,0.17597303,0.4609208,0.19115362
FOXN3,0.40063173,0.75916636,1.0044857,0.7707246,0.49229297,1.0653509,1.3850994
TAF1,0.14142457,0.2587763,0.65521204,0.2215583,0.184228,0.4440084,0.37589234
ZNF362,0.03372263,0.040746965,0.0,0.102636084,0.079020575,0.07504512,0.043364223
ZNF175,0.020888854,0.03863692,0.0,0.16095783,0.08709905,0.010035443,0.04578363
SREBF2,0.21696411,0.33531344,0.5735783,0.41281816,0.31238782,0.86743724,0.4945449
NFE2L2,0.21214145,0.23691435,0.09301138,0.6632893,0.39632213,0.48355582,0.33555263
KDM2A,0.2771358,0.5187409,0.50152606,0.5099969,0.41152927,0.92974854,0.71635777
ADNP2,0.07504831,0.12903014,0.077555686,0.1477433,0.13159841,0.1409788,0.13490047
ZBTB40,0.0906517,0.1620599,0.32122236,0.10191096,0.09004589,0.5418992,0.23741008
TBPL1,0.32591808,0.18024673,0.15368848,0.19869901,0.19272327,0.1804907,0.147868
ETV3,0.044505246,0.080419146,0.0,0.06484575,0.048097495,0.14488566,0.073618956
TRERF1,0.021024719,0.030257115,0.0,0.16511959,0.1255993,0.08028145,0.02380497
HIVEP2,0.045509204,0.111038804,0.34527645,0.17097163,0.12869033,0.19436398,0.15182172
NFYC,0.24299762,0.18509313,0.22686534,0.45990795,0.31986594,0.34308544,0.21826285
ZNF692,0.058291685,0.10170699,0.0,0.09148639,0.08442845,0.31409025,0.10244213
TBX1,0.030753566,0.059108872,0.063614905,0.004081749,0.010305099,0.36710787,0.1252407
HMGA2,0.0023328238,0.0030673495,0.0,0.0040867855,0.0048266104,0.2699279,0.0035669438
