,EVT_1,EVT_2,GC,VCT,VCT_CCC,eEVT,iEVT
KLF9,0.0042901873,0.018158125,0.0,0.005871927,0.008235296,0.4003477,0.02461904
SMARCA1,0.12206228,0.13576767,0.33253062,0.30301523,0.27843595,0.10057628,0.19878583
ZNF282,0.04102644,0.054838963,0.17629391,0.15403213,0.08083384,0.08466621,0.08103366
OVOL1,0.03923057,0.030663468,0.11352691,0.06515744,0.09053577,0.015728185,0.02251191
CIC,0.027488668,0.05355376,0.0,0.04918888,0.049184874,0.0779646,0.056994773
IRX4,0.012381026,0.0063771447,0.0,0.010716862,0.086171985,0.03540215,0.0016878222
IRX2,0.09078529,0.15362316,0.05395142,0.19960465,0.20065701,0.109858155,0.21243536
KAT8,0.096852675,0.07877245,0.063614905,0.16272298,0.14704423,0.03817196,0.08477335
ZNF506,0.04177565,0.0471948,0.0,0.04629335,0.048867565,0.008723,0.049381834
HEY1,0.29080167,0.15247025,0.0,0.022086166,0.089674905,0.07411908,0.033951797
KLF2,0.03213137,0.11204936,0.21013899,0.0509668,0.09366777,0.23652492,0.15644735
ELF3,0.3204818,0.326271,0.04864013,0.2583839,0.5807188,0.10377795,0.25766242
PPARG,1.2566789,1.1788838,1.8434348,1.1183127,0.8113771,2.2267628,1.692013
NR2F2,0.20221569,0.20033023,0.28060657,0.7237549,0.6691441,0.2667549,0.1155099
XBP1,0.9003704,0.6470271,0.43354678,0.36496025,0.598509,0.37940004,0.58499134
GATAD1,0.10141249,0.11218464,0.077555686,0.19657567,0.18058473,0.19851068,0.1369732
SFPQ,0.6694171,0.8020398,0.61172265,1.0018078,0.8844513,0.7374114,0.7409175
ZNF25,0.007318428,0.015338248,0.0,0.02159073,0.009197671,0.3669204,0.017001947
MAFK,0.07621229,0.23710696,0.28066224,0.14557421,0.18654598,0.36547586,0.32508767
BHLHE40,0.21488802,0.23440386,0.20480986,0.15877748,0.37247828,0.0,0.13829982
NCOR1,0.54735583,0.55316013,0.5494612,0.74586016,0.63391644,0.9542538,0.67787075
PBX4,0.039631765,0.13955416,0.3479142,0.0077343485,0.02001816,0.26780874,0.43739706
TSC22D3,0.43281466,0.43905354,0.38599557,0.02268715,0.06962887,0.13495372,0.3304889
