,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
ZFP92,5.4e-05,no,yes,no,no,EVT_2,EVT_2_ZFP92
HMGXB3,0.215991,yes,no,no,no,EVT_2,EVT_2_HMGXB3
ZNF785,0.041064,no,yes,no,no,EVT_2,EVT_2_ZNF785
TWIST2,0.016575,no,yes,no,no,EVT_2,EVT_2_TWIST2
NFE2L1,0.148332,yes,no,no,no,EVT_2,EVT_2_NFE2L1
HIF3A,0.010198,no,yes,no,no,EVT_2,EVT_2_HIF3A
MEIS2,0.226112,yes,no,no,no,EVT_2,EVT_2_MEIS2
PEG3,0.085715,yes,yes,no,yes,EVT_2,EVT_2_PEG3
ZNF621,0.072337,no,yes,no,no,EVT_2,EVT_2_ZNF621
MXD1,0.106164,yes,no,no,no,EVT_2,EVT_2_MXD1
MYOD1,0.000591,no,yes,no,no,EVT_2,EVT_2_MYOD1
ZFHX3,0.558505,no,yes,no,no,EVT_2,EVT_2_ZFHX3
ZNF605,0.023295,yes,no,no,no,EVT_2,EVT_2_ZNF605
HIVEP3,0.161626,no,yes,no,no,EVT_2,EVT_2_HIVEP3
EBF2,0.002809,no,yes,no,no,EVT_2,EVT_2_EBF2
SMAD9,0.005053,no,yes,no,no,EVT_2,EVT_2_SMAD9
EBF4,0.006107,no,yes,no,no,EVT_2,EVT_2_EBF4
ZNF23,0.000664,no,yes,no,no,EVT_2,EVT_2_ZNF23
ZNF71,0.021986,no,yes,no,no,EVT_2,EVT_2_ZNF71
ZNF707,0.033627,no,yes,no,no,EVT_2,EVT_2_ZNF707
HOPX,0.219714,yes,yes,no,yes,EVT_2,EVT_2_HOPX
STAT2,0.525595,yes,yes,no,yes,EVT_2,EVT_2_STAT2
ZNF746,0.082563,yes,no,no,no,EVT_2,EVT_2_ZNF746
TCF4,0.100422,yes,yes,no,yes,EVT_2,EVT_2_TCF4
CEBPG,0.152925,no,yes,no,no,EVT_2,EVT_2_CEBPG
ZIC3,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_ZIC3
BACH2,0.024649,no,yes,no,no,EVT_2,EVT_2_BACH2
ZNF410,0.008492,yes,no,no,no,EVT_2,EVT_2_ZNF410
BCL11B,0.003357,no,yes,no,no,EVT_2,EVT_2_BCL11B
ZBTB6,0.017798,yes,no,no,no,EVT_2,EVT_2_ZBTB6
ARID3B,0.247936,yes,yes,no,yes,EVT_2,EVT_2_ARID3B
NFKBIZ,0.453316,yes,yes,no,yes,EVT_2,EVT_2_NFKBIZ
ARNTL,0.026922,no,yes,no,no,EVT_2,EVT_2_ARNTL
USF2,0.136334,no,yes,no,no,EVT_2,EVT_2_USF2
FOXC2,0.0,no,yes,no,no,EVT_2,EVT_2_FOXC2
ZNF354B,0.063977,no,yes,no,no,EVT_2,EVT_2_ZNF354B
SP140L,0.176938,no,yes,no,no,EVT_2,EVT_2_SP140L
ARID1A,0.491651,no,yes,no,no,EVT_2,EVT_2_ARID1A
ZNF787,0.076876,yes,no,no,no,EVT_2,EVT_2_ZNF787
PRDM8,0.006014,no,yes,no,no,EVT_2,EVT_2_PRDM8
RORA,0.133496,yes,no,no,no,EVT_2,EVT_2_RORA
ZNF224,0.088175,yes,no,no,no,EVT_2,EVT_2_ZNF224
NR1H2,0.144676,no,yes,no,no,EVT_2,EVT_2_NR1H2
ZNF556,0.007547,no,yes,no,no,EVT_2,EVT_2_ZNF556
MSC,0.00014,no,yes,no,no,EVT_2,EVT_2_MSC
ZNF202,0.020996,no,yes,no,no,EVT_2,EVT_2_ZNF202
ELK1,0.034927,no,yes,no,no,EVT_2,EVT_2_ELK1
FOXF1,0.001978,no,yes,no,no,EVT_2,EVT_2_FOXF1
ZNF853,0.000485,no,yes,no,no,EVT_2,EVT_2_ZNF853
ATF4,0.685859,yes,yes,no,yes,EVT_2,EVT_2_ATF4
PPP1R13L,0.272216,no,yes,no,no,EVT_2,EVT_2_PPP1R13L
ZNF649,0.023188,no,yes,no,no,EVT_2,EVT_2_ZNF649
NCOR2,0.530144,yes,no,no,no,EVT_2,EVT_2_NCOR2
MAFG,0.138536,yes,no,no,no,EVT_2,EVT_2_MAFG
ZIC4,8.7e-05,no,yes,no,no,EVT_2,EVT_2_ZIC4
POU5F1,0.015617,yes,no,no,no,EVT_2,EVT_2_POU5F1
ZFP41,0.006347,no,yes,no,no,EVT_2,EVT_2_ZFP41
NFAT5,0.684662,yes,no,no,no,EVT_2,EVT_2_NFAT5
TBX2,0.007951,no,yes,no,no,EVT_2,EVT_2_TBX2
EGR2,0.007303,yes,no,no,no,EVT_2,EVT_2_EGR2
IRF9,0.116495,yes,no,no,no,EVT_2,EVT_2_IRF9
ZNF460,0.025198,yes,yes,no,yes,EVT_2,EVT_2_ZNF460
ZNF174,0.0068,no,yes,no,no,EVT_2,EVT_2_ZNF174
TBX1,0.059109,no,yes,no,no,EVT_2,EVT_2_TBX1
HOXB6,0.004095,no,yes,no,no,EVT_2,EVT_2_HOXB6
ATF6B,0.231075,no,yes,no,no,EVT_2,EVT_2_ATF6B
SMAD6,0.014255,no,yes,no,no,EVT_2,EVT_2_SMAD6
FOXN3,0.759166,yes,yes,no,yes,EVT_2,EVT_2_FOXN3
ZBTB17,0.085492,no,yes,no,no,EVT_2,EVT_2_ZBTB17
YBX3,0.250799,yes,yes,no,yes,EVT_2,EVT_2_YBX3
MYF6,0.0,no,yes,no,no,EVT_2,EVT_2_MYF6
SOX12,0.003674,no,yes,no,no,EVT_2,EVT_2_SOX12
CREBZF,0.168129,yes,yes,no,yes,EVT_2,EVT_2_CREBZF
KMT2B,0.150038,yes,no,no,no,EVT_2,EVT_2_KMT2B
DMTF1,0.25893,no,yes,no,no,EVT_2,EVT_2_DMTF1
PURB,0.114176,yes,no,no,no,EVT_2,EVT_2_PURB
RUNX2,0.033964,no,yes,yes,no,EVT_2,EVT_2_RUNX2
PATZ1,0.019592,yes,no,no,no,EVT_2,EVT_2_PATZ1
LHX6,0.000536,no,yes,no,no,EVT_2,EVT_2_LHX6
HMGA2,0.003067,no,yes,no,no,EVT_2,EVT_2_HMGA2
ZNF366,0.004567,no,yes,no,no,EVT_2,EVT_2_ZNF366
SP6,0.00431,no,yes,no,no,EVT_2,EVT_2_SP6
SIX5,0.074986,yes,no,no,no,EVT_2,EVT_2_SIX5
SP5,0.001599,no,yes,no,no,EVT_2,EVT_2_SP5
TWIST1,0.022753,no,yes,no,no,EVT_2,EVT_2_TWIST1
CREB5,0.501722,yes,no,no,no,EVT_2,EVT_2_CREB5
HSF4,0.023618,yes,yes,no,yes,EVT_2,EVT_2_HSF4
PRDM1,0.020003,yes,no,no,no,EVT_2,EVT_2_PRDM1
SOX18,0.002973,no,yes,no,no,EVT_2,EVT_2_SOX18
NONO,0.374538,no,yes,no,no,EVT_2,EVT_2_NONO
MEIS3,0.005055,no,yes,no,no,EVT_2,EVT_2_MEIS3
FOS,2.181638,yes,no,no,no,EVT_2,EVT_2_FOS
KLF6,1.479854,yes,no,no,no,EVT_2,EVT_2_KLF6
ZNF76,0.116017,no,yes,no,no,EVT_2,EVT_2_ZNF76
ZNF805,0.017007,no,yes,no,no,EVT_2,EVT_2_ZNF805
NFATC4,0.004828,no,yes,no,no,EVT_2,EVT_2_NFATC4
ZNF692,0.101707,yes,yes,no,yes,EVT_2,EVT_2_ZNF692
NFATC2,0.026928,yes,no,no,no,EVT_2,EVT_2_NFATC2
ESRRA,0.378956,yes,no,no,no,EVT_2,EVT_2_ESRRA
ZNF513,0.034203,yes,no,no,no,EVT_2,EVT_2_ZNF513
ZNF397,0.133362,yes,no,no,no,EVT_2,EVT_2_ZNF397
NPAS1,0.001492,no,yes,no,no,EVT_2,EVT_2_NPAS1
ZNF74,0.019986,no,yes,no,no,EVT_2,EVT_2_ZNF74
VEZF1,0.097023,no,yes,no,no,EVT_2,EVT_2_VEZF1
MNT,0.101445,yes,no,no,no,EVT_2,EVT_2_MNT
SOX8,0.002085,no,yes,no,no,EVT_2,EVT_2_SOX8
SOX21,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_SOX21
ELF1,0.749878,no,yes,no,no,EVT_2,EVT_2_ELF1
NHLH1,0.003851,no,yes,no,no,EVT_2,EVT_2_NHLH1
CSRNP1,0.190246,yes,yes,no,yes,EVT_2,EVT_2_CSRNP1
RCOR1,1.018692,yes,no,no,no,EVT_2,EVT_2_RCOR1
ZNF841,0.03585,yes,yes,no,yes,EVT_2,EVT_2_ZNF841
ZNF300,0.023334,no,yes,no,no,EVT_2,EVT_2_ZNF300
HOXC11,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_HOXC11
TBX15,0.003343,no,yes,no,no,EVT_2,EVT_2_TBX15
ETV1,0.00776,no,yes,no,no,EVT_2,EVT_2_ETV1
YBX1,0.876862,no,yes,no,no,EVT_2,EVT_2_YBX1
EMX2,0.01286,yes,yes,no,yes,EVT_2,EVT_2_EMX2
ZNF423,0.083198,no,yes,no,no,EVT_2,EVT_2_ZNF423
PLAGL1,0.2783,no,yes,no,no,EVT_2,EVT_2_PLAGL1
ETV3,0.080419,yes,yes,no,yes,EVT_2,EVT_2_ETV3
TFAP4,0.026498,no,yes,no,no,EVT_2,EVT_2_TFAP4
SP4,0.041472,no,yes,no,no,EVT_2,EVT_2_SP4
ETS1,0.022743,yes,yes,no,yes,EVT_2,EVT_2_ETS1
ZNF568,0.048057,no,yes,no,no,EVT_2,EVT_2_ZNF568
BATF3,0.097623,no,yes,no,no,EVT_2,EVT_2_BATF3
NPAS3,0.034087,no,yes,no,no,EVT_2,EVT_2_NPAS3
KLF4,0.284685,yes,yes,no,yes,EVT_2,EVT_2_KLF4
ZNF518A,0.52128,yes,no,no,no,EVT_2,EVT_2_ZNF518A
TEAD4,0.023592,no,yes,no,no,EVT_2,EVT_2_TEAD4
ZNF589,0.018239,no,yes,no,no,EVT_2,EVT_2_ZNF589
FEV,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_FEV
SIX2,0.000451,no,yes,no,no,EVT_2,EVT_2_SIX2
ZNF467,0.000745,no,yes,no,no,EVT_2,EVT_2_ZNF467
MECOM,0.107487,no,yes,no,no,EVT_2,EVT_2_MECOM
ZNF81,0.099871,no,yes,no,no,EVT_2,EVT_2_ZNF81
MGA,0.342543,no,yes,no,no,EVT_2,EVT_2_MGA
TSHZ3,0.014616,no,yes,no,no,EVT_2,EVT_2_TSHZ3
NFKB2,0.108079,yes,no,no,no,EVT_2,EVT_2_NFKB2
KAT8,0.078772,no,yes,no,no,EVT_2,EVT_2_KAT8
DMRTC2,0.0,no,yes,no,no,EVT_2,EVT_2_DMRTC2
ZNFX1,0.165986,no,yes,no,no,EVT_2,EVT_2_ZNFX1
PRDM14,0.000487,no,yes,no,no,EVT_2,EVT_2_PRDM14
POU6F1,0.018019,no,yes,no,no,EVT_2,EVT_2_POU6F1
FIZ1,0.020991,no,yes,no,no,EVT_2,EVT_2_FIZ1
STAT3,0.542041,yes,yes,no,yes,EVT_2,EVT_2_STAT3
CREB3L2,1.080408,yes,yes,no,yes,EVT_2,EVT_2_CREB3L2
ZNF324,0.022804,no,yes,no,no,EVT_2,EVT_2_ZNF324
ZNF699,0.012987,no,yes,no,no,EVT_2,EVT_2_ZNF699
NEUROD1,0.0,no,yes,no,no,EVT_2,EVT_2_NEUROD1
TSC22D2,0.43925,yes,yes,no,yes,EVT_2,EVT_2_TSC22D2
ZNF814,0.153472,no,yes,no,no,EVT_2,EVT_2_ZNF814
ETV4,0.079674,no,yes,no,no,EVT_2,EVT_2_ETV4
TFEC,0.01262,no,yes,no,no,EVT_2,EVT_2_TFEC
ZKSCAN1,0.219658,yes,yes,no,yes,EVT_2,EVT_2_ZKSCAN1
MYNN,0.064266,no,yes,no,no,EVT_2,EVT_2_MYNN
ZNF646,0.021998,no,yes,no,no,EVT_2,EVT_2_ZNF646
TRERF1,0.030257,no,yes,no,no,EVT_2,EVT_2_TRERF1
SNAPC4,0.05561,no,yes,no,no,EVT_2,EVT_2_SNAPC4
ZNF606,0.01912,no,yes,no,no,EVT_2,EVT_2_ZNF606
SOX5,0.120219,yes,yes,no,yes,EVT_2,EVT_2_SOX5
MXI1,0.105471,yes,no,no,no,EVT_2,EVT_2_MXI1
SHOX2,0.015712,yes,no,no,no,EVT_2,EVT_2_SHOX2
TRPS1,0.100392,yes,no,no,no,EVT_2,EVT_2_TRPS1
RXRG,0.000443,no,yes,no,no,EVT_2,EVT_2_RXRG
MTA1,0.113496,yes,no,no,no,EVT_2,EVT_2_MTA1
ZNF133,0.049816,no,yes,no,no,EVT_2,EVT_2_ZNF133
SOX11,0.000153,no,yes,no,no,EVT_2,EVT_2_SOX11
KLF16,0.033072,yes,no,no,no,EVT_2,EVT_2_KLF16
ZNF296,0.005697,no,yes,no,no,EVT_2,EVT_2_ZNF296
ZNF658,0.042841,no,yes,no,no,EVT_2,EVT_2_ZNF658
PRDM2,0.380979,yes,yes,no,yes,EVT_2,EVT_2_PRDM2
IRX6,0.002937,no,yes,no,no,EVT_2,EVT_2_IRX6
SNAI2,0.010784,yes,no,no,no,EVT_2,EVT_2_SNAI2
KMT2A,0.226663,yes,no,no,no,EVT_2,EVT_2_KMT2A
ZNF383,0.071766,no,yes,no,no,EVT_2,EVT_2_ZNF383
RFX8,0.003837,no,yes,no,no,EVT_2,EVT_2_RFX8
NPAS2,0.141645,no,yes,no,no,EVT_2,EVT_2_NPAS2
HNF4G,0.005577,no,yes,no,no,EVT_2,EVT_2_HNF4G
CREB3L4,0.039854,no,yes,no,no,EVT_2,EVT_2_CREB3L4
MIER3,0.050858,no,yes,no,no,EVT_2,EVT_2_MIER3
IRX2,0.153623,yes,yes,no,yes,EVT_2,EVT_2_IRX2
ATOH8,0.018634,yes,yes,no,yes,EVT_2,EVT_2_ATOH8
RFX4,0.003631,no,yes,no,no,EVT_2,EVT_2_RFX4
ZNF496,0.078234,no,yes,no,no,EVT_2,EVT_2_ZNF496
ZNF396,0.001125,no,yes,no,no,EVT_2,EVT_2_ZNF396
POGZ,0.216802,no,yes,no,no,EVT_2,EVT_2_POGZ
GMEB2,0.079835,no,yes,no,no,EVT_2,EVT_2_GMEB2
MITF,0.103938,yes,no,no,no,EVT_2,EVT_2_MITF
MEOX2,0.010671,no,yes,no,no,EVT_2,EVT_2_MEOX2
MYT1,0.000225,no,yes,no,no,EVT_2,EVT_2_MYT1
RBAK,0.017946,yes,no,no,no,EVT_2,EVT_2_RBAK
ZNF497,0.00819,no,yes,no,no,EVT_2,EVT_2_ZNF497
TBX3,0.113832,yes,no,no,no,EVT_2,EVT_2_TBX3
ZNF844,0.024893,yes,no,no,no,EVT_2,EVT_2_ZNF844
NR1H3,0.031618,no,yes,no,no,EVT_2,EVT_2_NR1H3
HIC2,0.394685,yes,no,no,no,EVT_2,EVT_2_HIC2
POU2F3,0.002853,no,yes,no,no,EVT_2,EVT_2_POU2F3
ELF3,0.326271,yes,no,no,no,EVT_2,EVT_2_ELF3
ZHX1,0.031346,yes,no,no,no,EVT_2,EVT_2_ZHX1
PLAG1,0.073043,no,yes,no,no,EVT_2,EVT_2_PLAG1
NCOA3,0.638412,no,yes,no,no,EVT_2,EVT_2_NCOA3
NR4A2,0.04467,yes,no,no,no,EVT_2,EVT_2_NR4A2
ZNF304,0.012688,yes,no,no,no,EVT_2,EVT_2_ZNF304
EPAS1,2.068286,yes,yes,no,yes,EVT_2,EVT_2_EPAS1
ZNF358,0.038048,yes,no,no,no,EVT_2,EVT_2_ZNF358
FOXJ2,0.028451,yes,yes,no,yes,EVT_2,EVT_2_FOXJ2
WIZ,0.073669,yes,no,no,no,EVT_2,EVT_2_WIZ
HOXA1,0.00121,no,yes,no,no,EVT_2,EVT_2_HOXA1
PAX1,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_PAX1
ZNF217,0.309015,yes,no,no,no,EVT_2,EVT_2_ZNF217
NPAS4,not_enough_cells_expr_limma,no,yes,no,no,EVT_2,EVT_2_NPAS4
ZNF740,0.015602,no,yes,no,no,EVT_2,EVT_2_ZNF740
TGIF1,0.514068,no,yes,no,no,EVT_2,EVT_2_TGIF1
ZNF335,0.115878,no,yes,no,no,EVT_2,EVT_2_ZNF335
NFKBID,0.023431,no,yes,no,no,EVT_2,EVT_2_NFKBID
E4F1,0.12828,yes,yes,no,yes,EVT_2,EVT_2_E4F1
CUX1,1.775788,yes,no,no,no,EVT_2,EVT_2_CUX1
ARID3A,1.646992,yes,yes,no,yes,EVT_2,EVT_2_ARID3A
HOXB3,0.024279,no,yes,no,no,EVT_2,EVT_2_HOXB3
ZNF268,0.051004,yes,yes,no,yes,EVT_2,EVT_2_ZNF268
TOX2,0.004679,no,yes,no,no,EVT_2,EVT_2_TOX2
MKX,0.001049,no,yes,no,no,EVT_2,EVT_2_MKX
SMAD7,0.038485,yes,no,no,no,EVT_2,EVT_2_SMAD7
ZNF275,0.031685,no,yes,no,no,EVT_2,EVT_2_ZNF275
ZNF891,0.029115,no,yes,no,no,EVT_2,EVT_2_ZNF891
