,EVT_1,EVT_2,GC,VCT_CCC,eEVT,iEVT
ADNP,-0.09735193,-0.11196321,-0.113396935,0.017660884,0.5433342,0.19215707
JDP2,0.050443254,-0.03592018,-0.13669738,0.0613413,-0.08088606,-0.104513295
POU2F3,-0.070565216,-0.07414317,-0.10383549,0.18340339,-0.103835516,-0.040614344
ZNF613,0.04618808,-0.06659137,-0.17027536,0.0040337215,0.21064876,-0.028252695
MAZ,0.13007055,-0.13637842,-0.48340803,0.024277788,-0.28027707,-0.11730318
ZNF134,0.006356469,-0.06630003,-0.23910081,0.05440406,0.37576732,-0.018166205
ZNF430,0.012976642,-0.08461886,0.026393075,0.04064019,0.23309056,-0.003590964
ZBTB5,-0.057622883,-0.07530118,-0.2515882,0.030335004,0.2717761,0.10261791
ZSCAN26,0.08765571,-0.1065258,-0.17526522,0.033879995,-0.040366955,-0.08767253
ZNF138,0.08573404,-0.13385719,-0.08667666,-0.005924692,0.10252237,-0.03237169
ZNF227,0.035097793,-0.08352159,-0.24719942,0.038835153,0.14344445,-0.032371096
ZNF664,0.004249977,-0.11496358,-0.3265425,0.07768671,-0.10558075,-0.0011610631
ZBTB21,-0.0872422,-0.058615007,0.2535398,0.03662137,0.23217718,0.1264513
BNC2,-0.10110416,0.030378735,0.57182837,0.08171538,-0.040349644,0.0483387
SP2,0.07639958,-0.12013838,0.082167275,0.054844376,0.41575125,-0.086777344
SP6,-0.18068482,-0.2105012,0.0703481,0.62950563,0.009569968,-0.18315741
ZNF358,-0.026594944,-0.036817502,-0.26429185,0.049984545,-0.26429182,0.019394262
ZBTB42,-0.0044061425,-0.061432876,-0.15739615,0.030148001,0.26207298,0.01544078
ZNF439,0.06277782,-0.12060758,0.1687878,-0.14636119,0.52019626,0.11655152
PBX1,-0.24293765,-0.1471294,0.6219208,0.5117531,0.21977766,-0.030619819
FOXM1,0.18995424,-0.18256643,-0.18667924,0.2002408,-0.38498417,-0.33607414
NFKBIZ,-0.121308334,0.07732502,-0.44422758,-0.16135636,-0.05954091,0.27578467
TRPS1,-0.09086345,0.07314361,-0.23945387,-0.041248374,0.6120334,0.11824679
TFAP4,0.10247065,-0.19777282,-0.33681974,0.20544524,-0.3368197,-0.20480329
CREB1,0.0684535,-0.18658768,-0.065847784,0.026455436,0.26340762,-0.0047257403
TADA2A,0.018834341,-0.16430551,0.029343894,0.06516962,0.2869766,0.016170334
DBP,0.0262283,-0.095706,-0.14086752,0.112529844,-0.1408675,-0.07848329
MLX,0.31916636,-0.29059693,-0.6462391,-0.011945248,-0.020041166,-0.25833845
FOXC1,-0.10768199,-0.08575062,-0.14159203,0.23946817,0.3586989,-0.012352591
NONO,0.37232158,-0.34303373,-0.86476594,0.117713295,-0.3306646,-0.4166859
ZNF33B,0.05248313,-0.17062138,-0.28359488,-0.011057619,0.18894503,0.044133116
ZNF777,-0.06454108,-0.07141834,-0.295961,-0.026924683,0.050970647,0.16454719
ZNF502,-0.01669695,-0.03549349,-0.16761442,0.039259795,0.26838502,0.009449396
ATF5,0.09867702,-0.25215772,-0.22272766,0.30576622,-0.073744245,-0.2591209
MEF2C,-0.07337738,0.05555192,-0.21438797,-0.03366852,0.09383573,0.101234905
ZNF75A,0.010598837,-0.056394037,-0.24255246,0.046558857,0.14029501,-0.021614056
DNAJC2,0.32619703,-0.29566327,-0.7218193,0.055537805,-0.54674995,-0.3227379
ZNF600,-0.028012779,-0.11122262,-0.24096145,0.045568954,0.6705972,0.06598418
NPAS2,-0.064801216,0.08434361,0.05047015,0.057446748,0.20359097,-0.015412448
JARID2,-0.12796614,0.00068199926,0.16689132,-0.34380838,0.58537585,0.493927
ZNF142,-0.020442894,-0.011422325,0.08490185,0.035129566,0.9524118,-0.003193731
ZNF84,-0.037477426,-0.10489517,0.048782583,0.040219057,0.24344155,0.08221006
GATAD1,0.03038213,-0.18082967,-0.39507785,0.15248324,0.010408706,-0.0656803
NCOR1,0.176115,-0.3082212,-0.48837546,0.023759443,0.31129053,-0.07730299
MYCN,0.28834853,0.07919089,0.015334744,-0.55592686,1.0881511,0.036153246
PURB,-0.08158673,-0.105757214,-0.3104095,0.08043461,0.14193082,0.11195215
ZBTB45,0.1080847,-0.118472785,-0.023830922,0.05776899,-0.18332359,-0.13101
ZBTB7C,-0.13041894,-0.0944012,-0.20199892,0.34244168,-0.0775847,-0.06443322
SMARCA1,-0.030336475,-0.2092304,0.018524848,0.21921854,-0.3232097,-0.020936575
ELK1,0.09946765,-0.131027,-0.07532411,0.08162393,-0.0022866598,-0.13356344
ZNF518A,0.002588024,-0.003649439,-0.3296467,-0.16858703,0.59410113,0.15052867
ZSCAN9,0.017384643,-0.08116747,0.103098236,0.038258508,0.49922535,-0.012386392
POU3F1,-0.027628198,-0.030504053,-0.039018918,0.0026491168,-0.03901891,-0.036287215
KLF16,-0.08507227,-0.03316234,0.58184,0.0579216,0.024878025,0.08732993
ZNF282,-0.05793454,-0.07768749,0.13973302,0.07854622,0.14888437,0.05926126
KDM5A,-0.001043728,-0.12171818,-0.17735246,-0.08470183,0.5939397,0.15373316
ZNF77,-0.027357195,-0.042894036,0.04094902,0.04433543,0.04149912,0.025666904
TBX6,0.018381694,-0.033560324,-0.09824599,0.05646666,-0.098246016,-0.081691295
ZNF575,0.03862809,-0.06314215,-0.10623536,-0.04933442,-0.10623535,0.015701966
E2F2,0.071064174,-0.11560469,-0.2409927,0.19359028,-0.24099268,-0.2026789
ZNF440,-0.05080247,-0.039867416,-0.100740306,-0.049549058,0.67219764,0.13955706
