,gene,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencySecondBest,geneFrequencyGlobal,secondBestClusterName,tfidf,idf,qval
485,YDJC,0,0.59832223,0.295366034,0.748538012,0.345817241,14,0.635325379,1.06184485,0
486,LACTB,0,0.439427585,0.194897708,0.461988304,0.235619196,14,0.635209426,1.445538352,0
487,PLBD1,0,0.695410807,0.34237121,0.685714286,0.401162791,15,0.635179867,0.913387972,0
488,CCDC167,0,0.590673575,0.291496179,0.684210526,0.341318103,14,0.634938879,1.074940382,0
489,PBXIP1,0,0.435233161,0.192013803,0.34502924,0.232517052,14,0.63491453,1.458791717,0
490,CLPTM1L,0,0.647051567,0.320606359,0.742690058,0.374969184,14,0.634700279,0.980911432,0
491,CETN2,0,0.45460153,0.206408676,0.450292398,0.247740159,14,0.634339531,1.395374826,0
492,AKT1,0,0.586109055,0.289598225,0.801169591,0.338976087,14,0.634067847,1.081825715,0
493,CFAP20,0,0.528127313,0.255780133,0.608187135,0.301134029,14,0.633858313,1.200199834,0
494,VARS,0,0.427831236,0.18733054,0.461988304,0.22738105,14,0.633672837,1.481128034,0
495,FAM43A,0,0.558351838,0.274439241,0.801165331,0.321719122,4,0,0.633213645,1.134076405
496,SOWAHC,0,0.426967678,0.187108701,0.584795322,0.227052346,14,0.633011473,1.482574688,0
497,UBXN11,0,0.303108808,0.088094651,0.34502924,0.123900896,14,0.63297402,2.088273261,0
498,PMM1,0,0.651986183,0.324303673,0.777777778,0.378872545,14,0.632788726,0.970555423,0
499,CAMTA1,0,0.631137429,0.314345576,0.789473684,0.36710083,14,0.632474637,1.002118728,0
500,PALLD,0,0.627436467,0.312644811,0.701754386,0.365066973,14,0.632251699,1.007674453,0
501,TAF5L,0,0.492351345,0.233842741,0.584795322,0.276892103,14,0.632241837,1.284127369,0
502,TGFB1,0,0.936096718,0.423736751,0.869791667,0.509059906,8,0.632042746,0.675189575,0
