"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ATF5_E"	"ATF5_E"	328	10.0446635614515	9.69780364849166e-24	2.20187836937065e-22
"PURA_E"	"PURA_E"	440	-10.0057130516175	1.4385160704736e-23	3.2134592864612e-22
"TSHZ3_E"	"TSHZ3_E"	899	9.96984105548949	2.06559129165699e-23	4.5410221253094e-22
"NFX1_E"	"NFX1_E"	618	-9.95524659428168	2.39229052205046e-23	5.17706620787482e-22
"ZSCAN5A_E"	"ZSCAN5A_E"	476	9.95160908364535	2.48138136326523e-23	5.28725105864976e-22
"ZNF33B_E"	"ZNF33B_E"	475	-9.91176591304612	3.70046893738504e-23	7.76537799739133e-22
"AEBP2_E"	"AEBP2_E"	726	-9.77159674415052	1.49083654685833e-22	3.08180390656535e-21
"KDM2A_E"	"KDM2A_E"	599	-9.69580320131673	3.14155985034093e-22	6.39861822459146e-21
"ZNF254_E"	"ZNF254_E"	186	-9.64303138660961	5.26109302789572e-22	1.05603099183124e-20
"ZNF529_E"	"ZNF529_E"	435	-9.63165777357857	5.87735158460215e-22	1.16287599209628e-20
"RBAK_E"	"RBAK_E"	285	-9.5776201526602	9.93067502093429e-22	1.93718097239352e-20
"ZNF621_E"	"ZNF621_E"	305	-9.51844542311778	1.75788988959713e-21	3.38149652373892e-20
"POGZ_E"	"POGZ_E"	769	-9.4533743716664	3.28080050472141e-21	6.22453246443719e-20
"ZNF26_E"	"ZNF26_E"	514	-9.44778402457056	3.46079538070417e-21	6.47729946253416e-20
"ZNF585A_E"	"ZNF585A_E"	240	-9.44605236750476	3.51850672231928e-21	6.4975090805496e-20
"ZBED5_E"	"ZBED5_E"	390	-9.41635662300117	4.67012045901451e-21	8.51068004701987e-20
"L3MBTL1_E"	"L3MBTL1_E"	661	-9.3299417020664	1.05929155978237e-20	1.90534910428387e-19
"ZFP62_E"	"ZFP62_E"	395	-9.29420677424253	1.48307900421402e-20	2.63341592414925e-19
"IRF6_E"	"IRF6_E"	498	-9.27203155786264	1.82633606266377e-20	3.20186765416369e-19
"RC3H2_E"	"RC3H2_E"	886	-9.21520941522688	3.10671282151337e-20	5.37849657224502e-19
"ZNF548_E"	"ZNF548_E"	202	-9.17968484201973	4.32354936539696e-20	7.39273564330221e-19
"ZNF726_E"	"ZNF726_E"	174	-9.13635548907264	6.45924502073132e-20	1.09098223825767e-18
"PURB_E"	"PURB_E"	448	-9.12576352974849	7.1232348456412e-20	1.18863617604977e-18
"MEIS3_E"	"MEIS3_E"	949	9.11410614902344	7.9321625335695e-20	1.30786251297545e-18
"ZNF7_E"	"ZNF7_E"	376	-9.09785678736873	9.21318771447845e-20	1.50120764524149e-18
"ZKSCAN8_E"	"ZKSCAN8_E"	401	-9.0794464837291	1.09128398423445e-19	1.75747478856363e-18
"ZNF131_E"	"ZNF131_E"	658	-8.982116299115	2.65607871301992e-19	4.2283551925662e-18
"IKZF2_E"	"IKZF2_E"	184	-8.95463433946174	3.40863482316177e-19	5.36472639781711e-18
"ZFP14_E"	"ZFP14_E"	399	-8.94517743778007	3.71352671440902e-19	5.77891516792864e-18
"ZNF343_E"	"ZNF343_E"	360	-8.93135334267307	4.20828658194779e-19	6.47608546221965e-18
"ZNF787_E"	"ZNF787_E"	660	8.92001893056497	4.66208513677058e-19	7.09559111475523e-18
"ZBTB42_E"	"ZBTB42_E"	599	8.89555273398443	5.81292461683135e-19	8.75097890686025e-18
"ZNF678_E"	"ZNF678_E"	350	-8.88433659638687	6.43033252457436e-19	9.57635542638225e-18
"ZNF525_E"	"ZNF525_E"	170	-8.82731332862112	1.07220116915675e-18	1.57978576519372e-17
"PHTF1_E"	"PHTF1_E"	578	8.81163019353352	1.23338926064119e-18	1.79815171156637e-17
"ZFP30_E"	"ZFP30_E"	177	-8.80727572241303	1.28224018475761e-18	1.84989859988467e-17
"ZNF93_E"	"ZNF93_E"	58	8.69594243485772	3.4396280508331e-18	4.91122149526169e-17
"ZNF345_E"	"ZNF345_E"	299	-8.64559837711637	5.35240620505937e-18	7.56436999388492e-17
"ZNF558_E"	"ZNF558_E"	320	-8.63517350246131	5.86379695812244e-18	8.20339271414099e-17
"NFXL1_E"	"NFXL1_E"	465	-8.62166749892878	6.59860745052268e-18	9.13907131897392e-17
"MIER3_E"	"MIER3_E"	477	-8.59008255935973	8.69068555713477e-18	1.19174252441898e-16
"ZNF616_E"	"ZNF616_E"	258	-8.57070149285413	1.0285654664613e-17	1.39663055985187e-16
"ZNF283_E"	"ZNF283_E"	220	-8.54438752928092	1.29219740178894e-17	1.73756640920163e-16
"ZNF675_E"	"ZNF675_E"	361	-8.52837288947823	1.48420460096018e-17	1.97656093493254e-16
"NFKBIE_E"	"NFKBIE_E"	649	8.49033459491539	2.06043015743401e-17	2.69624898052706e-16
"ZNF606_E"	"ZNF606_E"	254	8.49015847177355	2.06355517643226e-17	2.69624898052706e-16
"ZNF420_E"	"ZNF420_E"	180	-8.44669191388502	2.99673186158551e-17	3.87894731616443e-16
"ZNF891_E"	"ZNF891_E"	243	-8.44277145164852	3.09900665308421e-17	3.97418908752003e-16
"PRDM10_E"	"PRDM10_E"	221	-8.42075872910485	3.74053881513918e-17	4.75288647611721e-16
