"Regulon"	"Size"	"NES"	"p.value"	"FDR"
"ZNF646_E"	"ZNF646_E"	423	-9.02187318719419	1.84900181756134e-19	4.22396387418758e-18
"PSPC1_E"	"PSPC1_E"	824	-9.02120158559968	1.86037398068911e-19	4.22396387418758e-18
"ZNF343_E"	"ZNF343_E"	362	-8.99193849905795	2.42907634990914e-19	5.42624313649058e-18
"GMEB1_E"	"GMEB1_E"	810	-8.92451919727245	4.4763938057451e-19	9.84096098564598e-18
"ZNF121_E"	"ZNF121_E"	821	-8.8978445633943	5.69416879559756e-19	1.23225371592228e-17
"PURB_E"	"PURB_E"	448	-8.89185934049658	6.00947365232922e-19	1.28048015515015e-17
"ZFP41_E"	"ZFP41_E"	422	-8.87731144005766	6.84958167865244e-19	1.43737433711116e-17
"PRDM2_E"	"PRDM2_E"	335	-8.82821146060314	1.06362823361603e-18	2.19869418441523e-17
"ZNF800_E"	"ZNF800_E"	775	-8.8004662219786	1.36248922855872e-18	2.77506997287328e-17
"GATAD2A_E"	"GATAD2A_E"	958	8.76634431299705	1.8456102373797e-18	3.70459446198679e-17
"IKZF5_E"	"IKZF5_E"	453	-8.75748021428173	1.99663508536248e-18	3.95048513318148e-17
"ZBTB43_E"	"ZBTB43_E"	360	-8.66144386268437	4.65825911368005e-18	8.97646889756337e-17
"FIZ1_E"	"FIZ1_E"	722	8.6612432015628	4.66646758573691e-18	8.97646889756337e-17
"ZGPAT_E"	"ZGPAT_E"	589	8.59401503378116	8.39820305751241e-18	1.59335770337735e-16
"ZNF440_E"	"ZNF440_E"	411	-8.58631511949663	8.9803141494577e-18	1.68077501310796e-16
"ZBTB21_E"	"ZBTB21_E"	383	-8.56876596917401	1.04599866501212e-17	1.93161086805571e-16
"ZNF507_E"	"ZNF507_E"	468	-8.53104188824444	1.4503550455645e-17	2.6430812343511e-16
"ZNF26_E"	"ZNF26_E"	516	-8.52059438973251	1.58736537871562e-17	2.85519616820927e-16
"ZNF324_E"	"ZNF324_E"	684	-8.44638737792857	3.00455568521251e-17	5.33501233848631e-16
"ZNF451_E"	"ZNF451_E"	568	-8.43975740229537	3.17996977230462e-17	5.57501029701507e-16
"KAT6A_E"	"KAT6A_E"	527	-8.41131164209762	4.05450874085289e-17	7.01936825760157e-16
"GRHL3_E"	"GRHL3_E"	349	-8.15783762163644	3.41075621478279e-16	5.8319720462644e-15
"ZNF76_E"	"ZNF76_E"	1214	-8.15271215071197	3.55851927019198e-16	6.01042584050719e-15
"ADNP2_E"	"ADNP2_E"	272	-8.12957672965545	4.30792005299742e-16	7.18851719686918e-15
"ZNF354B_E"	"ZNF354B_E"	387	-8.12560551857561	4.4513454832448e-16	7.33942082654053e-15
"ZNF212_E"	"ZNF212_E"	293	-8.09587180349578	5.68556753630207e-16	9.26413063268043e-15
"ZNF319_E"	"ZNF319_E"	363	-8.06617695252828	7.25336595651183e-16	1.16812928485685e-14
"ZFP91_E"	"ZFP91_E"	1031	-8.06038247637562	7.60561022939015e-16	1.21077818019602e-14
"ARID4B_E"	"ARID4B_E"	557	-8.02745337180176	9.95167733486995e-16	1.5662583078176e-14
"ZNF653_E"	"ZNF653_E"	462	7.9915836465085	1.33216283160854e-15	2.07308485593014e-14
"ZNF552_E"	"ZNF552_E"	269	-7.96011250991454	1.71882914632813e-15	2.60615458762133e-14
"ZNF770_E"	"ZNF770_E"	1374	-7.95928408143369	1.7303754294415e-15	2.60615458762133e-14
"ETV3_E"	"ETV3_E"	751	7.95922769730017	1.73116405820334e-15	2.60615458762133e-14
"MTF1_E"	"MTF1_E"	1381	-7.95452513616038	1.7981986368231e-15	2.67796248602149e-14
"ZBED4_E"	"ZBED4_E"	809	-7.9492943220732	1.87576925652888e-15	2.76376640456649e-14
"ZNF764_E"	"ZNF764_E"	152	-7.94264919528862	1.97908084422863e-15	2.88529154658595e-14
