,ME
ZNF518A,ME_2_inv_front
ZNF528,ME_2_inv_front
ZNF552,ME_2_inv_front
ZNF569,ME_2_inv_front
ZNF578,ME_2_inv_front
ZNF586,ME_2_inv_front
ZNF611,ME_2_inv_front
ZNF614,ME_2_inv_front
ZNF621,ME_2_inv_front
ZNF652,ME_2_inv_front
ZNF654,ME_2_inv_front
ZNF675,ME_2_inv_front
ZNF680,ME_2_inv_front
ZNF682,ME_2_inv_front
ZNF69,ME_2_inv_front
ZNF692,ME_2_inv_front
ZNF717,ME_2_inv_front
ZNF736,ME_2_inv_front
ZNF765,ME_2_inv_front
ZNF782,ME_2_inv_front
ZNF790,ME_2_inv_front
ZNF791,ME_2_inv_front
ZNF813,ME_2_inv_front
ZNF860,ME_2_inv_front
ZNF91,ME_2_inv_front
ZNFX1,ME_2_inv_front
ZSCAN5A,ME_2_inv_front
ASCL2,ME_3_fusion
BCL11A,ME_3_fusion
BCL6,ME_3_fusion
CEBPA,ME_3_fusion
CEBPB,ME_3_fusion
CEBPD,ME_3_fusion
CREBL2,ME_3_fusion
DLX3,ME_3_fusion
DLX4,ME_3_fusion
DLX6,ME_3_fusion
E2F6,ME_3_fusion
ELK4,ME_3_fusion
ESR1,ME_3_fusion
FLI1,ME_3_fusion
FOSB,ME_3_fusion
FOXJ2,ME_3_fusion
GATA2,ME_3_fusion
IRF1,ME_3_fusion
IRF7,ME_3_fusion
IRX2,ME_3_fusion
JUND,ME_3_fusion
KLF10,ME_3_fusion
KLF16,ME_3_fusion
LHX4,ME_3_fusion
MAZ,ME_3_fusion
MLXIP,ME_3_fusion
MYCL,ME_3_fusion
NFE2L1,ME_3_fusion
NFKBIA,ME_3_fusion
NFKBIL1,ME_3_fusion
NR2F6,ME_3_fusion
PEG3,ME_3_fusion
PURA,ME_3_fusion
PURB,ME_3_fusion
RXRA,ME_3_fusion
SCX,ME_3_fusion
SNAI1,ME_3_fusion
SREBF1,ME_3_fusion
SRF,ME_3_fusion
STAT5A,ME_3_fusion
TCF21,ME_3_fusion
THAP3,ME_3_fusion
THAP7,ME_3_fusion
USF2,ME_3_fusion
XBP1,ME_3_fusion
YBX1,ME_3_fusion
ZBED1,ME_3_fusion
ZBED5,ME_3_fusion
ZNF217,ME_3_fusion
ZNF263,ME_3_fusion
ZNF444,ME_3_fusion
ZNF514,ME_3_fusion
ZNF518B,ME_3_fusion
ZNF655,ME_3_fusion
ZNF664,ME_3_fusion
ZNF668,ME_3_fusion
ARID3B,ME_4_artery_remodelling
ATF6,ME_4_artery_remodelling
CREB3L2,ME_4_artery_remodelling
CSRNP1,ME_4_artery_remodelling
DMAP1,ME_4_artery_remodelling
DNMT3A,ME_4_artery_remodelling
ELK3,ME_4_artery_remodelling
ESR2,ME_4_artery_remodelling
GATA6,ME_4_artery_remodelling
GMEB2,ME_4_artery_remodelling
HES2,ME_4_artery_remodelling
HES4,ME_4_artery_remodelling
HMGA2,ME_4_artery_remodelling
ID2,ME_4_artery_remodelling
ID3,ME_4_artery_remodelling
IRF8,ME_4_artery_remodelling
JDP2,ME_4_artery_remodelling
KLF3,ME_4_artery_remodelling
KLF9,ME_4_artery_remodelling
MEF2A,ME_4_artery_remodelling
MYCN,ME_4_artery_remodelling
NCOR2,ME_4_artery_remodelling
NFAT5,ME_4_artery_remodelling
NFIC,ME_4_artery_remodelling
PAX8,ME_4_artery_remodelling
PBX3,ME_4_artery_remodelling
PLAGL1,ME_4_artery_remodelling
REST,ME_4_artery_remodelling
RORA,ME_4_artery_remodelling
SOX5,ME_4_artery_remodelling
TBX1,ME_4_artery_remodelling
TCF7L1,ME_4_artery_remodelling
TEAD2,ME_4_artery_remodelling
TSHZ2,ME_4_artery_remodelling
USF1,ME_4_artery_remodelling
ZBTB1,ME_4_artery_remodelling
ZBTB21,ME_4_artery_remodelling
ZBTB7A,ME_4_artery_remodelling
ZFP2,ME_4_artery_remodelling
ZKSCAN1,ME_4_artery_remodelling
ZKSCAN8,ME_4_artery_remodelling
ZNF121,ME_4_artery_remodelling
ZNF140,ME_4_artery_remodelling
ZNF208,ME_4_artery_remodelling
ZNF211,ME_4_artery_remodelling
ZNF24,ME_4_artery_remodelling
ZNF248,ME_4_artery_remodelling
ZNF25,ME_4_artery_remodelling
ZNF277,ME_4_artery_remodelling
ZNF280C,ME_4_artery_remodelling
ZNF398,ME_4_artery_remodelling
ZNF420,ME_4_artery_remodelling
ZNF423,ME_4_artery_remodelling
ZNF451,ME_4_artery_remodelling
ZNF491,ME_4_artery_remodelling
ZNF561,ME_4_artery_remodelling
ZNF562,ME_4_artery_remodelling
ZNF570,ME_4_artery_remodelling
ZNF600,ME_4_artery_remodelling
ZNF641,ME_4_artery_remodelling
ZNF674,ME_4_artery_remodelling
ZNF766,ME_4_artery_remodelling
ZNF780A,ME_4_artery_remodelling
ZNF836,ME_4_artery_remodelling
ZNF845,ME_4_artery_remodelling
ZNF846,ME_4_artery_remodelling
ZSCAN21,ME_4_artery_remodelling
