,Empty_droplet_sum,Nuclei_sum,Soup_probability,Selected
AL591503.1,19.0,34.0,0.3584905660377358,False
AL591504.2,2.0,0.0,1.0,False
AL591506.1,145.0,268.0,0.3510895883777239,True
AL591518.1,849.0,2061.0,0.2917525773195876,True
AL591519.1,177.0,181.0,0.494413407821229,False
AL591543.1,18.0,37.0,0.3272727272727272,True
AL591623.1,35.0,98.0,0.2631578947368421,True
AL591684.1,168.0,463.0,0.2662440570522979,True
AL591686.1,27.0,31.0,0.4655172413793103,False
AL591686.2,124.0,363.0,0.2546201232032854,True
AL591721.1,52.0,103.0,0.3354838709677419,True
AL591742.2,0.0,3.0,0.0,True
AL591767.1,327.0,498.0,0.3963636363636363,False
AL591770.1,2.0,0.0,1.0,False
AL591806.1,338.0,722.0,0.3188679245283018,True
AL591806.3,863.0,1755.0,0.3296409472880061,True
AL591845.1,3549.0,9609.0,0.2697218422252622,True
AL591846.2,5.0,0.0,1.0,False
AL591848.2,1146.0,3640.0,0.2394483911408274,True
AL591848.3,137.0,226.0,0.3774104683195592,False
AL591848.4,1030.0,1912.0,0.3501019714479945,True
AL591885.1,1624.0,4295.0,0.2743706707214056,True
AL591888.1,34.0,12.0,0.7391304347826086,False
AL591895.1,1872.0,5356.0,0.2589928057553957,True
AL591896.1,9.0,19.0,0.3214285714285714,True
AL591926.2,114.0,448.0,0.2028469750889679,True
AL592043.1,333.0,761.0,0.3043875685557586,True
AL592071.1,14.0,10.0,0.5833333333333334,False
AL592078.1,3.0,18.0,0.1428571428571428,True
AL592078.2,1.0,0.0,1.0,False
AL592114.3,9.0,33.0,0.2142857142857142,True
AL592146.1,3.0,4.0,0.4285714285714285,False
AL592146.2,11.0,20.0,0.3548387096774194,False
AL592148.3,233.0,348.0,0.4010327022375215,False
AL592156.2,73.0,82.0,0.4709677419354838,False
AL592161.1,4.0,0.0,1.0,False
AL592164.1,14.0,9.0,0.6086956521739131,False
AL592166.1,314.0,642.0,0.3284518828451883,True
AL592182.1,5.0,0.0,1.0,False
AL592182.2,5.0,0.0,1.0,False
AL592182.3,2.0,0.0,1.0,False
AL592183.1,8477.0,19349.0,0.304643139509811,True
AL592211.1,360.0,888.0,0.2884615384615384,True
AL592211.2,5.0,7.0,0.4166666666666667,False
AL592287.1,177.0,252.0,0.4125874125874126,False
AL592295.3,535.0,1404.0,0.2759154203197524,True
AL592295.4,1023.0,2374.0,0.3011480718280836,True
AL592295.5,24.0,49.0,0.3287671232876712,True
AL592301.1,2.0,0.0,1.0,False
AL592309.2,15.0,23.0,0.3947368421052631,False
AL592402.1,131.0,232.0,0.3608815426997245,False
AL592424.1,4.0,0.0,1.0,False
AL592429.2,217.0,317.0,0.4063670411985018,False
AL592430.1,1489.0,4397.0,0.2529731566428814,True
AL592430.2,88.0,322.0,0.2146341463414634,True
AL592431.1,47.0,97.0,0.3263888888888889,True
AL592435.1,48.0,74.0,0.3934426229508196,False
AL592435.2,5.0,6.0,0.4545454545454545,False
AL592463.1,340.0,1014.0,0.2511078286558346,True
AL592464.3,1.0,0.0,1.0,False
AL592466.1,7.0,6.0,0.5384615384615384,False
AL592486.1,43.0,67.0,0.3909090909090909,False
AL592490.1,1.0,3.0,0.25,True
AL592494.1,19.0,38.0,0.3333333333333333,True
AL592494.2,1.0,0.0,1.0,False
AL592494.3,14.0,15.0,0.4827586206896552,False
AL592528.1,31.0,60.0,0.3406593406593406,True
AL592546.1,27.0,94.0,0.2231404958677686,True
AL592546.2,8.0,17.0,0.32,True
AL592546.3,25.0,67.0,0.2717391304347826,True
AL593844.1,2.0,6.0,0.25,True
AL596087.2,33.0,47.0,0.4125,False
AL596094.1,59.0,120.0,0.329608938547486,True
AL596188.1,10.0,24.0,0.2941176470588235,True
AL596202.1,280.0,489.0,0.3641092327698309,False
AL596211.1,108.0,136.0,0.4426229508196721,False
AL596214.1,49.0,62.0,0.4414414414414414,False
AL596218.1,252.0,774.0,0.2456140350877192,True
AL596220.1,1183.0,1661.0,0.4159634317862166,False
AL596223.1,77.0,93.0,0.4529411764705882,False
AL596244.1,5.0,11.0,0.3125,True
AL596247.1,19.0,23.0,0.4523809523809524,False
AL596257.1,5.0,7.0,0.4166666666666667,False
AL596275.2,30.0,61.0,0.3296703296703296,True
AL596325.1,1.0,4.0,0.2,True
AL596325.2,41.0,130.0,0.239766081871345,True
AL596330.1,14.0,14.0,0.5,False
AL596330.2,9.0,12.0,0.4285714285714285,False
AL596442.1,2.0,0.0,1.0,False
AL596442.2,22.0,29.0,0.4313725490196078,False
AL596442.3,3.0,6.0,0.3333333333333333,True
AL596442.4,4.0,3.0,0.5714285714285714,False
AL596451.1,46.0,31.0,0.5974025974025974,False
AL603756.1,31.0,44.0,0.4133333333333333,False
AL603764.2,2.0,0.0,1.0,False
AL603783.1,8.0,16.0,0.3333333333333333,True
AL603824.1,9.0,22.0,0.2903225806451613,True
AL603832.1,235.0,1028.0,0.1860649247822644,True
AL603832.3,0.0,3.0,0.0,True
AL603839.2,21.0,38.0,0.3559322033898305,False
AL603839.3,2009.0,4632.0,0.3025146815238669,True
AL603840.1,2157.0,5282.0,0.2899583277322221,True
AL603910.1,45.0,45.0,0.5,False
AL604028.1,65.0,94.0,0.4088050314465409,False
AL606468.1,219.0,572.0,0.2768647281921618,True
AL606469.1,10.0,0.0,1.0,False
AL606489.1,2524.0,6340.0,0.2847472924187725,True
AL606491.1,195.0,574.0,0.2535760728218466,True
AL606500.1,1.0,9.0,0.1,True
AL606516.1,135.0,241.0,0.3590425531914893,False
AL606519.1,31.0,52.0,0.3734939759036144,False
AL606534.1,185.0,440.0,0.296,True
AL606534.2,47.0,87.0,0.3507462686567164,True
AL606537.1,4.0,0.0,1.0,False
AL606748.1,1.0,0.0,1.0,False
AL606753.2,4.0,0.0,1.0,False
AL606760.1,213.0,529.0,0.2870619946091644,True
AL606760.2,231.0,526.0,0.3051519154557464,True
AL606760.3,12.0,54.0,0.1818181818181818,True
AL606763.1,12.0,35.0,0.2553191489361702,True
AL606804.1,73.0,97.0,0.4294117647058823,False
AL606807.1,719.0,1568.0,0.3143856580673371,True
AL606834.1,50.0,99.0,0.3355704697986577,True
AL606834.2,68.0,87.0,0.4387096774193548,False
AL606923.2,54.0,40.0,0.574468085106383,False
AL606970.1,2.0,12.0,0.1428571428571428,True
AL606970.2,1.0,0.0,1.0,False
AL606970.3,38.0,93.0,0.2900763358778626,True
AL606970.4,1.0,0.0,1.0,False
AL607028.1,20.0,57.0,0.2597402597402597,True
AL611929.1,6.0,10.0,0.375,False
AL626787.1,7.0,20.0,0.2592592592592592,True
AL627095.2,2.0,0.0,1.0,False
AL627171.1,171.0,379.0,0.3109090909090909,True
AL627171.2,11710.0,12017.0,0.493530576979812,False
AL627230.1,1.0,0.0,1.0,False
AL627232.1,26.0,31.0,0.4561403508771929,False
AL627308.3,3.0,9.0,0.25,True
AL627309.1,1000.0,2288.0,0.3041362530413625,True
AL627309.2,2.0,14.0,0.125,True
AL627309.3,4.0,6.0,0.4,False
AL627309.4,13.0,18.0,0.4193548387096774,False
AL627309.5,170.0,285.0,0.3736263736263736,False
AL627316.1,11.0,17.0,0.3928571428571428,False
AL627422.2,497.0,1195.0,0.2937352245862884,True
AL627443.1,9.0,0.0,1.0,False
AL645465.1,2147.0,5047.0,0.2984431470670002,True
AL645504.1,49.0,300.0,0.1404011461318051,True
AL645507.1,7.0,8.0,0.4666666666666667,False
AL645568.1,8511.0,19346.0,0.3055246437161216,True
AL645608.1,12.0,31.0,0.2790697674418604,True
AL645608.2,34.0,79.0,0.3008849557522124,True
AL645608.3,4.0,6.0,0.4,False
AL645608.6,8.0,14.0,0.3636363636363636,False
AL645608.7,41.0,64.0,0.3904761904761905,False
AL645608.8,44.0,86.0,0.3384615384615385,True
AL645634.1,1.0,0.0,1.0,False
AL645634.2,2.0,0.0,1.0,False
AL645728.1,149.0,257.0,0.3669950738916256,False
AL645768.1,3.0,5.0,0.375,False
AL645922.1,5.0,6.0,0.4545454545454545,False
AL645924.1,1.0,0.0,1.0,False
AL645929.2,9.0,10.0,0.4736842105263157,False
AL645933.2,136.0,154.0,0.4689655172413793,False
AL645933.3,19.0,21.0,0.475,False
AL645937.2,86.0,169.0,0.3372549019607843,True
AL645937.4,8.0,40.0,0.1666666666666666,True
AL645939.4,15.0,8.0,0.6521739130434783,False
AL645939.5,8.0,22.0,0.2666666666666666,True
AL645940.1,109.0,217.0,0.3343558282208589,True
AL645941.1,1.0,0.0,1.0,False
AL645941.2,75.0,122.0,0.3807106598984771,False
AL645941.3,3.0,7.0,0.3,True
AL645944.2,22.0,60.0,0.2682926829268293,True
AL646090.1,3.0,0.0,1.0,False
AL646090.2,18.0,7.0,0.72,False
AL662791.1,31.0,69.0,0.31,True
AL662791.2,33.0,53.0,0.3837209302325581,False
AL662796.1,1209.0,2217.0,0.3528896672504378,True
AL662797.1,43.0,94.0,0.3138686131386861,True
AL662820.1,8.0,8.0,0.5,False
AL662844.3,8.0,4.0,0.6666666666666666,False
AL662844.4,138.0,120.0,0.5348837209302325,False
AL662860.1,10.0,0.0,1.0,False
AL662873.1,2.0,0.0,1.0,False
AL662884.1,1.0,4.0,0.2,True
AL662884.3,22.0,38.0,0.3666666666666666,False
AL662884.4,49.0,134.0,0.2677595628415301,True
AL662884.5,7.0,15.0,0.3181818181818182,True
AL662889.1,9.0,19.0,0.3214285714285714,True
AL662890.1,9.0,0.0,1.0,False
AL662899.1,70.0,90.0,0.4375,False
AL662907.3,77.0,213.0,0.2655172413793103,True
AL663023.1,23.0,38.0,0.3770491803278688,False
AL663058.2,5.0,5.0,0.5,False
AL663074.1,81.0,135.0,0.375,False
AL669831.2,12.0,32.0,0.2727272727272727,True
AL669831.5,5609.0,11993.0,0.3186569707987728,True
AL669841.1,11.0,77.0,0.125,True
AL669918.1,45.0,89.0,0.3358208955223881,True
AL669970.1,26.0,53.0,0.3291139240506329,True
AL669970.3,30.0,57.0,0.3448275862068966,True
AL670729.1,24.0,77.0,0.2376237623762376,True
AL670729.2,34.0,53.0,0.3908045977011494,False
AL670729.3,55.0,59.0,0.4824561403508772,False
AL671710.1,89.0,224.0,0.2843450479233226,True
AL671883.3,2.0,0.0,1.0,False
AL672032.1,50.0,115.0,0.303030303030303,True
AL672142.1,51.0,136.0,0.2727272727272727,True
AL672277.1,166.0,650.0,0.2034313725490196,True
AL672291.1,26.0,56.0,0.3170731707317073,True
AL672310.1,95.0,183.0,0.3417266187050359,True
AL683807.1,1917.0,5477.0,0.2592642683256694,True
AL683807.2,42.0,128.0,0.2470588235294117,True
AL683813.1,1711.0,3591.0,0.3227084119200302,True
AL691403.1,798.0,2066.0,0.2786312849162011,True
AL691403.2,18.0,26.0,0.4090909090909091,False
AL691420.1,14341.0,42372.0,0.2528697124116164,True
AL691426.1,64.0,157.0,0.2895927601809955,True
AL691432.2,814.0,1277.0,0.3892874222859875,False
AL691432.4,7.0,11.0,0.3888888888888889,False
AL691442.1,10.0,13.0,0.4347826086956521,False
AL691447.2,479.0,1032.0,0.3170086035737922,True
AL691497.1,3.0,0.0,1.0,False
AL691515.1,10.0,7.0,0.5882352941176471,False
AL691515.2,5.0,4.0,0.5555555555555556,False
AL691520.1,148.0,277.0,0.348235294117647,True
AL713851.1,104.0,102.0,0.5048543689320388,False
AL713852.1,78.0,131.0,0.3732057416267942,False
AL713852.2,6.0,5.0,0.5454545454545454,False
AL713866.1,1.0,0.0,1.0,False
AL713923.1,9.0,15.0,0.375,False
AL713998.1,7.0,0.0,1.0,False
AL713998.3,1.0,0.0,1.0,False
AL713998.4,8.0,3.0,0.7272727272727273,False
AL713999.1,305.0,155.0,0.6630434782608695,False
AL731533.2,43.0,58.0,0.4257425742574257,False
