,Empty_droplet_sum,Nuclei_sum,Soup_probability
NARF-IT1,3.0,16.0,0.15789473684210525
NARFL,1382.0,3394.0,0.28936348408710216
NARS,9685.0,14053.0,0.4079956188389923
NARS2,20037.0,41335.0,0.32648439027569576
NASP,27102.0,58724.0,0.3157784354391443
NAT1,996.0,1414.0,0.41327800829875516
NAT10,5245.0,11456.0,0.314053050715526
NAT14,1053.0,1715.0,0.3804190751445087
NAT16,10.0,9.0,0.5263157894736842
NAT2,270.0,452.0,0.3739612188365651
NAT8,29.0,15.0,0.6590909090909091
NAT8L,45.0,44.0,0.5056179775280899
NAT9,4878.0,12717.0,0.2772378516624041
NATD1,886.0,1345.0,0.3971313312415957
NAV1,39430.0,121884.0,0.24443011765872769
NAV2,41501.0,108110.0,0.2773927050818456
NAV2-AS1,33.0,97.0,0.25384615384615383
NAV2-AS2,145.0,603.0,0.19385026737967914
NAV2-AS3,115.0,515.0,0.18253968253968253
NAV2-AS4,202.0,337.0,0.3747680890538033
NAV2-AS5,11.0,22.0,0.3333333333333333
NAV2-IT1,17.0,9.0,0.6538461538461539
NAV3,19468.0,25046.0,0.437345554207665
NAXD,4485.0,9816.0,0.3136144325571638
NAXE,2670.0,3126.0,0.4606625258799172
NBAS,51693.0,106053.0,0.3276976912251341
NBAT1,366.0,972.0,0.273542600896861
NBDY,18656.0,42805.0,0.30354208359772866
NBEA,7825.0,12258.0,0.38963302295473784
NBEAL1,90773.0,171805.0,0.34569918271903965
NBEAL2,2638.0,5563.0,0.32166808925740764
NBL1,2528.0,1905.0,0.5702684412361831
NBN,11667.0,19662.0,0.37240256631236235
NBPF1,5010.0,11091.0,0.3111607974659959
NBPF10,469.0,1651.0,0.22122641509433963
NBPF11,9001.0,24443.0,0.2691364669297931
NBPF12,4985.0,13427.0,0.2707473386921573
NBPF14,5078.0,13622.0,0.27155080213903743
NBPF15,5831.0,13968.0,0.2945098237284711
NBPF19,9514.0,21099.0,0.3107830006859831
NBPF20,405.0,990.0,0.2903225806451613
NBPF26,2642.0,6699.0,0.2828390964564822
NBPF3,5333.0,12025.0,0.30723585666551445
NBPF4,34.0,99.0,0.2556390977443609
NBPF6,10.0,25.0,0.2857142857142857
NBPF9,3442.0,8318.0,0.29268707482993195
NBR1,10801.0,20677.0,0.34312853421437195
NBR2,738.0,1552.0,0.3222707423580786
NCALD,59218.0,109986.0,0.34997990591238975
NCAM1,46476.0,50966.0,0.47696065351696393
NCAM1-AS1,38.0,77.0,0.33043478260869563
NCAM2,2583.0,1863.0,0.5809716599190283
NCAN,177.0,345.0,0.3390804597701149
NCAPD2,5849.0,11468.0,0.3377605820869666
NCAPD3,5927.0,13093.0,0.3116193480546793
NCAPG,4007.0,6814.0,0.3702984936697163
NCAPG2,5110.0,10417.0,0.32910414117343983
NCAPH,1551.0,2774.0,0.35861271676300577
NCAPH2,3438.0,5769.0,0.3734115347018573
NCBP1,10086.0,18850.0,0.34856234448437934
NCBP2,5176.0,7090.0,0.42197945540518506
NCBP2-AS1,45.0,155.0,0.225
NCBP2-AS2,2078.0,2909.0,0.416683376779627
NCBP2AS2,359.0,587.0,0.379492600422833
NCBP2L,25.0,20.0,0.5555555555555556
NCBP3,17032.0,42587.0,0.2856807393616129
NCCRP1,1076.0,1761.0,0.3792738808600635
NCDN,834.0,1224.0,0.40524781341107874
NCEH1,21620.0,48169.0,0.3097909412658155
NCF1,23451.0,55225.0,0.2980705678987239
NCF2,2337.0,3903.0,0.37451923076923077
NCF4,3775.0,8279.0,0.313174050107848
NCF4-AS1,5048.0,11640.0,0.3024928092042186
NCK1,26287.0,54032.0,0.3272824611860207
NCK1-DT,2898.0,4944.0,0.369548584544759
NCK2,15125.0,32010.0,0.3208868144690782
NCKAP1,60196.0,112231.0,0.3491100581695442
NCKAP1L,7921.0,13047.0,0.37776611980160246
NCKAP5,14520.0,25430.0,0.3634543178973717
NCKAP5-AS1,23.0,19.0,0.5476190476190477
NCKAP5-AS2,48.0,47.0,0.5052631578947369
NCKAP5L,4337.0,11263.0,0.2780128205128205
NCKIPSD,2210.0,4052.0,0.35292238901309486
NCL,20232.0,23776.0,0.4597345937102345
NCLN,5475.0,11458.0,0.32333313647906453
NCMAP,4495.0,10296.0,0.3039010208910824
NCMAP-DT,35.0,64.0,0.35353535353535354
NCOA1,76486.0,141987.0,0.3500936042440027
NCOA2,146188.0,285321.0,0.3387832003503983
NCOA3,136703.0,292703.0,0.31835372584453875
NCOA4,16869.0,24848.0,0.4043675240309706
NCOA5,10076.0,20733.0,0.32704729137589666
NCOA6,36694.0,80283.0,0.31368559631380527
NCOA7,12725.0,19192.0,0.39869035310336187
NCOA7-AS1,242.0,579.0,0.29476248477466505
NCOR1,51976.0,105601.0,0.3298450916060085
NCOR2,11852.0,34492.0,0.2557396858277231
NCR1,2230.0,2414.0,0.4801894918173988
NCR2,19.0,12.0,0.6129032258064516
NCR3,180.0,227.0,0.44226044226044225
NCR3LG1,562.0,1354.0,0.29331941544885176
NCS1,1625.0,3871.0,0.29566957787481807
NCSTN,12630.0,17071.0,0.42523820746776203
NDC1,6399.0,11764.0,0.35230964047789465
NDC80,2668.0,4123.0,0.39287292004123103
NDE1,3740.0,12251.0,0.23388155837658683
NDEL1,22451.0,54413.0,0.2920873230641132
NDFIP1,29431.0,46949.0,0.3853233830845771
NDFIP2,36492.0,61044.0,0.37413877952755903
NDFIP2-AS1,3.0,0.0,1.0
NDN,3120.0,2143.0,0.592817784533536
NDNF,714.0,863.0,0.4527584020291693
NDOR1,1436.0,3539.0,0.288643216080402
NDP,870.0,627.0,0.5811623246492986
NDP-AS1,62.0,58.0,0.5166666666666667
NDRG1,14376.0,20651.0,0.4104262426128415
NDRG2,1009.0,1236.0,0.4494432071269488
NDRG3,7710.0,15651.0,0.3300372415564402
NDRG4,164.0,278.0,0.37104072398190047
NDST1,5378.0,14034.0,0.27704512672573667
NDST1-AS1,278.0,597.0,0.3177142857142857
