,0
411,ZNF33B
412,ZNF34
413,ZNF341
414,ZNF345
415,ZNF347
416,ZNF35
417,ZNF350
418,ZNF354B
419,ZNF362
420,ZNF37A
421,ZNF384
422,ZNF391
423,ZNF394
424,ZNF397
425,ZNF398
426,ZNF407
427,ZNF414
428,ZNF417
429,ZNF418
430,ZNF420
431,ZNF423
432,ZNF425
433,ZNF429
434,ZNF43
435,ZNF430
436,ZNF432
437,ZNF433
438,ZNF439
439,ZNF44
440,ZNF440
441,ZNF443
442,ZNF444
443,ZNF445
444,ZNF446
445,ZNF451
446,ZNF460
447,ZNF461
448,ZNF462
449,ZNF467
450,ZNF468
451,ZNF471
452,ZNF485
453,ZNF493
454,ZNF496
455,ZNF500
456,ZNF506
457,ZNF507
458,ZNF510
459,ZNF511
460,ZNF512
461,ZNF512B
462,ZNF513
463,ZNF514
464,ZNF517
465,ZNF518A
466,ZNF518B
467,ZNF519
468,ZNF524
469,ZNF525
470,ZNF527
471,ZNF528
472,ZNF529
473,ZNF530
474,ZNF532
475,ZNF543
476,ZNF544
477,ZNF548
478,ZNF550
479,ZNF552
480,ZNF554
481,ZNF555
482,ZNF557
483,ZNF558
484,ZNF559
485,ZNF562
486,ZNF565
487,ZNF566
488,ZNF57
489,ZNF570
490,ZNF571
491,ZNF572
492,ZNF573
493,ZNF574
494,ZNF577
495,ZNF581
496,ZNF584
497,ZNF585A
498,ZNF585B
499,ZNF586
500,ZNF587
501,ZNF589
502,ZNF592
503,ZNF594
504,ZNF595
505,ZNF596
506,ZNF597
507,ZNF599
508,ZNF600
509,ZNF605
510,ZNF611
511,ZNF614
512,ZNF615
513,ZNF616
514,ZNF618
515,ZNF620
516,ZNF621
517,ZNF623
518,ZNF624
519,ZNF626
520,ZNF639
521,ZNF641
522,ZNF644
523,ZNF646
524,ZNF649
525,ZNF652
526,ZNF653
527,ZNF654
528,ZNF655
529,ZNF662
530,ZNF664
531,ZNF668
532,ZNF672
533,ZNF674
534,ZNF675
535,ZNF677
536,ZNF678
537,ZNF680
538,ZNF681
539,ZNF682
540,ZNF684
541,ZNF687
542,ZNF689
543,ZNF691
544,ZNF692
545,ZNF697
546,ZNF699
547,ZNF7
548,ZNF700
549,ZNF701
550,ZNF708
551,ZNF714
552,ZNF717
553,ZNF721
554,ZNF726
555,ZNF736
556,ZNF737
557,ZNF75A
558,ZNF75D
559,ZNF76
560,ZNF761
561,ZNF763
562,ZNF764
563,ZNF765
564,ZNF77
565,ZNF770
566,ZNF771
567,ZNF774
568,ZNF776
569,ZNF780B
570,ZNF782
571,ZNF785
572,ZNF789
573,ZNF790
574,ZNF791
575,ZNF793
576,ZNF799
577,ZNF8
578,ZNF800
579,ZNF805
580,ZNF808
581,ZNF81
582,ZNF813
583,ZNF814
584,ZNF816
585,ZNF823
586,ZNF827
587,ZNF829
588,ZNF83
589,ZNF836
590,ZNF84
591,ZNF841
592,ZNF844
593,ZNF845
594,ZNF880
595,ZNF883
596,ZNF891
597,ZNF90
598,ZNF91
599,ZNF92
600,ZNF93
601,ZNFX1
602,ZSCAN12
603,ZSCAN16
604,ZSCAN25
605,ZSCAN26
606,ZSCAN29
607,ZSCAN30
608,ZSCAN5A
609,ZXDB
610,ZXDC
