,VCT,VCT_CCC,EVT_1_like,EVT_early,EVT_mid,iEVT,EVT_late
BACH1,0.19718203,0.26405376,0.1923916,0.2958132,0.21808842,0.40825748,0.16793703
JUN,1.6158922,0.8284247,0.25031188,0.6152356,0.19883528,0.07097665,0.04336448
SP140L,0.18448183,0.18148436,0.16044848,0.18793173,0.1515938,0.2065947,0.13063712
KMT2B,0.1538265,0.14564419,0.12714468,0.15964481,0.11504672,0.24240641,0.07925412
ZFP42,0.059668306,0.018831495,0.08405903,0.022769129,0.05640122,0.038768556,0.036638595
THAP9,0.02142085,0.023217792,0.016621156,0.020758996,0.015881093,0.012954074,0.010047663
XBP1,0.6561091,0.98389673,1.2496893,1.3183366,1.2416898,0.9541073,1.013326
ZNF184,0.02269146,0.016974859,0.016810177,0.021431578,0.011902184,0.009202179,0.011376525
ZNF7,0.08490721,0.086372145,0.09873435,0.09129354,0.07693671,0.08453884,0.06274663
ZNF599,0.020984685,0.018057099,0.019773895,0.013441842,0.014559184,0.0135721825,0.016196374
HOPX,0.07233699,0.034157295,0.02216172,0.03214586,0.03181837,0.037664615,0.020046817
ZFP69,0.0052938843,0.00870014,0.01105525,0.0056343754,0.0075771986,0.007512995,0.00755714
EGR1,0.67144835,0.4799019,0.37619165,0.66047055,0.36651984,0.16107784,0.052332494
FOXP1,0.24636804,0.2175245,0.07755708,0.14028323,0.060021035,0.05039777,0.024245398
BBX,0.9099102,0.7478848,0.7009406,0.73802894,0.5903999,0.5769163,0.56751615
MYBL1,0.011637359,0.008407449,0.01834813,0.0046615554,0.0032715863,0.0054439795,0.0008860838
OVOL1,0.10814559,0.04133048,0.036410246,0.054046188,0.04026116,0.074222334,0.031770673
TEAD4,0.10184498,0.037525486,0.02376095,0.015631555,0.010591288,0.004839137,0.007905199
FOXN3,0.24427919,0.29855213,0.20109324,0.34704295,0.17650332,0.12313115,0.05968656
ZNF605,0.056981284,0.054523185,0.051535018,0.048557043,0.049659096,0.07784791,0.047784343
FOSL1,0.09362051,0.063600734,0.055118106,0.06764759,0.034722224,0.025681667,0.021478504
KLF6,0.77534485,1.050752,1.3427018,1.2820067,1.265406,1.15874,0.8699525
ZNF444,0.066099316,0.0940131,0.041438106,0.080956325,0.02691065,0.043598603,0.026344799
FOXC1,0.16727535,0.17563346,0.03213477,0.17788456,0.021438569,0.029313209,0.04397871
TADA2B,0.067875154,0.051872496,0.049042113,0.0807537,0.052372474,0.07240945,0.047134247
ZNF333,0.019810213,0.03204549,0.028476302,0.026845163,0.022861654,0.08746344,0.014603065
ZNF575,0.0043572504,0.0028890623,0.0024465753,0.003648468,0.0050860606,0.0030230084,0.0041765617
THAP6,0.07139869,0.092571765,0.076998316,0.10003057,0.06717408,0.084326155,0.056062892
ZNF16,0.019977804,0.022127258,0.022896644,0.018727712,0.020166738,0.018071972,0.010776861
LYAR,0.2645019,0.14515175,0.23333599,0.116760746,0.15810654,0.13881825,0.25451884
