,VCT_CCC,EVT_early,EVT,iEVT
ZNF292,0.3921394,0.4357879,-0.56518835,-0.5320318
ZNF654,0.03673301,0.14772852,-0.07537434,0.22234948
ZNF169,0.069691315,0.02997585,-0.024415413,0.15937844
OSR2,0.04019729,0.09147931,-0.08125554,-0.1213463
KAT6A,-0.0015572853,0.029094232,-0.06292387,0.3389484
ZNF624,0.02514198,0.06635752,0.004203741,-0.0050318935
ID4,-0.26847258,-0.17062595,0.026376396,0.48541087
SCX,0.013279265,0.010960155,-0.019447336,0.6635032
ZNF518A,0.047983985,0.025389986,0.04473378,0.8864958
ZNF701,0.0055943066,0.029514648,-0.13688324,0.3456641
NCOA1,0.022223558,0.13853194,0.20219882,0.67666817
IKZF3,-0.031329833,-0.0060804104,0.029962806,0.13053921
BATF3,0.08800121,0.1042866,-0.03554117,-0.07641465
ZNF107,0.054732587,-0.013965085,-0.05609457,0.3739694
HOXB6,-0.04815806,-0.020084776,0.09681941,0.37526527
ZNF623,0.04605541,0.04725205,-0.037874404,-0.020711314
ZNF350,0.037246704,0.13576236,-0.035202075,0.100840226
ZNF699,0.004140422,0.08334422,0.06480467,0.24053475
ZNF841,-0.03405054,0.18094441,0.086242266,0.647261
WIZ,0.017945506,-0.017202688,-0.0669096,0.17178847
PRDM2,0.017708588,0.023542404,-0.032711115,0.55279803
ZNF175,0.058828216,-0.11561673,-0.19055457,-0.111478806
HIVEP1,0.052400272,-0.11514845,-0.11284913,0.055836424
ZNF518B,0.02227011,0.057480965,-0.02465508,0.1743456
NCOA3,-0.29635024,-0.27273834,-0.3570588,0.0010612343
TFE3,0.03902257,-0.01807362,-0.19745271,-0.07858307
ZNF765,0.022330366,0.34336704,-0.16026124,-0.14500712
ZKSCAN8,0.0453459,0.03387282,-0.051193282,0.17308423
MTA2,-0.0049711475,-0.08694728,-0.09117583,0.11097671
KDM5B,0.07915323,0.18788967,-0.016825935,0.55909663
ZNF697,-0.092065476,-0.11446756,-0.09500747,0.3898441
FOXN2,0.0066097043,0.07606698,0.006399949,0.47277775
E4F1,-0.0541609,-0.059899814,-0.026304616,0.20624489
ZNF605,0.030043824,-0.0009389529,0.0021513053,0.16075112
SOX12,0.13816823,0.038177893,0.041166898,0.23257391
DLX3,-0.027196193,0.112255774,0.17059918,-0.04715941
GTF3A,0.031826846,0.018736895,0.19463287,-0.21416019
ZNF28,0.00325353,0.0040341956,-0.06753758,0.482697
ZNF506,0.09921829,0.08295338,-0.045683224,0.24529602
ZBED2,-0.003918221,-0.021868233,-0.0196231,-0.02526317
IRX4,0.45623288,0.037431896,-0.1889921,-0.23433082
ZBTB48,0.022705203,0.025587296,0.012292047,0.3121212
ASCL2,0.10515229,0.69356364,0.9767558,0.5194757
KLF11,0.12048174,0.09115651,-0.02563049,-0.024546763
ZNF468,-0.10694476,-0.07048855,-0.124240726,0.5393994
ZNF577,0.07441768,0.05425343,-0.07100332,0.086144604
FOXJ3,0.03441953,0.2945976,0.052577734,0.6704328
ZNF75A,0.034429923,0.036750544,-0.004083513,0.19513689
MGA,0.072610475,0.02672473,-0.110205285,0.4142628
ZBTB24,0.04662594,0.03054546,-0.05503792,0.09558496
ZNF721,0.1083034,-0.015998488,-0.1584899,0.0013634328
ZNF653,0.019138968,0.051104996,-0.035817146,-0.073931836
RC3H2,0.011442758,0.02849372,-0.0636151,0.7578609
ZNF211,-0.04944588,-0.04686018,-0.019099433,0.15724199
RXRA,0.31657276,0.09241878,-0.24942851,-0.037892632
DLX1,-0.013994994,-0.014656374,-0.016352337,0.0470423
ZNF440,0.06908814,0.027484592,-0.079401255,0.15622061
ZNF417,-0.009328518,-0.0039178263,-0.009686636,0.018728167
ZNF83,0.17089884,0.17755216,-0.27890047,-0.05677485
ZNF584,0.010128794,0.013013031,-0.03341558,0.00039343894
MECOM,-0.021427631,-0.02981381,-0.009750826,0.23473
