,0
0,ADNP
1,ADNP2
2,ARID1A
3,ARID1B
4,ARID2
5,ARID3A
6,ARID3B
7,ARID4A
8,ARID4B
9,ARNT
10,ARNT2
11,ARNTL2
12,ARX
13,ASCL1
14,ASCL2
15,ATF1
16,ATF2
17,ATF4
18,ATF6
19,BARX2
20,BATF2
21,BATF3
22,BCL11A
23,BCL3
24,CIC
25,CNOT4
26,CREBZF
27,CSRNP1
28,CTCF
29,CXXC1
30,DLX1
31,DLX3
32,DMAP1
33,DMTF1
34,DNAJC1
35,E4F1
36,ELF1
37,ELF2
38,ELF3
39,ELF4
40,ELK4
41,ELMSAN1
42,EPAS1
43,ETS1
44,ETV4
45,ETV5
46,FOXJ3
47,FOXK2
48,FOXN2
49,FOXO3
50,FOXQ1
51,GABPA
52,GATAD2A
53,GCM1
54,GLIS2
55,GLIS3
56,GMEB2
57,GRHL1
58,GRHL2
59,GTF3A
60,HEYL
61,HIF1A
62,HIVEP1
63,HIVEP2
64,HLF
65,HMG20B
66,HMGXB3
67,HMGXB4
68,HNF4G
69,HOXA9
70,HOXB2
71,HOXB3
72,HOXB5
73,HOXB6
74,HOXB8
75,HOXC6
76,HOXC9
77,HSF4
78,ID4
79,IKZF2
80,IKZF3
81,IKZF5
82,IRF9
83,IRX2
84,IRX4
85,JDP2
86,KAT6A
87,KAT6B
88,KDM2A
89,KDM5B
90,KDM5C
91,KLF11
92,KLF16
93,KLF4
94,KLF7
95,KLF8
96,KLF9
97,KMT2A
98,KMT2B
99,L3MBTL1
100,LHX4
101,LYAR
102,MAFG
103,MAFK
104,MAX
105,MECOM
106,MEF2D
107,MEIS2
108,MGA
109,MIER3
110,MLX
111,MTA2
112,MTF1
113,NCOA1
114,NCOA2
115,NCOA3
116,NFAT5
117,NFATC4
118,NFE2
119,NFKBIZ
120,NFXL1
121,NR2C1
122,OSR2
123,PBRM1
124,PBX4
125,PHTF1
126,PLAG1
127,PLAGL1
128,POGZ
129,POU2F3
130,PPARA
131,PPARG
132,PPP1R13L
133,PRDM10
134,PRDM15
135,PRDM16
136,PRDM2
137,PRDM4
138,PRDM6
139,PURA
140,PURB
141,RBAK
142,RC3H2
143,RELB
144,RFX7
145,RREB1
146,RXRA
147,SCX
148,SFPQ
149,SHOX2
150,SIX4
151,SMAD9
152,SMARCA1
153,SMARCC1
154,SOX12
155,SOX15
156,SOX4
157,SP1
158,SP100
159,SP110
160,SP140L
161,SREBF2
162,STAT1
163,STAT2
164,TAF1
165,TBPL1
166,TBX1
167,TBX2
168,TBX20
169,TCF12
170,TCF25
171,TEAD1
172,TFAP2A
173,TFAP4
174,TFE3
175,TFEC
176,TGIF1
177,THAP4
178,THAP5
179,THAP6
180,TONSL
181,TSC22D2
182,TSC22D3
183,TSHZ1
184,TSHZ2
185,UBP1
186,USF1
187,USF2
188,VEZF1
189,WIZ
190,YY2
191,ZBED2
192,ZBED4
193,ZBED5
194,ZBTB11
195,ZBTB17
196,ZBTB2
197,ZBTB21
198,ZBTB24
199,ZBTB26
200,ZBTB34
201,ZBTB37
202,ZBTB38
203,ZBTB39
204,ZBTB40
205,ZBTB41
206,ZBTB43
207,ZBTB44
208,ZBTB46
209,ZBTB47
210,ZBTB48
211,ZBTB49
